 ,Image,X (cm),Y (cm)
1,206_fs1-00001.jpg,492.500,169.500
2,206_fs1-00001.jpg,491.926,169.500
3,206_fs1-00001.jpg,491.500,169.116
4,206_fs1-00001.jpg,490.938,169.000
5,206_fs1-00001.jpg,490.422,168.750
6,206_fs1-00001.jpg,489.848,168.750
7,206_fs1-00001.jpg,489.332,168.500
8,206_fs1-00001.jpg,488.815,168.250
9,206_fs1-00001.jpg,488.299,168.000
10,206_fs1-00001.jpg,487.725,168.000
11,206_fs1-00001.jpg,487.209,167.750
12,206_fs1-00001.jpg,486.635,167.750
13,206_fs1-00001.jpg,486.062,167.750
14,206_fs1-00001.jpg,485.488,167.750
15,206_fs1-00001.jpg,484.914,167.750
16,206_fs1-00001.jpg,484.358,167.892
17,206_fs1-00001.jpg,483.795,168.000
18,206_fs1-00001.jpg,483.250,168.180
19,206_fs1-00001.jpg,482.681,168.250
20,206_fs1-00001.jpg,482.107,168.250
21,206_fs1-00001.jpg,481.533,168.250
22,206_fs1-00001.jpg,480.960,168.250
23,206_fs1-00001.jpg,480.386,168.250
24,206_fs1-00001.jpg,479.812,168.250
25,206_fs1-00001.jpg,479.238,168.250
26,206_fs1-00001.jpg,478.665,168.250
27,206_fs1-00001.jpg,478.091,168.250
28,206_fs1-00001.jpg,477.517,168.250
29,206_fs1-00001.jpg,476.944,168.250
30,206_fs1-00001.jpg,476.370,168.250
31,206_fs1-00001.jpg,475.796,168.250
32,206_fs1-00001.jpg,475.223,168.250
33,206_fs1-00001.jpg,474.649,168.250
34,206_fs1-00001.jpg,474.075,168.250
35,206_fs1-00001.jpg,473.501,168.250
36,206_fs1-00001.jpg,472.928,168.250
37,206_fs1-00001.jpg,472.354,168.250
38,206_fs1-00001.jpg,471.780,168.250
39,206_fs1-00001.jpg,471.208,168.208
40,206_fs1-00001.jpg,470.674,168.000
41,206_fs1-00001.jpg,470.100,168.000
42,206_fs1-00001.jpg,469.526,168.000
43,206_fs1-00001.jpg,469.000,167.771
44,206_fs1-00001.jpg,468.427,167.750
45,206_fs1-00001.jpg,467.853,167.750
46,206_fs1-00001.jpg,467.279,167.750
47,206_fs1-00001.jpg,466.706,167.750
48,206_fs1-00001.jpg,466.132,167.750
49,206_fs1-00001.jpg,465.558,167.750
50,206_fs1-00001.jpg,465.124,167.374
51,206_fs1-00001.jpg,464.564,167.250
