 ,X (cm),Y (cm)
1,511.750,278.250
2,502.705,277.750
3,493.649,277.500
4,484.594,277.750
5,475.549,277.250
6,466.493,277.000
7,457.437,276.750
8,448.382,276.500
9,439.326,276.250
10,430.271,276.000
11,421.226,276.500
12,412.180,277.000
13,403.125,277.250
14,394.066,277.250
15,385.007,277.250
16,503.000,290.500
17,496.091,285.000
18,488.991,279.750
19,481.304,275.402
20,473.562,271.156
21,464.844,269.750
22,456.027,270.250
23,447.408,272.171
24,439.032,274.968
25,430.834,278.250
26,422.733,281.767
27,414.516,285.000
28,406.046,287.500
29,397.218,287.718
30,389.416,283.582
31,501.000,310.000
32,495.800,304.092
33,490.845,297.977
34,486.132,291.672
35,481.848,285.069
36,477.711,278.374
37,472.769,272.248
38,466.210,267.898
39,458.829,265.163
40,450.960,265.000
41,443.376,267.105
42,436.586,271.086
43,430.705,276.317
44,425.456,282.181
45,420.032,287.885
46,507.000,318.000
47,499.717,313.100
48,492.867,307.611
49,486.815,301.253
50,482.187,293.795
51,478.596,285.785
52,475.115,277.727
53,471.605,269.681
54,467.272,262.047
55,461.162,255.744
56,453.550,251.373
57,444.785,251.839
58,436.774,255.429
59,430.734,261.798
60,428.224,270.210
61,513.750,323.000
62,505.755,319.533
63,498.378,314.893
64,491.379,309.701
65,485.050,303.711
66,479.797,296.758
67,475.794,289.017
68,472.953,280.779
69,471.583,272.173
70,470.263,263.559
71,467.241,255.385
72,462.036,248.395
73,454.401,244.194
74,445.700,243.710
75,437.375,246.287
76,520.000,328.000
77,511.760,325.617
78,503.844,322.313
79,496.652,317.638
80,489.744,312.553
81,483.233,306.969
82,477.843,300.297
83,473.912,292.672
84,473.046,284.139
85,472.439,275.582
86,471.583,267.047
87,470.039,258.610
88,466.599,250.752
89,460.573,244.647
90,452.700,241.243
91,525.500,329.250
92,517.372,326.217
93,509.197,323.314
94,501.113,320.165
95,493.206,316.597
96,485.880,311.950
97,479.916,305.650
98,475.795,298.016
99,473.743,289.587
100,473.113,280.934
101,472.828,272.264
102,472.334,263.603
103,470.840,255.057
104,467.282,247.145
105,461.439,240.732
106,534.250,334.250
107,526.227,330.993
108,518.056,328.127
109,509.869,325.307
110,501.923,321.866
111,494.379,317.614
112,487.272,312.668
113,480.863,306.845
114,476.482,299.376
115,473.607,291.208
116,472.320,282.645
117,472.412,273.987
118,472.541,265.329
119,472.250,256.674
120,472.364,248.016
121,536.000,338.000
122,528.140,334.690
123,520.239,331.482
124,512.276,328.427
125,504.400,325.155
126,496.580,321.753
127,488.831,318.191
128,481.822,313.333
129,477.296,306.104
130,473.354,298.542
131,470.394,290.544
132,468.537,282.220
133,467.691,273.734
134,467.665,265.206
135,468.388,256.708
136,542.750,340.750
137,534.608,338.367
138,526.472,335.961
139,518.582,332.840
140,510.887,329.267
141,503.234,325.607
142,495.681,321.741
143,488.703,316.915
144,482.938,310.691
145,478.910,303.224
146,475.151,295.618
147,471.992,287.744
148,469.886,279.526
149,468.930,271.096
150,468.936,262.611
151,548.000,345.750
152,539.364,343.367
153,530.758,340.881
154,522.495,337.420
155,514.487,333.404
156,506.514,329.318
157,498.586,325.147
158,490.978,320.418
159,483.577,315.369
160,477.909,308.432
161,473.043,300.910
162,469.386,292.732
163,466.953,284.110
164,465.539,275.264
165,465.075,266.318
