 ,Image,X (cm),Y (cm)
1,208_fs3-00001.jpg,296.833,282.167
2,208_fs3-00001.jpg,297.517,282.167
3,208_fs3-00001.jpg,298.178,282.339
4,208_fs3-00001.jpg,298.842,282.500
5,208_fs3-00001.jpg,299.525,282.500
6,208_fs3-00001.jpg,300.206,282.553
7,208_fs3-00001.jpg,300.883,282.650
8,208_fs3-00001.jpg,301.559,282.747
9,208_fs3-00001.jpg,302.235,282.847
10,208_fs3-00001.jpg,302.905,282.981
11,208_fs3-00001.jpg,303.575,283.115
12,208_fs3-00001.jpg,304.233,283.300
13,208_fs3-00001.jpg,304.886,283.500
14,208_fs3-00001.jpg,305.570,283.500
15,208_fs3-00001.jpg,306.253,283.500
16,208_fs3-00001.jpg,306.936,283.500
17,208_fs3-00001.jpg,307.620,283.500
18,208_fs3-00001.jpg,308.303,283.500
19,208_fs3-00001.jpg,308.986,283.500
20,208_fs3-00001.jpg,309.669,283.500
21,208_fs3-00001.jpg,310.353,283.500
22,208_fs3-00001.jpg,311.036,283.500
23,208_fs3-00001.jpg,311.719,283.500
24,208_fs3-00001.jpg,312.403,283.500
25,208_fs3-00001.jpg,313.086,283.500
26,208_fs3-00001.jpg,313.769,283.500
27,208_fs3-00001.jpg,314.453,283.500
28,208_fs3-00001.jpg,315.136,283.500
29,208_fs3-00001.jpg,315.819,283.500
30,208_fs3-00001.jpg,316.503,283.500
31,208_fs3-00001.jpg,317.186,283.500
32,208_fs3-00001.jpg,317.869,283.500
33,208_fs3-00001.jpg,318.552,283.500
34,208_fs3-00001.jpg,319.236,283.500
35,208_fs3-00001.jpg,319.919,283.500
36,208_fs3-00001.jpg,320.602,283.500
37,208_fs3-00001.jpg,321.286,283.500
38,208_fs3-00001.jpg,321.969,283.500
39,208_fs3-00001.jpg,322.652,283.500
40,208_fs3-00001.jpg,323.336,283.500
41,208_fs3-00001.jpg,324.019,283.500
42,208_fs3-00001.jpg,324.702,283.500
43,208_fs3-00001.jpg,325.385,283.500
44,208_fs3-00001.jpg,326.069,283.500
45,208_fs3-00001.jpg,326.752,283.500
46,208_fs3-00001.jpg,327.435,283.500
47,208_fs3-00001.jpg,328.119,283.500
48,208_fs3-00001.jpg,328.802,283.500
49,208_fs3-00001.jpg,329.485,283.500
50,208_fs3-00001.jpg,330.168,283.500
51,208_fs3-00001.jpg,330.852,283.500
52,208_fs3-00001.jpg,331.535,283.500
53,208_fs3-00001.jpg,332.218,283.500
54,208_fs3-00001.jpg,332.902,283.500
55,208_fs3-00001.jpg,333.585,283.500
56,208_fs3-00001.jpg,334.268,283.500
57,208_fs3-00001.jpg,334.952,283.500
58,208_fs3-00001.jpg,335.635,283.500
59,208_fs3-00001.jpg,336.318,283.500
60,208_fs3-00001.jpg,337.001,283.500
61,208_fs3-00001.jpg,337.685,283.500
62,208_fs3-00001.jpg,338.368,283.500
63,208_fs3-00001.jpg,339.051,283.500
64,208_fs3-00001.jpg,339.735,283.500
65,208_fs3-00001.jpg,340.418,283.500
66,208_fs3-00001.jpg,341.101,283.500
67,208_fs3-00001.jpg,341.785,283.500
68,208_fs3-00001.jpg,342.468,283.500
69,208_fs3-00001.jpg,343.151,283.500
70,208_fs3-00001.jpg,343.835,283.500
71,208_fs3-00001.jpg,344.518,283.500
72,208_fs3-00001.jpg,345.201,283.500
73,208_fs3-00001.jpg,345.884,283.500
74,208_fs3-00001.jpg,346.568,283.500
75,208_fs3-00001.jpg,347.251,283.500
76,208_fs3-00001.jpg,347.934,283.500
77,208_fs3-00001.jpg,348.618,283.500
78,208_fs3-00001.jpg,349.301,283.500
79,208_fs3-00001.jpg,349.984,283.500
80,208_fs3-00001.jpg,350.667,283.500
81,208_fs3-00001.jpg,351.351,283.500
82,208_fs3-00001.jpg,352.034,283.500
83,208_fs3-00001.jpg,352.717,283.500
84,208_fs3-00001.jpg,353.401,283.500
85,208_fs3-00001.jpg,354.084,283.500
86,208_fs3-00001.jpg,354.767,283.500
87,208_fs3-00001.jpg,355.451,283.500
88,208_fs3-00001.jpg,356.134,283.500
89,208_fs3-00001.jpg,356.817,283.500
90,208_fs3-00001.jpg,357.500,283.500
91,208_fs3-00001.jpg,358.184,283.500
92,208_fs3-00001.jpg,358.867,283.500
93,208_fs3-00001.jpg,359.550,283.500
94,208_fs3-00001.jpg,360.234,283.500
95,208_fs3-00001.jpg,360.917,283.500
96,208_fs3-00001.jpg,361.600,283.500
97,208_fs3-00001.jpg,362.284,283.500
98,208_fs3-00001.jpg,362.967,283.500
99,208_fs3-00001.jpg,363.650,283.500
100,208_fs3-00001.jpg,364.333,283.500
101,208_fs3-00001.jpg,365.017,283.500
102,208_fs3-00001.jpg,365.700,283.500
103,208_fs3-00001.jpg,366.383,283.500
104,208_fs3-00001.jpg,367.067,283.500
