 ,Image,X (cm),Y (cm)
1,207_fs1-00001.jpg,560.833,218.167
2,207_fs1-00001.jpg,561.339,218.810
3,207_fs1-00001.jpg,561.845,219.454
4,207_fs1-00001.jpg,562.350,220.097
5,207_fs1-00001.jpg,562.856,220.741
6,207_fs1-00001.jpg,563.362,221.385
7,207_fs1-00001.jpg,563.867,222.028
8,207_fs1-00001.jpg,564.373,222.672
9,207_fs1-00001.jpg,564.934,223.268
10,207_fs1-00001.jpg,565.513,223.846
11,207_fs1-00001.jpg,566.234,224.234
12,207_fs1-00001.jpg,566.813,224.813
13,207_fs1-00001.jpg,567.392,225.392
14,207_fs1-00001.jpg,567.970,225.970
15,207_fs1-00001.jpg,568.691,226.358
16,207_fs1-00001.jpg,569.412,226.746
17,207_fs1-00001.jpg,569.729,227.500
18,207_fs1-00001.jpg,570.477,227.833
19,207_fs1-00001.jpg,570.879,228.546
20,207_fs1-00001.jpg,571.500,229.080
21,207_fs1-00001.jpg,572.034,229.700
22,207_fs1-00001.jpg,572.612,230.279
23,207_fs1-00001.jpg,573.191,230.858
24,207_fs1-00001.jpg,573.699,231.500
25,207_fs1-00001.jpg,574.462,231.795
26,207_fs1-00001.jpg,574.833,232.525
27,207_fs1-00001.jpg,575.237,233.237
28,207_fs1-00001.jpg,575.816,233.816
29,207_fs1-00001.jpg,576.394,234.395
30,207_fs1-00001.jpg,576.973,234.973
31,207_fs1-00001.jpg,577.552,235.552
32,207_fs1-00001.jpg,578.131,236.131
33,207_fs1-00001.jpg,578.710,236.710
34,207_fs1-00001.jpg,579.288,237.288
35,207_fs1-00001.jpg,579.676,238.009
36,207_fs1-00001.jpg,580.255,238.588
37,207_fs1-00001.jpg,580.833,239.167
38,207_fs1-00001.jpg,581.412,239.746
39,207_fs1-00001.jpg,581.991,240.324
40,207_fs1-00001.jpg,582.632,240.833
41,207_fs1-00001.jpg,582.929,241.596
42,207_fs1-00001.jpg,583.505,242.177
43,207_fs1-00001.jpg,583.896,242.896
44,207_fs1-00001.jpg,584.284,243.617
45,207_fs1-00001.jpg,584.833,244.224
46,207_fs1-00001.jpg,585.380,244.833
