 ,Image,X (cm),Y (cm)
1,206_fs2-00001.jpg,471.000,557.000
2,206_fs2-00001.jpg,471.520,556.788
3,206_fs2-00001.jpg,472.040,556.576
4,206_fs2-00001.jpg,472.561,556.364
5,206_fs2-00001.jpg,473.081,556.152
6,206_fs2-00001.jpg,473.601,555.940
7,206_fs2-00001.jpg,474.121,555.728
8,206_fs2-00001.jpg,474.641,555.516
9,206_fs2-00001.jpg,475.161,555.305
10,206_fs2-00001.jpg,475.682,555.093
11,206_fs2-00001.jpg,476.202,554.881
12,206_fs2-00001.jpg,476.722,554.669
13,206_fs2-00001.jpg,477.242,554.457
14,206_fs2-00001.jpg,477.764,554.250
15,206_fs2-00001.jpg,478.267,554.000
16,206_fs2-00001.jpg,478.829,554.000
17,206_fs2-00001.jpg,479.391,554.000
18,206_fs2-00001.jpg,479.953,554.000
19,206_fs2-00001.jpg,480.514,554.000
20,206_fs2-00001.jpg,481.076,554.000
21,206_fs2-00001.jpg,481.638,554.000
22,206_fs2-00001.jpg,482.141,553.750
23,206_fs2-00001.jpg,482.702,553.750
24,206_fs2-00001.jpg,483.264,553.750
25,206_fs2-00001.jpg,483.767,553.500
26,206_fs2-00001.jpg,484.329,553.500
27,206_fs2-00001.jpg,484.832,553.250
28,206_fs2-00001.jpg,485.393,553.250
29,206_fs2-00001.jpg,485.955,553.250
30,206_fs2-00001.jpg,486.517,553.250
31,206_fs2-00001.jpg,487.020,553.000
32,206_fs2-00001.jpg,487.582,553.000
33,206_fs2-00001.jpg,488.085,552.750
34,206_fs2-00001.jpg,488.646,552.750
35,206_fs2-00001.jpg,489.208,552.750
36,206_fs2-00001.jpg,489.711,552.500
37,206_fs2-00001.jpg,490.258,552.371
38,206_fs2-00001.jpg,490.806,552.250
39,206_fs2-00001.jpg,491.368,552.250
40,206_fs2-00001.jpg,491.930,552.250
41,206_fs2-00001.jpg,492.433,552.000
42,206_fs2-00001.jpg,492.994,552.000
43,206_fs2-00001.jpg,493.497,551.750
44,206_fs2-00001.jpg,494.000,551.500
45,206_fs2-00001.jpg,494.559,551.441
46,206_fs2-00001.jpg,495.087,551.250
47,206_fs2-00001.jpg,495.649,551.250
48,206_fs2-00001.jpg,496.210,551.250
49,206_fs2-00001.jpg,496.713,551.000
50,206_fs2-00001.jpg,497.275,551.000
51,206_fs2-00001.jpg,497.837,551.000
52,206_fs2-00001.jpg,498.340,550.750
53,206_fs2-00001.jpg,498.902,550.750
54,206_fs2-00001.jpg,499.405,550.500
55,206_fs2-00001.jpg,499.966,550.500
56,206_fs2-00001.jpg,500.528,550.500
57,206_fs2-00001.jpg,501.031,550.250
58,206_fs2-00001.jpg,501.593,550.250
59,206_fs2-00001.jpg,502.154,550.250
60,206_fs2-00001.jpg,502.716,550.250
61,206_fs2-00001.jpg,503.278,550.250
62,206_fs2-00001.jpg,503.839,550.250
63,206_fs2-00001.jpg,504.401,550.250
64,206_fs2-00001.jpg,504.963,550.250
65,206_fs2-00001.jpg,505.477,550.023
66,206_fs2-00001.jpg,506.038,550.000
67,206_fs2-00001.jpg,506.600,550.000
68,206_fs2-00001.jpg,507.161,550.000
69,206_fs2-00001.jpg,507.664,549.750
70,206_fs2-00001.jpg,508.226,549.750
71,206_fs2-00001.jpg,508.788,549.750
72,206_fs2-00001.jpg,509.349,549.750
73,206_fs2-00001.jpg,509.911,549.750
74,206_fs2-00001.jpg,510.414,549.500
75,206_fs2-00001.jpg,510.976,549.500
76,206_fs2-00001.jpg,511.538,549.500
77,206_fs2-00001.jpg,512.099,549.500
78,206_fs2-00001.jpg,512.661,549.500
79,206_fs2-00001.jpg,513.223,549.500
80,206_fs2-00001.jpg,513.783,549.467
81,206_fs2-00001.jpg,514.302,549.250
82,206_fs2-00001.jpg,514.863,549.250
83,206_fs2-00001.jpg,515.425,549.250
84,206_fs2-00001.jpg,515.987,549.250
85,206_fs2-00001.jpg,516.548,549.250
86,206_fs2-00001.jpg,517.110,549.250
87,206_fs2-00001.jpg,517.672,549.250
88,206_fs2-00001.jpg,518.233,549.250
89,206_fs2-00001.jpg,518.795,549.250
90,206_fs2-00001.jpg,519.357,549.250
91,206_fs2-00001.jpg,519.919,549.250
92,206_fs2-00001.jpg,520.480,549.250
93,206_fs2-00001.jpg,520.989,549.011
94,206_fs2-00001.jpg,521.550,549.000
95,206_fs2-00001.jpg,522.112,549.000
96,206_fs2-00001.jpg,522.674,549.000
97,206_fs2-00001.jpg,523.235,549.000
98,206_fs2-00001.jpg,523.742,548.758
99,206_fs2-00001.jpg,524.304,548.750
100,206_fs2-00001.jpg,524.866,548.750
101,206_fs2-00001.jpg,525.427,548.750
102,206_fs2-00001.jpg,525.989,548.750
103,206_fs2-00001.jpg,526.500,548.517
104,206_fs2-00001.jpg,527.061,548.500
105,206_fs2-00001.jpg,527.623,548.500
106,206_fs2-00001.jpg,528.185,548.500
107,206_fs2-00001.jpg,528.747,548.500
108,206_fs2-00001.jpg,529.250,548.250
109,206_fs2-00001.jpg,529.811,548.250
110,206_fs2-00001.jpg,530.373,548.250
111,206_fs2-00001.jpg,530.935,548.250
112,206_fs2-00001.jpg,531.496,548.250
113,206_fs2-00001.jpg,532.058,548.250
114,206_fs2-00001.jpg,532.620,548.250
115,206_fs2-00001.jpg,533.123,548.000
116,206_fs2-00001.jpg,533.684,548.000
117,206_fs2-00001.jpg,534.207,547.793
118,206_fs2-00001.jpg,534.767,547.750
119,206_fs2-00001.jpg,535.324,547.676
120,206_fs2-00001.jpg,535.857,547.500
121,206_fs2-00001.jpg,536.419,547.500
122,206_fs2-00001.jpg,536.922,547.250
123,206_fs2-00001.jpg,537.483,547.250
124,206_fs2-00001.jpg,538.045,547.250
125,206_fs2-00001.jpg,538.607,547.250
126,206_fs2-00001.jpg,539.110,547.000
