 ,Image,X (cm),Y (cm)
1,206_fs3-00001.jpg,224.167,417.167
2,206_fs3-00001.jpg,224.783,417.212
3,206_fs3-00001.jpg,225.400,417.258
4,206_fs3-00001.jpg,226.016,417.304
5,206_fs3-00001.jpg,226.633,417.349
6,206_fs3-00001.jpg,227.249,417.395
7,206_fs3-00001.jpg,227.866,417.441
8,206_fs3-00001.jpg,228.482,417.486
9,206_fs3-00001.jpg,229.099,417.532
10,206_fs3-00001.jpg,229.715,417.578
11,206_fs3-00001.jpg,230.332,417.623
12,206_fs3-00001.jpg,230.948,417.669
13,206_fs3-00001.jpg,231.565,417.715
14,206_fs3-00001.jpg,232.181,417.760
15,206_fs3-00001.jpg,232.798,417.806
16,206_fs3-00001.jpg,233.415,417.833
17,206_fs3-00001.jpg,234.034,417.833
18,206_fs3-00001.jpg,234.637,417.970
19,206_fs3-00001.jpg,235.223,418.167
20,206_fs3-00001.jpg,235.841,418.167
21,206_fs3-00001.jpg,236.459,418.167
22,206_fs3-00001.jpg,237.077,418.167
23,206_fs3-00001.jpg,237.598,418.500
24,206_fs3-00001.jpg,238.216,418.500
25,206_fs3-00001.jpg,238.834,418.500
26,206_fs3-00001.jpg,239.452,418.500
27,206_fs3-00001.jpg,239.973,418.833
28,206_fs3-00001.jpg,240.591,418.833
29,206_fs3-00001.jpg,241.209,418.833
30,206_fs3-00001.jpg,241.828,418.833
31,206_fs3-00001.jpg,242.400,419.067
32,206_fs3-00001.jpg,243.010,419.167
33,206_fs3-00001.jpg,243.628,419.167
34,206_fs3-00001.jpg,244.247,419.167
35,206_fs3-00001.jpg,244.865,419.167
36,206_fs3-00001.jpg,245.483,419.167
37,206_fs3-00001.jpg,246.004,419.500
38,206_fs3-00001.jpg,246.622,419.500
39,206_fs3-00001.jpg,247.240,419.500
40,206_fs3-00001.jpg,247.858,419.524
41,206_fs3-00001.jpg,248.393,419.833
42,206_fs3-00001.jpg,249.011,419.833
43,206_fs3-00001.jpg,249.532,420.167
44,206_fs3-00001.jpg,250.150,420.167
45,206_fs3-00001.jpg,250.768,420.167
46,206_fs3-00001.jpg,251.289,420.500
47,206_fs3-00001.jpg,251.907,420.500
48,206_fs3-00001.jpg,252.525,420.500
49,206_fs3-00001.jpg,253.144,420.500
50,206_fs3-00001.jpg,253.762,420.500
51,206_fs3-00001.jpg,254.283,420.833
52,206_fs3-00001.jpg,254.901,420.833
53,206_fs3-00001.jpg,255.519,420.852
54,206_fs3-00001.jpg,256.051,421.167
55,206_fs3-00001.jpg,256.669,421.167
56,206_fs3-00001.jpg,257.287,421.167
57,206_fs3-00001.jpg,257.902,421.235
58,206_fs3-00001.jpg,258.460,421.500
59,206_fs3-00001.jpg,259.078,421.500
60,206_fs3-00001.jpg,259.696,421.500
61,206_fs3-00001.jpg,260.217,421.833
62,206_fs3-00001.jpg,260.835,421.833
63,206_fs3-00001.jpg,261.453,421.833
64,206_fs3-00001.jpg,262.072,421.833
65,206_fs3-00001.jpg,262.690,421.833
66,206_fs3-00001.jpg,263.308,421.833
67,206_fs3-00001.jpg,263.926,421.833
68,206_fs3-00001.jpg,264.447,422.167
69,206_fs3-00001.jpg,265.065,422.167
70,206_fs3-00001.jpg,265.683,422.167
71,206_fs3-00001.jpg,266.204,422.500
72,206_fs3-00001.jpg,266.822,422.500
73,206_fs3-00001.jpg,267.343,422.833
74,206_fs3-00001.jpg,267.961,422.833
75,206_fs3-00001.jpg,268.489,423.155
76,206_fs3-00001.jpg,269.107,423.167
77,206_fs3-00001.jpg,269.725,423.167
78,206_fs3-00001.jpg,270.343,423.167
79,206_fs3-00001.jpg,270.864,423.500
80,206_fs3-00001.jpg,271.425,423.759
81,206_fs3-00001.jpg,272.039,423.833
82,206_fs3-00001.jpg,272.560,424.167
83,206_fs3-00001.jpg,273.178,424.178
84,206_fs3-00001.jpg,273.705,424.500
85,206_fs3-00001.jpg,274.323,424.500
86,206_fs3-00001.jpg,274.942,424.500
87,206_fs3-00001.jpg,275.477,424.810
88,206_fs3-00001.jpg,276.094,424.833
89,206_fs3-00001.jpg,276.615,425.167
90,206_fs3-00001.jpg,277.233,425.167
91,206_fs3-00001.jpg,277.754,425.500
92,206_fs3-00001.jpg,278.372,425.500
93,206_fs3-00001.jpg,278.974,425.641
94,206_fs3-00001.jpg,279.561,425.833
95,206_fs3-00001.jpg,280.180,425.833
96,206_fs3-00001.jpg,280.746,426.080
97,206_fs3-00001.jpg,281.359,426.167
98,206_fs3-00001.jpg,281.879,426.500
99,206_fs3-00001.jpg,282.436,426.769
