 ,Image,X (cm),Y (cm)
1,206_fs3-00001.jpg,225.667,415.667
2,206_fs3-00001.jpg,226.269,415.667
3,206_fs3-00001.jpg,226.870,415.667
4,206_fs3-00001.jpg,227.472,415.667
5,206_fs3-00001.jpg,228.074,415.667
6,206_fs3-00001.jpg,228.676,415.667
7,206_fs3-00001.jpg,229.278,415.667
8,206_fs3-00001.jpg,229.880,415.667
9,206_fs3-00001.jpg,230.482,415.667
10,206_fs3-00001.jpg,231.060,415.833
11,206_fs3-00001.jpg,231.639,416.000
12,206_fs3-00001.jpg,232.217,416.167
13,206_fs3-00001.jpg,232.803,416.303
14,206_fs3-00001.jpg,233.404,416.333
15,206_fs3-00001.jpg,234.006,416.333
16,206_fs3-00001.jpg,234.608,416.333
17,206_fs3-00001.jpg,235.210,416.333
18,206_fs3-00001.jpg,235.812,416.333
19,206_fs3-00001.jpg,236.414,416.333
20,206_fs3-00001.jpg,237.016,416.333
21,206_fs3-00001.jpg,237.618,416.333
22,206_fs3-00001.jpg,238.119,416.667
23,206_fs3-00001.jpg,238.697,416.833
24,206_fs3-00001.jpg,239.287,416.954
25,206_fs3-00001.jpg,239.887,417.000
26,206_fs3-00001.jpg,240.429,417.262
27,206_fs3-00001.jpg,240.930,417.596
28,206_fs3-00001.jpg,241.527,417.667
29,206_fs3-00001.jpg,242.129,417.667
30,206_fs3-00001.jpg,242.708,417.833
31,206_fs3-00001.jpg,243.309,417.833
32,206_fs3-00001.jpg,243.911,417.833
33,206_fs3-00001.jpg,244.490,418.000
34,206_fs3-00001.jpg,245.068,418.167
35,206_fs3-00001.jpg,245.646,418.333
36,206_fs3-00001.jpg,246.225,418.500
37,206_fs3-00001.jpg,246.810,418.643
38,206_fs3-00001.jpg,247.411,418.667
39,206_fs3-00001.jpg,248.013,418.667
40,206_fs3-00001.jpg,248.615,418.667
41,206_fs3-00001.jpg,249.217,418.667
42,206_fs3-00001.jpg,249.795,418.833
43,206_fs3-00001.jpg,250.397,418.833
44,206_fs3-00001.jpg,250.999,418.833
45,206_fs3-00001.jpg,251.577,419.000
46,206_fs3-00001.jpg,252.179,419.000
47,206_fs3-00001.jpg,252.757,419.167
48,206_fs3-00001.jpg,253.359,419.167
49,206_fs3-00001.jpg,253.961,419.167
50,206_fs3-00001.jpg,254.563,419.167
51,206_fs3-00001.jpg,255.165,419.167
52,206_fs3-00001.jpg,255.767,419.167
53,206_fs3-00001.jpg,256.369,419.167
54,206_fs3-00001.jpg,256.870,419.500
55,206_fs3-00001.jpg,257.472,419.500
56,206_fs3-00001.jpg,258.074,419.500
57,206_fs3-00001.jpg,258.676,419.500
58,206_fs3-00001.jpg,259.278,419.500
59,206_fs3-00001.jpg,259.880,419.500
60,206_fs3-00001.jpg,260.481,419.500
61,206_fs3-00001.jpg,261.060,419.667
62,206_fs3-00001.jpg,261.642,419.821
63,206_fs3-00001.jpg,262.243,419.833
64,206_fs3-00001.jpg,262.745,420.167
65,206_fs3-00001.jpg,263.323,420.333
66,206_fs3-00001.jpg,263.923,420.378
67,206_fs3-00001.jpg,264.513,420.500
68,206_fs3-00001.jpg,265.115,420.500
69,206_fs3-00001.jpg,265.716,420.500
70,206_fs3-00001.jpg,266.314,420.574
71,206_fs3-00001.jpg,266.908,420.667
72,206_fs3-00001.jpg,267.487,420.833
73,206_fs3-00001.jpg,268.065,421.000
74,206_fs3-00001.jpg,268.662,421.081
75,206_fs3-00001.jpg,269.257,421.167
76,206_fs3-00001.jpg,269.859,421.167
77,206_fs3-00001.jpg,270.461,421.167
78,206_fs3-00001.jpg,271.040,421.333
79,206_fs3-00001.jpg,271.641,421.333
80,206_fs3-00001.jpg,272.220,421.500
81,206_fs3-00001.jpg,272.762,421.762
82,206_fs3-00001.jpg,273.333,421.950
83,206_fs3-00001.jpg,273.813,422.313
84,206_fs3-00001.jpg,274.386,422.500
85,206_fs3-00001.jpg,274.988,422.500
86,206_fs3-00001.jpg,275.549,422.716
87,206_fs3-00001.jpg,276.140,422.833
88,206_fs3-00001.jpg,276.641,423.167
89,206_fs3-00001.jpg,277.219,423.333
90,206_fs3-00001.jpg,277.667,423.736
91,206_fs3-00001.jpg,278.261,423.833
92,206_fs3-00001.jpg,278.762,424.167
93,206_fs3-00001.jpg,279.263,424.500
94,206_fs3-00001.jpg,279.840,424.673
95,206_fs3-00001.jpg,280.398,424.898
96,206_fs3-00001.jpg,280.991,425.000
97,206_fs3-00001.jpg,281.569,425.167
98,206_fs3-00001.jpg,282.148,425.333
99,206_fs3-00001.jpg,282.711,425.545
100,206_fs3-00001.jpg,283.239,425.833
101,206_fs3-00001.jpg,283.741,426.167
102,206_fs3-00001.jpg,284.242,426.500
103,206_fs3-00001.jpg,284.776,426.776
104,206_fs3-00001.jpg,285.335,427.000
105,206_fs3-00001.jpg,285.914,427.167
106,206_fs3-00001.jpg,286.492,427.333
107,206_fs3-00001.jpg,286.996,427.663
108,206_fs3-00001.jpg,287.573,427.833
109,206_fs3-00001.jpg,288.129,428.064
110,206_fs3-00001.jpg,288.667,428.334
111,206_fs3-00001.jpg,289.168,428.668
112,206_fs3-00001.jpg,289.669,429.002
113,206_fs3-00001.jpg,290.169,429.336
114,206_fs3-00001.jpg,290.670,429.670
115,206_fs3-00001.jpg,291.171,430.004
116,206_fs3-00001.jpg,291.667,430.345
117,206_fs3-00001.jpg,292.175,430.667
118,206_fs3-00001.jpg,292.667,431.014
119,206_fs3-00001.jpg,293.009,431.509
120,206_fs3-00001.jpg,293.500,431.858
121,206_fs3-00001.jpg,293.869,432.333
122,206_fs3-00001.jpg,294.447,432.500
123,206_fs3-00001.jpg,295.020,432.686
124,206_fs3-00001.jpg,295.578,432.911
125,206_fs3-00001.jpg,296.123,433.167
126,206_fs3-00001.jpg,296.640,433.474
127,206_fs3-00001.jpg,297.173,433.753
128,206_fs3-00001.jpg,297.723,434.000
129,206_fs3-00001.jpg,298.301,434.167
130,206_fs3-00001.jpg,298.802,434.500
131,206_fs3-00001.jpg,299.167,434.979
132,206_fs3-00001.jpg,299.667,435.314
133,206_fs3-00001.jpg,300.154,435.667
134,206_fs3-00001.jpg,300.586,436.086
135,206_fs3-00001.jpg,301.023,436.500
136,206_fs3-00001.jpg,301.609,436.638
137,206_fs3-00001.jpg,302.064,437.032
138,206_fs3-00001.jpg,302.585,437.333
139,206_fs3-00001.jpg,303.000,437.769
140,206_fs3-00001.jpg,303.500,438.104
141,206_fs3-00001.jpg,303.954,438.500
142,206_fs3-00001.jpg,304.333,438.967
143,206_fs3-00001.jpg,304.811,439.333
144,206_fs3-00001.jpg,305.146,439.833
145,206_fs3-00001.jpg,305.655,440.155
146,206_fs3-00001.jpg,306.080,440.580
147,206_fs3-00001.jpg,306.414,441.081
148,206_fs3-00001.jpg,306.961,441.333
149,206_fs3-00001.jpg,307.318,441.818
150,206_fs3-00001.jpg,307.819,442.152
151,206_fs3-00001.jpg,308.310,442.500
152,206_fs3-00001.jpg,308.747,442.914
153,206_fs3-00001.jpg,309.081,443.414
154,206_fs3-00001.jpg,309.513,443.833
155,206_fs3-00001.jpg,310.009,444.175
156,206_fs3-00001.jpg,310.509,444.509
157,206_fs3-00001.jpg,310.935,444.935
158,206_fs3-00001.jpg,311.490,445.167
