 ,Image,X (cm),Y (cm)
1,208_fs2-00001.jpg,512.167,277.500
2,208_fs2-00001.jpg,511.478,277.500
3,208_fs2-00001.jpg,510.789,277.500
4,208_fs2-00001.jpg,510.101,277.500
5,208_fs2-00001.jpg,509.412,277.500
6,208_fs2-00001.jpg,508.723,277.500
7,208_fs2-00001.jpg,508.034,277.500
8,208_fs2-00001.jpg,507.346,277.500
9,208_fs2-00001.jpg,506.657,277.500
10,208_fs2-00001.jpg,505.968,277.500
11,208_fs2-00001.jpg,505.280,277.500
12,208_fs2-00001.jpg,504.591,277.500
13,208_fs2-00001.jpg,503.902,277.500
14,208_fs2-00001.jpg,503.214,277.500
15,208_fs2-00001.jpg,502.525,277.500
16,208_fs2-00001.jpg,501.836,277.500
17,208_fs2-00001.jpg,501.147,277.500
18,208_fs2-00001.jpg,500.460,277.460
19,208_fs2-00001.jpg,499.837,277.167
20,208_fs2-00001.jpg,499.148,277.167
21,208_fs2-00001.jpg,498.459,277.167
22,208_fs2-00001.jpg,497.849,276.849
23,208_fs2-00001.jpg,497.160,276.833
24,208_fs2-00001.jpg,496.471,276.833
25,208_fs2-00001.jpg,495.833,276.574
26,208_fs2-00001.jpg,495.149,276.500
27,208_fs2-00001.jpg,494.460,276.500
28,208_fs2-00001.jpg,493.771,276.500
29,208_fs2-00001.jpg,493.083,276.500
30,208_fs2-00001.jpg,492.394,276.500
31,208_fs2-00001.jpg,491.705,276.500
32,208_fs2-00001.jpg,491.016,276.500
33,208_fs2-00001.jpg,490.414,276.167
34,208_fs2-00001.jpg,489.725,276.167
35,208_fs2-00001.jpg,489.036,276.167
36,208_fs2-00001.jpg,488.348,276.167
37,208_fs2-00001.jpg,487.659,276.167
38,208_fs2-00001.jpg,486.970,276.167
39,208_fs2-00001.jpg,486.282,276.167
40,208_fs2-00001.jpg,485.593,276.167
41,208_fs2-00001.jpg,484.904,276.167
42,208_fs2-00001.jpg,484.215,276.167
43,208_fs2-00001.jpg,483.527,276.167
44,208_fs2-00001.jpg,482.838,276.167
45,208_fs2-00001.jpg,482.149,276.167
46,208_fs2-00001.jpg,481.461,276.167
47,208_fs2-00001.jpg,480.772,276.167
48,208_fs2-00001.jpg,480.083,276.167
49,208_fs2-00001.jpg,479.395,276.167
