 ,X (cm),Y (cm)
1,296.000,283.000
2,305.527,282.250
3,315.084,282.250
4,324.627,282.750
5,334.181,283.000
6,343.685,282.000
7,353.241,282.000
8,362.795,281.750
9,372.351,281.750
10,381.891,282.320
11,391.340,283.750
12,400.883,284.250
13,410.358,285.500
14,419.582,288.000
15,428.805,290.500
16,306.000,262.000
17,311.057,268.573
18,316.896,274.462
19,323.428,279.571
20,330.708,283.543
21,338.567,286.191
22,346.773,287.391
23,355.042,286.762
24,362.986,284.378
25,371.088,282.610
26,379.112,280.513
27,387.080,278.214
28,395.336,277.437
29,403.471,279.053
30,411.072,282.369
31,322.500,240.750
32,322.240,249.980
33,323.155,259.168
34,324.672,268.276
35,326.059,277.405
36,328.991,286.160
37,335.093,293.090
38,343.172,297.561
39,352.395,297.994
40,361.470,296.289
41,369.281,291.366
42,376.484,285.589
43,383.559,279.656
44,391.450,274.861
45,400.452,272.807
46,327.750,226.250
47,327.967,235.207
48,328.550,244.147
49,328.900,253.099
50,328.531,262.051
51,328.000,270.994
52,328.412,279.944
53,330.382,288.684
54,334.741,296.511
55,341.911,301.884
56,350.684,303.697
57,359.500,302.101
58,367.127,297.400
59,373.454,291.056
60,379.564,284.504
61,325.500,213.500
62,328.131,222.415
63,329.612,231.591
64,329.849,240.883
65,329.397,250.167
66,328.660,259.433
67,327.584,268.665
68,326.037,277.831
69,326.470,287.116
70,328.721,296.134
71,333.876,303.869
72,341.079,309.744
73,350.028,312.256
74,359.125,310.348
75,366.748,305.031
76,325.000,204.250
77,327.167,212.638
78,328.601,221.182
79,329.601,229.788
80,330.117,238.436
81,330.166,247.099
82,329.798,255.755
83,328.879,264.370
84,327.363,272.899
85,326.448,281.514
86,325.915,290.161
87,326.424,298.810
88,329.147,307.035
89,334.664,313.714
90,342.507,317.395
91,330.750,191.000
92,330.000,200.564
93,330.000,210.157
94,330.750,219.721
95,331.500,229.284
96,331.750,238.874
97,332.000,248.464
98,331.000,258.005
99,329.750,267.516
100,328.000,276.948
101,324.750,285.974
102,321.500,295.000
103,320.500,304.541
104,324.000,313.473
105,332.319,318.250
106,348.000,182.000
107,341.831,188.169
108,336.920,195.379
109,333.486,203.398
110,331.736,211.945
111,331.425,220.663
112,332.242,229.348
113,334.086,237.875
114,334.953,246.556
115,335.410,255.268
116,335.157,263.988
117,333.889,272.619
118,331.612,281.040
119,328.462,289.175
120,324.701,297.047
121,361.250,180.000
122,352.282,184.000
123,343.990,189.260
124,336.948,196.105
125,331.250,204.102
126,329.000,213.661
127,329.470,223.470
128,331.146,233.146
129,331.750,242.947
130,332.500,252.738
131,333.250,262.529
132,333.500,272.346
133,332.396,282.104
134,328.246,291.004
135,323.000,299.305
136,377.500,196.000
137,370.726,190.526
138,362.780,186.963
139,354.078,186.600
140,345.717,189.035
141,338.417,193.785
142,332.575,200.243
143,328.209,207.779
144,327.002,216.404
145,327.000,225.113
146,327.733,233.791
147,329.231,242.370
148,330.961,250.905
149,332.418,259.491
150,333.132,268.171
151,385.500,206.750
152,379.017,201.351
153,372.452,196.052
154,366.007,190.607
155,358.626,186.521
156,350.291,185.219
157,342.102,187.250
158,335.366,192.330
159,330.086,198.910
160,325.694,206.113
161,323.527,214.267
162,323.458,222.703
163,325.102,230.978
164,327.468,239.076
165,329.624,247.233
166,388.000,217.250
167,383.442,210.309
168,378.559,203.592
169,373.119,197.318
170,367.056,191.644
171,360.079,187.141
172,352.228,184.437
173,343.988,183.405
174,335.824,184.921
175,330.084,190.922
176,325.375,197.762
177,321.646,205.182
178,319.555,213.218
179,319.644,221.522
180,321.839,229.530
181,389.500,232.000
182,386.467,223.750
183,383.357,215.528
184,379.755,207.510
185,375.446,199.848
186,370.223,192.778
187,363.821,186.755
188,356.102,182.550
189,347.435,181.083
190,338.675,181.819
191,331.075,186.236
192,324.456,192.020
193,319.779,199.463
194,317.331,207.905
195,316.000,216.594
196,392.000,241.250
197,389.400,233.305
198,386.932,225.319
199,384.572,217.300
200,381.863,209.391
201,378.500,201.739
202,374.393,194.458
203,369.375,187.772
204,362.662,182.792
205,354.761,180.061
206,346.451,179.159
207,338.163,180.250
208,330.283,183.040
209,323.348,187.706
210,318.516,194.528
211,392.500,245.750
212,391.633,237.147
213,390.534,228.570
214,388.604,220.142
215,385.888,211.932
216,382.502,203.976
217,378.186,196.484
218,372.506,189.964
219,366.836,183.435
220,359.575,178.741
221,351.418,175.870
222,342.889,174.447
223,334.383,175.999
224,326.947,180.412
225,320.592,186.276
