points,Image,X,Y
1,206_fs3-00001.jpg,227.250,416.250
2,206_fs3-00001.jpg,227.833,416.358
3,206_fs3-00001.jpg,228.417,416.466
4,206_fs3-00001.jpg,229.000,416.574
5,206_fs3-00001.jpg,229.584,416.682
6,206_fs3-00001.jpg,230.167,416.790
7,206_fs3-00001.jpg,230.750,416.898
8,206_fs3-00001.jpg,231.334,417.006
9,206_fs3-00001.jpg,231.917,417.114
10,206_fs3-00001.jpg,232.500,417.222
11,206_fs3-00001.jpg,233.084,417.330
12,206_fs3-00001.jpg,233.667,417.438
13,206_fs3-00001.jpg,234.257,417.500
14,206_fs3-00001.jpg,234.851,417.500
15,206_fs3-00001.jpg,235.444,417.500
16,206_fs3-00001.jpg,236.037,417.500
17,206_fs3-00001.jpg,236.575,417.750
18,206_fs3-00001.jpg,237.169,417.750
19,206_fs3-00001.jpg,237.762,417.750
20,206_fs3-00001.jpg,238.355,417.750
21,206_fs3-00001.jpg,238.948,417.750
22,206_fs3-00001.jpg,239.542,417.750
23,206_fs3-00001.jpg,240.135,417.750
24,206_fs3-00001.jpg,240.728,417.750
25,206_fs3-00001.jpg,241.266,418.000
26,206_fs3-00001.jpg,241.860,418.000
27,206_fs3-00001.jpg,242.453,418.000
28,206_fs3-00001.jpg,243.046,418.000
29,206_fs3-00001.jpg,243.640,418.000
30,206_fs3-00001.jpg,244.233,418.000
31,206_fs3-00001.jpg,244.826,418.000
32,206_fs3-00001.jpg,245.419,418.000
33,206_fs3-00001.jpg,246.013,418.000
34,206_fs3-00001.jpg,246.598,418.098
35,206_fs3-00001.jpg,247.171,418.250
36,206_fs3-00001.jpg,247.765,418.250
37,206_fs3-00001.jpg,248.358,418.250
38,206_fs3-00001.jpg,248.951,418.250
39,206_fs3-00001.jpg,249.545,418.250
40,206_fs3-00001.jpg,250.138,418.250
41,206_fs3-00001.jpg,250.676,418.500
42,206_fs3-00001.jpg,251.269,418.500
43,206_fs3-00001.jpg,251.863,418.500
44,206_fs3-00001.jpg,252.401,418.750
45,206_fs3-00001.jpg,252.994,418.750
46,206_fs3-00001.jpg,253.532,419.000
47,206_fs3-00001.jpg,254.125,419.000
48,206_fs3-00001.jpg,254.663,419.250
49,206_fs3-00001.jpg,255.257,419.250
50,206_fs3-00001.jpg,255.850,419.250
51,206_fs3-00001.jpg,256.443,419.250
52,206_fs3-00001.jpg,256.981,419.500
53,206_fs3-00001.jpg,257.575,419.500
54,206_fs3-00001.jpg,258.113,419.750
55,206_fs3-00001.jpg,258.678,419.928
56,206_fs3-00001.jpg,259.267,420.000
57,206_fs3-00001.jpg,259.806,420.250
58,206_fs3-00001.jpg,260.399,420.250
59,206_fs3-00001.jpg,260.992,420.250
60,206_fs3-00001.jpg,261.530,420.500
