points,Image,X,Y
1,206_fs1-00001.jpg,492.000,169.500
2,206_fs1-00001.jpg,491.497,169.750
3,206_fs1-00001.jpg,490.935,169.750
4,206_fs1-00001.jpg,490.373,169.750
5,206_fs1-00001.jpg,489.811,169.750
6,206_fs1-00001.jpg,489.249,169.750
7,206_fs1-00001.jpg,488.687,169.750
8,206_fs1-00001.jpg,488.125,169.750
9,206_fs1-00001.jpg,487.563,169.750
10,206_fs1-00001.jpg,487.001,169.750
11,206_fs1-00001.jpg,486.439,169.750
12,206_fs1-00001.jpg,485.877,169.750
13,206_fs1-00001.jpg,485.315,169.750
14,206_fs1-00001.jpg,484.753,169.750
15,206_fs1-00001.jpg,484.191,169.750
16,206_fs1-00001.jpg,483.629,169.750
17,206_fs1-00001.jpg,483.067,169.750
18,206_fs1-00001.jpg,482.505,169.750
19,206_fs1-00001.jpg,481.945,169.695
20,206_fs1-00001.jpg,481.418,169.500
21,206_fs1-00001.jpg,480.856,169.500
22,206_fs1-00001.jpg,480.294,169.500
23,206_fs1-00001.jpg,479.732,169.500
24,206_fs1-00001.jpg,479.170,169.500
25,206_fs1-00001.jpg,478.608,169.500
26,206_fs1-00001.jpg,478.074,169.324
27,206_fs1-00001.jpg,477.517,169.250
28,206_fs1-00001.jpg,477.009,169.009
29,206_fs1-00001.jpg,476.448,169.000
30,206_fs1-00001.jpg,475.886,169.000
31,206_fs1-00001.jpg,475.324,169.000
32,206_fs1-00001.jpg,474.820,168.750
33,206_fs1-00001.jpg,474.258,168.750
34,206_fs1-00001.jpg,473.696,168.750
35,206_fs1-00001.jpg,473.134,168.750
36,206_fs1-00001.jpg,472.572,168.750
37,206_fs1-00001.jpg,472.010,168.750
38,206_fs1-00001.jpg,471.507,168.500
39,206_fs1-00001.jpg,471.003,168.251
40,206_fs1-00001.jpg,470.444,168.194
41,206_fs1-00001.jpg,469.916,168.000
42,206_fs1-00001.jpg,469.354,168.000
43,206_fs1-00001.jpg,468.792,168.000
44,206_fs1-00001.jpg,468.230,168.000
45,206_fs1-00001.jpg,467.668,168.000
46,206_fs1-00001.jpg,467.106,168.000
47,206_fs1-00001.jpg,466.544,168.000
48,206_fs1-00001.jpg,465.982,168.000
49,206_fs1-00001.jpg,465.425,167.925
50,206_fs1-00001.jpg,464.891,167.750
51,206_fs1-00001.jpg,464.329,167.750
52,206_fs1-00001.jpg,463.767,167.750
53,206_fs1-00001.jpg,463.205,167.750
54,206_fs1-00001.jpg,462.702,167.500
55,206_fs1-00001.jpg,462.149,167.399
56,206_fs1-00001.jpg,461.607,167.250
57,206_fs1-00001.jpg,461.045,167.250
58,206_fs1-00001.jpg,460.483,167.250
59,206_fs1-00001.jpg,459.926,167.176
60,206_fs1-00001.jpg,459.392,167.000
61,206_fs1-00001.jpg,458.889,166.750
62,206_fs1-00001.jpg,458.327,166.750
63,206_fs1-00001.jpg,457.801,166.551
64,206_fs1-00001.jpg,457.309,166.280
65,206_fs1-00001.jpg,456.748,166.249
66,206_fs1-00001.jpg,456.245,166.000
67,206_fs1-00001.jpg,455.741,165.750
68,206_fs1-00001.jpg,455.179,165.750
69,206_fs1-00001.jpg,454.630,165.630
70,206_fs1-00001.jpg,454.083,165.500
71,206_fs1-00001.jpg,453.580,165.250
72,206_fs1-00001.jpg,453.053,165.054
73,206_fs1-00001.jpg,452.494,165.000
74,206_fs1-00001.jpg,451.991,164.750
75,206_fs1-00001.jpg,451.429,164.750
76,206_fs1-00001.jpg,450.925,164.500
77,206_fs1-00001.jpg,450.422,164.250
78,206_fs1-00001.jpg,449.860,164.250
79,206_fs1-00001.jpg,449.326,164.076
80,206_fs1-00001.jpg,448.769,164.000
81,206_fs1-00001.jpg,448.260,163.760
82,206_fs1-00001.jpg,447.699,163.750
83,206_fs1-00001.jpg,447.163,163.581
84,206_fs1-00001.jpg,446.606,163.500
85,206_fs1-00001.jpg,446.044,163.500
86,206_fs1-00001.jpg,445.590,163.170
87,206_fs1-00001.jpg,445.054,163.000
88,206_fs1-00001.jpg,444.492,162.992
89,206_fs1-00001.jpg,443.985,162.750
90,206_fs1-00001.jpg,443.424,162.712
91,206_fs1-00001.jpg,442.904,162.500
92,206_fs1-00001.jpg,442.359,162.359
93,206_fs1-00001.jpg,441.808,162.250
94,206_fs1-00001.jpg,441.246,162.250
95,206_fs1-00001.jpg,440.745,161.995
96,206_fs1-00001.jpg,440.240,161.750
97,206_fs1-00001.jpg,439.678,161.750
98,206_fs1-00001.jpg,439.116,161.750
99,206_fs1-00001.jpg,438.612,161.500
100,206_fs1-00001.jpg,438.050,161.500
101,206_fs1-00001.jpg,437.547,161.250
102,206_fs1-00001.jpg,436.985,161.250
103,206_fs1-00001.jpg,436.423,161.250
104,206_fs1-00001.jpg,435.861,161.250
105,206_fs1-00001.jpg,435.358,161.000
106,206_fs1-00001.jpg,434.796,161.000
107,206_fs1-00001.jpg,434.234,161.000
108,206_fs1-00001.jpg,433.672,161.000
109,206_fs1-00001.jpg,433.110,161.000
110,206_fs1-00001.jpg,432.548,161.000
111,206_fs1-00001.jpg,431.986,161.000
112,206_fs1-00001.jpg,431.482,160.750
113,206_fs1-00001.jpg,430.920,160.750
114,206_fs1-00001.jpg,430.358,160.750
115,206_fs1-00001.jpg,429.796,160.750
116,206_fs1-00001.jpg,429.234,160.750
117,206_fs1-00001.jpg,428.672,160.750
118,206_fs1-00001.jpg,428.110,160.750
119,206_fs1-00001.jpg,427.548,160.750
120,206_fs1-00001.jpg,427.045,160.500
121,206_fs1-00001.jpg,426.483,160.500
122,206_fs1-00001.jpg,425.980,160.250
123,206_fs1-00001.jpg,425.418,160.250
124,206_fs1-00001.jpg,424.856,160.250
125,206_fs1-00001.jpg,424.294,160.250
126,206_fs1-00001.jpg,423.746,160.123
127,206_fs1-00001.jpg,423.198,160.000
128,206_fs1-00001.jpg,422.636,160.000
129,206_fs1-00001.jpg,422.074,160.000
130,206_fs1-00001.jpg,421.570,159.750
131,206_fs1-00001.jpg,421.008,159.750
132,206_fs1-00001.jpg,420.503,159.503
133,206_fs1-00001.jpg,419.941,159.500
134,206_fs1-00001.jpg,419.379,159.500
135,206_fs1-00001.jpg,418.817,159.500
136,206_fs1-00001.jpg,418.255,159.500
137,206_fs1-00001.jpg,417.694,159.472
138,206_fs1-00001.jpg,417.178,159.250
139,206_fs1-00001.jpg,416.616,159.250
140,206_fs1-00001.jpg,416.054,159.250
141,206_fs1-00001.jpg,415.492,159.250
142,206_fs1-00001.jpg,414.930,159.250
143,206_fs1-00001.jpg,414.368,159.250
144,206_fs1-00001.jpg,413.806,159.250
145,206_fs1-00001.jpg,413.244,159.250
146,206_fs1-00001.jpg,412.682,159.250
147,206_fs1-00001.jpg,412.120,159.250
148,206_fs1-00001.jpg,411.558,159.250
149,206_fs1-00001.jpg,410.996,159.254
150,206_fs1-00001.jpg,410.490,159.500
151,206_fs1-00001.jpg,409.930,159.535
152,206_fs1-00001.jpg,409.410,159.750
153,206_fs1-00001.jpg,408.907,160.000
154,206_fs1-00001.jpg,408.404,160.250
155,206_fs1-00001.jpg,407.842,160.250
156,206_fs1-00001.jpg,407.280,160.250
157,206_fs1-00001.jpg,406.776,160.500
158,206_fs1-00001.jpg,406.273,160.750
159,206_fs1-00001.jpg,405.712,160.788
160,206_fs1-00001.jpg,405.392,161.250
161,206_fs1-00001.jpg,404.851,161.399
162,206_fs1-00001.jpg,404.298,161.500
163,206_fs1-00001.jpg,403.780,161.720
164,206_fs1-00001.jpg,403.383,162.117
165,206_fs1-00001.jpg,402.881,162.369
166,206_fs1-00001.jpg,402.379,162.621
167,206_fs1-00001.jpg,401.963,163.000
168,206_fs1-00001.jpg,401.468,163.266
169,206_fs1-00001.jpg,400.957,163.500
170,206_fs1-00001.jpg,400.454,163.750
171,206_fs1-00001.jpg,399.950,164.000
172,206_fs1-00001.jpg,399.447,164.250
173,206_fs1-00001.jpg,398.944,164.500
174,206_fs1-00001.jpg,398.440,164.750
175,206_fs1-00001.jpg,397.937,165.000
176,206_fs1-00001.jpg,397.375,165.000
177,206_fs1-00001.jpg,396.872,165.250
178,206_fs1-00001.jpg,396.368,165.500
