points,Image,X,Y
1,206_fs1-00001.jpg,492.000,169.125
2,206_fs1-00001.jpg,491.474,169.000
3,206_fs1-00001.jpg,490.933,169.000
4,206_fs1-00001.jpg,490.393,169.000
5,206_fs1-00001.jpg,489.852,169.000
6,206_fs1-00001.jpg,489.311,169.000
7,206_fs1-00001.jpg,488.770,169.000
8,206_fs1-00001.jpg,488.230,169.000
9,206_fs1-00001.jpg,487.689,169.000
10,206_fs1-00001.jpg,487.148,169.000
11,206_fs1-00001.jpg,486.608,169.000
12,206_fs1-00001.jpg,486.067,169.000
13,206_fs1-00001.jpg,485.526,169.000
14,206_fs1-00001.jpg,485.000,169.125
15,206_fs1-00001.jpg,484.460,169.125
16,206_fs1-00001.jpg,483.919,169.125
17,206_fs1-00001.jpg,483.378,169.125
18,206_fs1-00001.jpg,482.837,169.125
19,206_fs1-00001.jpg,482.304,169.036
20,206_fs1-00001.jpg,481.765,169.000
21,206_fs1-00001.jpg,481.224,169.000
22,206_fs1-00001.jpg,480.685,168.953
23,206_fs1-00001.jpg,480.150,168.875
24,206_fs1-00001.jpg,479.610,168.847
25,206_fs1-00001.jpg,479.078,168.750
26,206_fs1-00001.jpg,478.539,168.708
27,206_fs1-00001.jpg,478.005,168.625
28,206_fs1-00001.jpg,477.465,168.598
29,206_fs1-00001.jpg,476.932,168.509
30,206_fs1-00001.jpg,476.406,168.383
31,206_fs1-00001.jpg,475.865,168.375
32,206_fs1-00001.jpg,475.333,168.278
33,206_fs1-00001.jpg,474.793,168.250
34,206_fs1-00001.jpg,474.267,168.125
35,206_fs1-00001.jpg,473.727,168.125
36,206_fs1-00001.jpg,473.189,168.064
37,206_fs1-00001.jpg,472.660,167.955
38,206_fs1-00001.jpg,472.125,167.875
39,206_fs1-00001.jpg,471.584,167.875
40,206_fs1-00001.jpg,471.048,167.808
41,206_fs1-00001.jpg,470.510,167.750
42,206_fs1-00001.jpg,469.972,167.699
43,206_fs1-00001.jpg,469.436,167.625
44,206_fs1-00001.jpg,468.896,167.625
45,206_fs1-00001.jpg,468.378,167.469
46,206_fs1-00001.jpg,467.845,167.375
47,206_fs1-00001.jpg,467.310,167.296
48,206_fs1-00001.jpg,466.806,167.102
49,206_fs1-00001.jpg,466.275,167.000
50,206_fs1-00001.jpg,465.765,166.820
51,206_fs1-00001.jpg,465.230,166.740
52,206_fs1-00001.jpg,464.702,166.625
53,206_fs1-00001.jpg,464.161,166.625
54,206_fs1-00001.jpg,463.682,166.375
55,206_fs1-00001.jpg,463.141,166.375
56,206_fs1-00001.jpg,462.650,166.150
57,206_fs1-00001.jpg,462.130,166.000
58,206_fs1-00001.jpg,461.607,165.863
59,206_fs1-00001.jpg,461.134,165.602
60,206_fs1-00001.jpg,460.603,165.500
61,206_fs1-00001.jpg,460.062,165.487
62,206_fs1-00001.jpg,459.532,165.381
63,206_fs1-00001.jpg,459.002,165.275
64,206_fs1-00001.jpg,458.462,165.250
65,206_fs1-00001.jpg,457.921,165.250
66,206_fs1-00001.jpg,457.381,165.226
67,206_fs1-00001.jpg,456.850,165.120
68,206_fs1-00001.jpg,456.320,165.014
69,206_fs1-00001.jpg,455.787,164.923
70,206_fs1-00001.jpg,455.249,164.875
71,206_fs1-00001.jpg,454.710,164.834
72,206_fs1-00001.jpg,454.185,164.703
73,206_fs1-00001.jpg,453.650,164.625
74,206_fs1-00001.jpg,453.116,164.539
75,206_fs1-00001.jpg,452.577,164.500
76,206_fs1-00001.jpg,452.079,164.289
77,206_fs1-00001.jpg,451.564,164.125
78,206_fs1-00001.jpg,451.048,163.962
79,206_fs1-00001.jpg,450.515,163.875
80,206_fs1-00001.jpg,450.000,163.708
81,206_fs1-00001.jpg,449.481,163.558
82,206_fs1-00001.jpg,448.943,163.500
83,206_fs1-00001.jpg,448.447,163.286
84,206_fs1-00001.jpg,447.936,163.109
85,206_fs1-00001.jpg,447.413,162.971
86,206_fs1-00001.jpg,446.881,162.875
87,206_fs1-00001.jpg,446.343,162.823
88,206_fs1-00001.jpg,445.823,162.674
89,206_fs1-00001.jpg,445.292,162.570
90,206_fs1-00001.jpg,444.762,162.462
91,206_fs1-00001.jpg,444.229,162.375
92,206_fs1-00001.jpg,443.706,162.235
93,206_fs1-00001.jpg,443.193,162.064
94,206_fs1-00001.jpg,442.657,162.000
95,206_fs1-00001.jpg,442.131,161.875
96,206_fs1-00001.jpg,441.590,161.858
97,206_fs1-00001.jpg,441.105,161.618
98,206_fs1-00001.jpg,440.578,161.500
99,206_fs1-00001.jpg,440.041,161.430
100,206_fs1-00001.jpg,439.509,161.336
101,206_fs1-00001.jpg,438.975,161.250
102,206_fs1-00001.jpg,438.473,161.049
103,206_fs1-00001.jpg,437.961,160.875
104,206_fs1-00001.jpg,437.421,160.875
105,206_fs1-00001.jpg,436.895,160.750
106,206_fs1-00001.jpg,436.369,160.625
107,206_fs1-00001.jpg,435.828,160.625
108,206_fs1-00001.jpg,435.302,160.500
109,206_fs1-00001.jpg,434.773,160.387
110,206_fs1-00001.jpg,434.238,160.307
111,206_fs1-00001.jpg,433.709,160.195
112,206_fs1-00001.jpg,433.173,160.125
113,206_fs1-00001.jpg,432.656,159.969
114,206_fs1-00001.jpg,432.123,159.875
115,206_fs1-00001.jpg,431.585,159.820
116,206_fs1-00001.jpg,431.049,159.750
117,206_fs1-00001.jpg,430.521,159.632
118,206_fs1-00001.jpg,429.997,159.500
119,206_fs1-00001.jpg,429.456,159.500
120,206_fs1-00001.jpg,428.916,159.500
121,206_fs1-00001.jpg,428.375,159.500
122,206_fs1-00001.jpg,427.834,159.500
123,206_fs1-00001.jpg,427.293,159.500
124,206_fs1-00001.jpg,426.753,159.500
125,206_fs1-00001.jpg,426.212,159.500
126,206_fs1-00001.jpg,425.671,159.500
127,206_fs1-00001.jpg,425.131,159.500
128,206_fs1-00001.jpg,424.590,159.500
129,206_fs1-00001.jpg,424.049,159.500
130,206_fs1-00001.jpg,423.509,159.500
131,206_fs1-00001.jpg,422.968,159.500
