"(Intercept)" "fs" "height" "poisson" "pool" "s(time)" "treatment" "s(fs, bs = \"re\")" "s(poisson, bs = \"re\")" "s(poisson_fs, bs = \"re\")" "origin_treatment" "s(time, by = treatment)" "s(time, by = pool)" "s(time, pool, bs = \"fs\")" "bief" "temperature_ellerby" "class" "REML" "df" "logLik" "AICc" "delta" "weight"
0.000518379042793094 NA NA NA NA "+" NA NA NA NA NA NA NA NA NA NA "gam" "FALSE" 8 8498.18234521003 -16978.3867544114 0 0.997753041707686
0.00051747581957639 NA NA NA NA NA NA NA NA NA NA "+" NA NA NA NA "gam" "FALSE" 11 8494.86629260617 -16966.1948645052 12.1918899061857 0.00224692101078884
0.000517475809793508 NA NA NA NA NA NA NA NA NA NA "+" NA NA NA NA "gamm" "" 6 8478.11114861589 -16944.1817175216 34.2050368897762 3.72815253703627e-08
0.000495791434634293 NA NA NA "+" "+" NA NA NA NA NA NA NA NA NA NA "gam" "FALSE" 9 8364.77700115418 -16709.9566434658 268.430110945621 5.13056365464741e-59
0.000523793159863425 NA NA NA "+" "+" "+" NA NA NA NA NA NA NA NA NA "gam" "FALSE" 10 8364.84812922696 -16708.0861786994 270.300575711972 2.01371876428695e-59
0.000195567788066465 NA 4.83271022434636e-06 NA "+" "+" "+" NA NA NA NA NA NA NA NA NA "gam" "FALSE" 11 8365.00899088393 -16706.3849594272 272.001794984204 8.60168918686732e-60
0.00019556730173487 NA 4.83274593544569e-06 NA "+" "+" "+" NA "+" NA NA NA NA NA NA NA "gam" "FALSE" 11 8365.00998161616 -16706.3581048747 272.028649536685 8.4869638778901e-60
0.000195567862611736 NA 4.83272079313382e-06 NA "+" "+" "+" "+" "+" NA NA NA NA NA NA NA "gam" "FALSE" 11 8365.00994352595 -16706.3535477589 272.033206652526 8.46764785382323e-60
0.000195567862611736 NA 4.83272079313382e-06 NA "+" "+" "+" NA "+" "+" NA NA NA NA NA NA "gam" "FALSE" 11 8365.00994352595 -16706.3535477589 272.033206652526 8.46764785382323e-60
0.000115091046418195 NA 5.34537784608491e-06 NA "+" "+" "+" "+" "+" NA "+" NA NA NA NA NA "gam" "FALSE" 12 8365.21557666436 -16705.0314528084 273.355301603056 4.37193320207435e-60
0.000516866045574316 NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "gam" "FALSE" 12 8364.79340927745 -16704.1285499065 274.258204504946 2.78362445873865e-60
8.65908852194317e-05 NA 5.52423740418374e-06 NA "+" NA "+" "+" "+" NA "+" NA "+" NA NA NA "gam" "FALSE" 16 8365.28962512682 -16697.7173790137 280.669375397716 1.12834672626872e-61
9.98809606748268e-05 NA 5.58289197398094e-06 NA "+" NA "+" "+" "+" NA "+" "+" NA NA NA NA "gam" "FALSE" 15 8362.30184740204 -16693.9042710022 284.482483409254 1.67662790102087e-62
0.000195567585294787 NA 4.83271323716728e-06 NA "+" "+" "+" NA NA NA NA NA NA NA NA NA "gamm" "" 9 8352.55098232296 -16687.0134690707 291.373285340709 5.34709698907954e-64
0.000115090633913326 NA 5.34537111781404e-06 NA NA "+" NA NA NA NA "+" NA NA NA NA NA "gamm" "" 10 8352.74067919646 -16685.3731439315 293.013610479884 2.35464794844185e-64
-8.04588918446742e-05 NA 7.17463190039285e-06 NA "+" NA "+" "+" "+" NA "+" NA "+" NA "+" NA "gam" "FALSE" 22 8365.55300170351 -16685.2326395414 293.154114870063 2.19490558096489e-64
0.00051191632083523 NA NA NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 8 8346.90142818662 -16677.7320947025 300.65465970894 5.16051714642023e-66
0.000173520331378406 NA 4.97303043063414e-06 NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 9 8347.07588184368 -16676.0632681121 302.323486299269 2.24033072819021e-66
0.000173520005948248 NA 4.9730376027846e-06 NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 10 8347.07588130818 -16674.043548155 304.343206256442 8.16085233131949e-67
8.65904392317871e-05 NA 5.52423326604634e-06 NA NA NA NA NA NA NA "+" NA "+" NA NA NA "gamm" "" 12 8347.29141800171 -16670.4292170965 307.957537314942 1.33934821195548e-67
9.988112792954e-05 NA 5.58287457201688e-06 NA NA NA NA NA NA NA "+" "+" NA NA NA NA "gamm" "" 12 8345.89307132545 -16667.632523744 310.754230667455 3.30825712831254e-68
0.000281105346227165 NA 3.09936528637711e-06 NA "+" NA "+" "+" "+" NA "+" NA "+" NA NA "+" "gam" "FALSE" 51 8371.44228115789 -16637.5152879213 340.871466490094 9.54387171251008e-75
0.00214481997716307 "+" -2.50781179050983e-05 "+" "+" "+" "+" NA NA NA NA NA NA NA NA NA "gam" "FALSE" 199 8382.47019195271 -16322.3351084408 656.051645970592 3.4611324263055e-143
4.08844894707587 NA NA NA NA "+" NA "+" NA NA NA NA "+" NA NA NA "gam" "FALSE" 188 -3020.8621303524 6450.00670902813 23428.3934634395 0
3.13189917437274 NA NA NA NA NA NA "+" NA NA NA NA NA "+" NA NA "gam" "FALSE" 192 -3017.36442295582 6453.21808355029 23431.6048379617 0
132.972496568469 NA NA NA "+" NA NA NA NA NA NA NA "+" NA NA NA "gamm" "" 7 -155514.587018876 311043.177882849 328021.564637261 0
121.571112784577 NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "gamm" "" 6 -155630.396281678 311272.795447081 328251.182201492 0
125.121068104742 NA NA NA NA "+" NA NA NA NA NA NA NA NA NA NA "gamm" "" 4 -158275.150789318 316558.302930033 333536.689684445 0
