"(Intercept)" "fs" "height" "poisson" "pool" "s(time)" "treatment" "s(fs, bs = \"re\")" "s(poisson, bs = \"re\")" "origin_treatment" "s(time, by = treatment)" "s(time, by = pool)" "s(time, by = height)" "bief" "s(time, pool, bs = \"fs\")" "temperature_ellerby" "class" "REML" "df" "logLik" "AICc" "delta" "weight"
43.3871354403091 NA NA NA NA NA NA "+" NA NA NA "+" NA NA NA NA "gam" "FALSE" 135 -11195.767367895 22679.2702534782 0 0.280594722425476
44.0412696653289 NA NA NA NA NA NA "+" NA NA NA NA NA NA "+" NA "gam" "FALSE" 135 -11196.5303145658 22679.9224291608 0.652175682640518 0.202516936076288
37.8656049647312 NA 0.0961560821176321 NA "+" NA "+" "+" "+" "+" NA "+" NA NA NA NA "gam" "FALSE" 135 -11197.0621560356 22680.7102571354 1.44000365719694 0.136579864401103
44.8793015802085 NA NA NA NA NA NA "+" NA NA NA "+" NA "+" NA NA "gam" "FALSE" 135 -11197.4693152243 22681.6294969337 2.35924345549938 0.0862534134676262
38.3473453253671 NA 0.076626715255622 NA NA NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "FALSE" 135 -11197.6018058076 22681.6756686113 2.40541513306744 0.0842849898477282
41.493409713377 NA 0.0494168780758235 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA NA "gam" "FALSE" 134 -11198.3696992596 22682.5230077594 3.25275428115492 0.0551763389255705
44.8791469862109 NA NA NA NA NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "FALSE" 135 -11197.4681534124 22682.593688631 3.32343515283719 0.0532604368674688
38.3485239798033 NA 0.0766054836863512 NA "+" NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "FALSE" 135 -11197.6017371036 22682.6180153151 3.34776183693612 0.0526165358886477
38.3675641486819 NA 0.076996813208896 NA "+" NA "+" "+" "+" NA NA "+" NA "+" NA NA "gam" "FALSE" 135 -11197.6285890682 22683.4247492631 4.15449578491098 0.0351513655548892
43.4056658408491 NA NA NA NA "+" NA "+" NA NA NA "+" NA NA NA NA "gam" "FALSE" 138 -11196.0393209137 22685.3530431084 6.08278963015255 0.0134035090789511
42.4182936036719 NA 0.0913975042637196 NA "+" NA "+" "+" "+" "+" NA "+" NA NA NA "+" "gam" "FALSE" 131 -11208.5130313582 22694.7255452763 15.4552917980982 0.000123596316060955
44.125994621965 NA 0.0331570046109611 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA "+" "gam" "FALSE" 130 -11211.0449218365 22697.0691491953 17.7988957171401 3.82911492623878e-05
38.8442640918179 NA 0.0928296981849709 NA "+" "+" "+" "+" "+" "+" NA NA NA NA NA NA "gam" "FALSE" 124 -11234.7965919683 22733.1843583414 53.9141048631609 5.50529225444299e-13
38.2771577543123 NA 0.104490713559979 NA "+" NA "+" "+" "+" "+" "+" NA NA NA NA NA "gam" "FALSE" 132 -11227.1593212108 22734.3059650308 55.0357115525949 3.14214759302162e-13
39.2827386743286 NA 0 NA "+" NA "+" "+" "+" "+" NA NA "+" NA NA NA "gam" "FALSE" 125 -11236.6255966549 22737.5596067105 58.2893532323324 6.17599971195215e-14
36.9266768711245 NA 0.105889759135743 NA "+" "+" "+" "+" "+" NA NA NA NA NA NA NA "gam" "FALSE" 131 -11234.105151508 22745.8095016479 66.5392481697309 9.9830982034253e-16
45.3289528625518 NA NA NA NA NA NA NA "+" NA NA "+" NA "+" NA NA "gam" "FALSE" 63 -11325.8278923833 22781.8791899614 102.608936483201 1.46835830530699e-23
43.3871357313463 NA NA NA NA NA NA NA NA NA NA "+" NA NA NA NA "gamm" "" 7 -11396.1260857064 22806.2984524045 127.028198926335 7.31571163430151e-29
37.8630561170093 NA 0.0961849309250489 NA NA NA NA NA NA "+" NA "+" NA NA NA NA "gamm" "" 12 -11392.3928027395 22808.9147980255 129.644544547325 1.97753575913357e-29
44.8793015906312 NA NA NA NA NA NA NA NA NA NA "+" NA "+" NA NA "gamm" "" 13 -11392.6142605743 22811.3793082239 132.10905474571 5.76717002903765e-30
