"(Intercept)" "fs" "height" "poisson" "pool" "s(time)" "treatment" "s(fs, bs = \"re\")" "s(poisson, bs = \"re\")" "s(poisson_fs, bs = \"re\")" "origin_treatment" "s(time, by = treatment)" "s(time, by = pool)" "s(time, pool, bs = \"fs\")" "bief" "temperature_ellerby" "class" "REML" "df" "logLik" "AICc" "delta" "weight"
4.08844894707587 NA NA NA NA "+" NA "+" NA NA NA NA "+" NA NA NA "gam" "FALSE" 188 -3020.8621303524 6450.00670902813 0 0.361650961226633
2.9365496710345 NA 0.0139119399222637 NA "+" NA "+" "+" "+" NA "+" NA "+" NA NA NA "gam" "FALSE" 191 -3018.40651340126 6452.47755133304 2.470842304906 0.105136383597304
2.79881228110062 NA 0.013911929949522 NA "+" NA "+" "+" "+" NA "+" NA "+" NA "+" NA "gam" "FALSE" 191 -3018.52948929696 6452.99663008608 2.98992105794332 0.0811029246071882
3.13189917437274 NA NA NA NA NA NA "+" NA NA NA NA NA "+" NA NA "gam" "FALSE" 192 -3017.36442295582 6453.21808355029 3.21137452215771 0.0726019869638914
2.93990043754944 NA 0.0136636076332495 NA "+" NA "+" "+" "+" NA "+" "+" NA NA NA NA "gam" "FALSE" 191 -3018.75554203399 6453.93909989276 3.93239086462927 0.0506269538307236
4.09787602801259 NA NA NA NA NA NA "+" NA NA NA NA "+" NA NA NA "gam" "FALSE" 192 -3017.75009090993 6454.00700458743 4.00029555929541 0.048936902857747
3.16646851838341 NA 0.0123624774699843 NA "+" NA "+" "+" NA NA NA NA "+" NA NA NA "gam" "FALSE" 192 -3017.91997674958 6454.07621506404 4.06950603590758 0.0472723961025671
4.05118266288145 NA NA NA "+" NA NA "+" NA NA NA NA "+" NA NA NA "gam" "FALSE" 192 -3017.735528443 6454.10265465678 4.09594562864731 0.0466515772429505
4.00386664681768 NA NA NA "+" NA "+" "+" NA NA NA NA "+" NA NA NA "gam" "FALSE" 192 -3017.75956425814 6454.19883952655 4.19213049842074 0.0444610845454508
3.16364648084443 NA 0.0124342506254597 NA "+" NA "+" "+" "+" NA NA NA "+" NA NA NA "gam" "FALSE" 192 -3018.26448716172 6454.54450376852 4.5377947403922 0.0374041694560053
3.15160742768142 NA 0.0124837729538326 NA "+" "+" "+" "+" "+" NA NA NA NA NA NA NA "gam" "FALSE" 186 -3024.85321037675 6454.95009018756 4.94338115942537 0.0305385240887888
3.15160742768142 NA 0.0124837729538326 NA "+" "+" "+" NA "+" "+" NA NA NA NA NA NA "gam" "FALSE" 186 -3024.85321037675 6454.95009018756 4.94338115942537 0.0305385240887888
2.92187428324133 NA 0.0139771387865249 NA "+" "+" "+" "+" "+" NA "+" NA NA NA NA NA "gam" "FALSE" 186 -3025.00205996564 6455.38783487129 5.38112584315331 0.0245353915833248
2.94973286613302 NA 0.00902606954862638 NA "+" NA "+" "+" "+" NA "+" NA "+" NA NA "+" "gam" "FALSE" 191 -3019.95091959676 6455.94851806209 5.94180903395772 0.0185371167734192
4.90399132402177 "+" -0.0137925278464529 "+" "+" "+" "+" NA NA NA NA NA NA NA NA NA "gam" "FALSE" 200 -3017.84735460862 6472.34390768172 22.3371986535867 5.10303521740787e-06
4.09697223951051 NA NA NA NA "+" NA "+" NA NA NA NA NA NA NA NA "gam" "FALSE" 189 -3099.32535385586 6610.37768158208 160.370972553949 5.42219840510766e-36
2.9218741827854 NA 0.013977139964733 NA NA "+" NA NA NA NA "+" NA NA NA NA NA "gamm" "" 10 -3384.89957872073 6789.89017936947 339.883470341338 5.66933074332567e-75
2.93654990633967 NA 0.0139119364871559 NA NA NA NA NA NA NA "+" NA "+" NA NA NA "gamm" "" 12 -3389.05867884667 6802.24655023993 352.239841211799 1.17592588771914e-77
3.16364670591317 NA 0.0124342474541931 NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 11 -3391.42964085785 6804.96855323889 354.961844210755 3.01511936675731e-78
2.93990064554371 NA 0.0136636052414569 NA NA NA NA NA NA NA "+" "+" NA NA NA NA "gamm" "" 12 -3390.53699424432 6805.20318103522 355.196472007091 2.68136373700865e-78
4.09787602658929 NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "gamm" "" 7 -3397.15248915848 6808.35125930869 358.344550280555 5.5559614057216e-79
3.16646850500235 NA 0.0123624774323569 NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 10 -3394.63919615868 6809.36941424537 359.362705217238 3.33940955062946e-79
4.05118265712395 NA NA NA "+" NA NA NA NA NA NA NA "+" NA NA NA "gamm" "" 8 -3396.9545158378 6809.96856040648 359.961851378346 2.47495182097415e-79
4.00386663813603 NA NA NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 9 -3396.56400548749 6811.20245266233 361.195743634203 1.33545866432648e-79
4.09697223773571 NA NA NA NA "+" NA NA NA NA NA NA NA NA NA NA "gamm" "" 5 -3473.26446221093 6956.55330475506 506.546595726928 3.65673886993629e-111
3.12460029898294 NA 0.0126510851574397 NA "+" NA "+" NA "+" NA NA NA "+" NA NA NA "gam" "FALSE" 79 -3645.10723432726 7455.22623720447 1005.21952817633 1.89514537329236e-219
3.12460009777752 NA 0.012651086116254 NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 10 -3795.39169321899 7610.87440836599 1160.86769933786 3.01350282311912e-253
