"(Intercept)" "fs" "height" "poisson" "pool" "s(time)" "segment" "treatment" "s(fs, bs = \"re\")" "s(poisson, bs = \"re\")" "s(poisson_fs, bs = \"re\")" "origin_treatment" "s(time, by = treatment)" "s(time, by = pool)" "s(time, pool, bs = \"fs\")" "bief" "temperature_ellerby" "class" "REML" "df" "logLik" "AICc" "delta" "weight"
131.176391218162 NA -0.310655863342696 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA NA NA "bam" "FALSE" 212 -147496.078645834 295421.160231468 0 0.131003204558867
141.764508042405 NA -0.429519224993391 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA "+" NA "bam" "FALSE" 212 -147496.303163109 295421.218918045 0.0586865766090341 0.127214990891037
134.320778668148 NA -0.334877377560454 NA "+" NA "+" NA "+" NA NA NA NA "+" NA NA NA "bam" "FALSE" 213 -147496.026334126 295421.226244155 0.0660126873990521 0.126749847774934
141.745839867702 NA -0.463865129931614 NA NA NA "+" NA "+" NA NA NA NA "+" NA NA NA "bam" "FALSE" 213 -147495.989448614 295421.23201803 0.0717865625629202 0.126384456560479
141.745983517929 NA -0.463866594778281 NA NA "+" "+" NA "+" NA NA NA NA "+" NA NA NA "bam" "FALSE" 213 -147495.991926705 295421.243619765 0.0833882967708632 0.125653439440443
134.493768805997 NA -0.334069770230063 NA "+" NA "+" "+" "+" NA NA NA NA "+" NA NA NA "bam" "FALSE" 213 -147496.032659283 295421.28222783 0.121996361820493 0.123251083538692
112.113216918564 NA -0.408085799330156 NA NA NA "+" NA "+" NA NA NA NA NA "+" NA NA "bam" "FALSE" 213 -147496.035872609 295421.415381544 0.255150076409336 0.115312605250826
104.18538542877 NA NA NA NA NA "+" NA "+" NA NA NA NA "+" NA NA NA "bam" "FALSE" 213 -147495.579331014 295422.338950003 1.17871853528777 0.0726651947033209
134.768957214542 NA -0.337301933169799 NA "+" NA "+" "+" "+" "+" NA NA NA "+" NA NA NA "bam" "FALSE" 214 -147496.071609801 295424.121860847 2.96162937919144 0.0297969814747617
136.170085591399 NA -0.327139592950863 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA NA "+" "bam" "FALSE" 213 -147496.831060453 295424.731483514 3.57125204586191 0.0219681958066393
130.112116192123 NA -0.310606033753709 NA "+" NA "+" "+" "+" "+" NA "+" "+" NA NA NA NA "bam" "FALSE" 212 -147609.702388713 295648.023770851 226.863539383456 7.15303367671449e-51
133.301946941733 NA -0.332339648659251 NA "+" "+" "+" "+" "+" "+" NA NA NA NA NA NA NA "bam" "FALSE" 207 -147619.545537015 295657.926865626 236.76663415815 5.05895204344164e-53
133.301946941733 NA -0.332339648659251 NA "+" "+" "+" "+" NA "+" "+" NA NA NA NA NA NA "bam" "FALSE" 207 -147619.545537015 295657.926865626 236.76663415815 5.05895204344164e-53
130.135170143798 NA -0.31091509202631 NA "+" "+" "+" "+" "+" "+" NA "+" NA NA NA NA NA "bam" "FALSE" 208 -147619.586454827 295659.774743607 238.614512139466 2.00816298256731e-53
133.560246425372 "+" -0.532212583594487 "+" "+" "+" "+" "+" NA NA NA NA NA NA NA NA NA "bam" "FALSE" 212 -147616.457261575 295660.665614096 239.505382628413 1.28631960410317e-53
135.511062238468 NA -0.334877361093565 NA "+" NA "+" NA NA NA NA NA NA "+" NA NA NA "gamm" "" 20 -147960.400370327 295960.829591761 539.669360292784 8.50294374176023e-119
143.091730935952 NA -0.466575594973705 NA NA NA "+" NA NA NA NA NA NA "+" NA NA NA "gamm" "" 19 -147961.562488086 295961.151078659 539.990847191366 7.24034586604468e-119
132.792809517772 NA -0.315517156774372 NA NA NA "+" NA NA NA NA "+" NA "+" NA NA NA "gamm" "" 23 -147958.174790038 295962.387502582 541.227271113952 3.90187425350402e-119
135.69253898619 NA -0.334069766793196 NA "+" NA "+" "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 21 -147960.370992906 295962.77372312 541.613491652242 3.21667026833404e-119
135.934455452742 NA -0.337019430274363 NA "+" NA "+" "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 22 -147959.509088169 295963.052937441 541.892705973529 2.79753755535894e-119
105.294273850711 NA NA NA NA NA "+" NA NA NA NA NA NA "+" NA NA NA "gamm" "" 18 -147978.245907068 295992.515305567 571.355074098683 1.11970592192025e-125
131.254081790109 NA -0.310451635743086 NA NA NA "+" NA NA NA NA "+" "+" NA NA NA NA "gamm" "" 23 -148069.717184314 296185.472291133 764.312059665332 1.40937621182647e-167
135.393396772209 NA -0.347928619869121 NA "+" NA "+" "+" NA "+" NA NA NA "+" NA NA NA "bam" "FALSE" 97 -149076.534525076 298348.324323853 2927.16409238492 0
136.443433296842 NA -0.347928646355095 NA "+" NA "+" "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 21 -149284.458903203 298610.949543714 3189.78931224643 0
103.483715255251 NA NA NA NA "+" "+" NA "+" NA NA NA NA NA NA NA NA "bam" "FALSE" 209 -149978.592299833 300379.806920183 4958.64668871555 0
104.732350357664 NA NA NA NA "+" "+" NA NA NA NA NA NA NA NA NA NA "gamm" "" 16 -150446.08406124 300924.186508933 5503.02627746481 0
125.139096210574 NA NA NA NA NA NA NA "+" NA NA NA NA "+" NA NA NA "bam" "FALSE" 199 -153428.30536748 307259.263515235 11838.1032837666 0
126.20970190039 NA NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "gamm" "" 7 -153867.385651046 307748.77514719 12327.6149157216 0
