"(Intercept)" "fs" "height" "poisson" "pool" "s(time)" "treatment" "s(fs, bs = \"re\")" "s(poisson, bs = \"re\")" "origin_treatment" "s(time, by = treatment)" "s(time, by = pool)" "s(time, by = height)" "bief" "s(time, pool, bs = \"fs\")" "temperature_ellerby" "class" "REML" "df" "logLik" "AICc" "delta" "weight"
62.2162296773744 NA NA NA NA NA NA "+" NA NA NA "+" NA NA NA NA "gam" "FALSE" 130 -11969.0278401569 24214.484141443 0 0.336977593026146
56.8182777302635 NA 0.101393826968106 NA "+" NA "+" "+" "+" "+" NA "+" NA NA NA NA "gam" "FALSE" 129 -11970.363061604 24215.3933807508 0.90923930786812 0.213876080597347
62.4523995439913 NA NA NA NA NA NA "+" NA NA NA NA NA NA "+" NA "gam" "FALSE" 130 -11969.9981565747 24216.8856423074 2.40150086440917 0.101419563492679
64.0559305749432 NA NA NA NA NA NA "+" NA NA NA "+" NA "+" NA NA "gam" "FALSE" 130 -11970.5198341608 24217.4113665176 2.92722507463259 0.0779762194445765
64.0559339645743 NA NA NA NA NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "FALSE" 130 -11970.5197383577 24217.4469417084 2.96280026547538 0.0766014729648258
56.7508868155421 NA 0.0856454969009553 NA NA NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "FALSE" 130 -11970.6379079875 24217.6008945015 3.1167530585335 0.0709262006742036
56.894286682176 NA 0.0830518789224105 NA "+" NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "FALSE" 131 -11970.6327128199 24218.5841345476 4.09999310462081 0.0433809275131858
60.7244354271303 NA 0.0497866446131603 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA NA "gam" "FALSE" 130 -11971.4149980098 24219.1110062323 4.62686478933392 0.0333342048986686
56.9105654005655 NA 0.0833979770494467 NA "+" NA "+" "+" "+" NA NA "+" NA "+" NA NA "gam" "FALSE" 131 -11970.6433707552 24219.5804416669 5.09630022392594 0.0263604907488964
62.2399879626648 NA NA NA NA "+" NA "+" NA NA NA "+" NA NA NA NA "gam" "FALSE" 133 -11968.6851290321 24220.2244564859 5.74031504295635 0.0191032583955253
59.6301748015907 NA 0.0861093665830154 NA "+" NA "+" "+" "+" "+" NA "+" NA NA NA "+" "gam" "FALSE" 126 -11982.7804504377 24232.7502335455 18.2660921025563 3.6405711304676e-05
63.5344352104435 NA -0.00488488197908376 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA "+" "gam" "FALSE" 125 -11985.3204996289 24235.8879903471 21.4038489041704 7.58253264213746e-06
58.296008112673 NA 0 NA "+" NA "+" "+" "+" "+" NA NA "+" NA NA NA "gam" "FALSE" 119 -12018.3600443451 24287.5182286445 73.0340872015367 4.66069295444701e-17
57.9807780646919 NA 0.0974503097421742 NA "+" "+" "+" "+" "+" "+" NA NA NA NA NA NA "gam" "FALSE" 118 -12022.1328520009 24294.2791930162 79.7950515732118 1.58608235312193e-18
