"(Intercept)" "fs" "height" "poisson" "pool" "s(time)" "treatment" "s(fs, bs = \"re\")" "s(poisson, bs = \"re\")" "s(poisson_fs, bs = \"re\")" "origin_treatment" "s(time, by = treatment)" "s(time, by = pool)" "s(time, pool, bs = \"fs\")" "bief" "temperature_ellerby" "class" "REML" "df" "logLik" "AICc" "delta" "weight"
0.000518379042793095 NA NA NA NA "+" NA NA NA NA NA NA NA NA NA NA "gam" "TRUE" 9 8498.73089928891 -16979.0660165647 0 0.998434683897269
0.000517300634232676 NA NA NA NA NA NA NA NA NA NA "+" NA NA NA NA "gam" "TRUE" 12 8496.02263838175 -16966.1498146641 12.9162019006399 0.00156531610273126
0.000517300593301949 NA NA NA NA NA NA NA NA NA NA "+" NA NA NA NA "gamm" "" 6 8458.74818363002 -16905.4557875499 73.6102290148119 1.03528881697643e-16
0.000495928886218145 NA NA NA "+" "+" NA NA NA NA NA NA NA NA NA NA "gam" "TRUE" 9 8365.32924460448 -16710.5553359733 268.510680591378 4.93135426181845e-59
0.000523792157491495 NA NA NA "+" "+" "+" NA NA NA NA NA NA NA NA NA "gam" "TRUE" 10 8365.39817362403 -16708.6798638362 270.386152728479 1.93069024701571e-59
0.000196021541164183 NA 4.82601056375683e-06 NA "+" "+" "+" NA NA NA NA NA NA NA NA NA "gam" "TRUE" 11 8365.55837525756 -16706.9777715373 272.088245027404 8.24343003302811e-60
0.000196021525687805 NA 4.82602247204664e-06 NA "+" "+" "+" "+" "+" NA NA NA NA NA NA NA "gam" "TRUE" 12 8365.55921566887 -16706.9463675483 272.119649016397 8.11500266162272e-60
0.000196021525687805 NA 4.82602247204664e-06 NA "+" "+" "+" NA "+" "+" NA NA NA NA NA NA "gam" "TRUE" 12 8365.55921566887 -16706.9463675483 272.119649016397 8.11500266162272e-60
0.00019602027975609 NA 4.82609194698102e-06 NA "+" "+" "+" NA "+" NA NA NA NA NA NA NA "gam" "TRUE" 12 8365.56028092149 -16706.9194334976 272.146583067075 8.0064502944806e-60
0.000115216482220334 NA 5.34083150832673e-06 NA "+" "+" "+" "+" "+" NA "+" NA NA NA NA NA "gam" "TRUE" 12 8365.76082395624 -16705.6069614793 273.459055085455 4.15374980784088e-60
0.000516429251639647 NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "gam" "TRUE" 13 8366.18338254598 -16704.6042584429 274.46175812179 2.51597392788295e-60
8.67018891837155e-05 NA 5.50582012353455e-06 NA "+" NA "+" "+" "+" NA "+" NA "+" NA NA NA "gam" "TRUE" 17 8366.66563073251 -16698.1411379934 280.924878571339 9.93704743162227e-62
0.000103774707907245 NA 5.52546693119419e-06 NA "+" NA "+" "+" "+" NA "+" "+" NA NA NA NA "gam" "TRUE" 16 8363.41787883675 -16693.9931262411 285.07289032363 1.2489011208118e-62
-8.11735718791025e-05 NA 7.16459126519482e-06 NA "+" NA "+" "+" "+" NA "+" NA "+" NA "+" NA "gam" "TRUE" 23 8366.91351089484 -16685.7056676165 293.360348948168 1.98120438502026e-64
0.000280768627918781 NA 3.06702317660219e-06 NA "+" NA "+" "+" "+" NA "+" NA "+" NA NA "+" "gam" "TRUE" 52 8372.67923742298 -16637.8013500853 341.264666479456 7.84583009316578e-75
0.000511044777489523 NA NA NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 8 8312.40680357138 -16608.742845472 370.323171092714 3.84295054893277e-81
0.00019602135113711 NA 4.82601334637451e-06 NA "+" "+" "+" NA NA NA NA NA NA NA NA NA "gamm" "" 9 8312.58132854913 -16607.074161523 371.991855041666 1.66845570188883e-81
0.000115216520797599 NA 5.34079617868014e-06 NA NA "+" NA NA NA NA "+" NA NA NA NA NA "gamm" "" 10 8305.87070545864 -16591.6331964559 387.432820108825 7.40204495712835e-85
0.000174076334544308 NA 4.95186417933172e-06 NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 9 8301.81405053757 -16585.5396054999 393.526411064795 3.516780437409e-86
0.000174076251782892 NA 4.95186740666304e-06 NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 10 8301.81405010817 -16583.5198857549 395.546130809762 1.28105768114489e-86
8.67014689656933e-05 NA 5.50575459618031e-06 NA NA NA NA NA NA NA "+" NA "+" NA NA NA "gamm" "" 12 8295.13105465534 -16566.1084904037 412.957526160961 2.12193571774659e-90
0.000103787154528691 NA 5.52526405274681e-06 NA NA NA NA NA NA NA "+" "+" NA NA NA NA "gamm" "" 12 8293.5606363763 -16562.9676538457 416.098362719047 4.41273889120884e-91
0.00214464427003933 "+" -2.50764433958079e-05 "+" "+" "+" "+" NA NA NA NA NA NA NA NA NA "gam" "TRUE" 199 8382.4370245163 -16322.2007577538 656.865258810945 2.30590298479071e-143
4.0938497245742 NA NA NA NA "+" NA "+" NA NA NA NA "+" NA NA NA "gam" "TRUE" 192 -3017.46907544106 6452.24684551904 23431.3128620838 0
3.13190210270694 NA NA NA NA NA NA "+" NA NA NA NA NA "+" NA NA "gam" "TRUE" 192 -3017.29932145495 6453.24957389636 23432.3155904611 0
132.971202633015 NA NA NA "+" NA NA NA NA NA NA NA "+" NA NA NA "gamm" "" 7 -155506.785165794 311027.574176685 328006.64019325 0
121.570832551976 NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "gamm" "" 6 -155620.402581996 311252.808047717 328231.874064282 0
125.121068104742 NA NA NA NA "+" NA NA NA NA NA NA NA NA NA NA "gamm" "" 4 -158272.067733441 316552.13681828 333531.202834844 0
