"(Intercept)" "fs" "height" "poisson" "pool" "s(time)" "treatment" "s(fs, bs = \"re\")" "s(poisson, bs = \"re\")" "origin_treatment" "s(time, by = treatment)" "s(time, by = pool)" "s(time, by = height)" "bief" "s(time, pool, bs = \"fs\")" "temperature_ellerby" "class" "REML" "df" "logLik" "AICc" "delta" "weight"
43.388036227716 NA NA NA NA NA NA "+" NA NA NA "+" NA NA NA NA "gam" "TRUE" 136 -11195.3540787659 22679.3283300828 0 0.460585370523633
44.0406397956476 NA NA NA NA NA NA "+" NA NA NA NA NA NA "+" NA "gam" "TRUE" 135 -11196.1749265571 22679.9915911382 0.663261055411567 0.330586284354489
44.8627125141462 NA NA NA NA NA NA "+" NA NA NA "+" NA "+" NA NA "gam" "TRUE" 137 -11194.7695680583 22682.0119107133 2.68358063047344 0.120386561339599
43.404336165892 NA NA NA NA "+" NA "+" NA NA NA "+" NA NA NA NA "gam" "TRUE" 137 -11195.5508925697 22683.585629039 4.25729895623226 0.0548086893949447
41.6262361356745 NA 0.0472241695739621 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA NA "gam" "TRUE" 139 -11194.209971046 22684.6000045576 5.27167447482134 0.0330050634538132
42.2304604780893 NA 0.0936172080706082 NA "+" NA "+" "+" "+" "+" NA "+" NA NA NA "+" "gam" "TRUE" 146 -11190.9853651914 22693.3379500148 14.0096199319814 0.000417984160427437
43.8996018020472 NA 0.0363288185583218 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA "+" "gam" "TRUE" 147 -11190.188690586 22694.7333234512 15.4049933683564 0.000208045502938853
44.8487976100519 NA NA NA NA NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "TRUE" 148 -11194.7496111764 22704.9512336447 25.6229035619035 1.25709276188143e-06
37.9666585286633 NA 0.0949170631772521 NA "+" NA "+" "+" "+" "+" NA "+" NA NA NA NA "gam" "TRUE" 149 -11195.2262904081 22708.2566202385 28.9282901556762 2.40775196901137e-07
38.4912231665324 NA 0.0740794413872501 NA "+" NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "TRUE" 150 -11194.1514578025 22708.292029561 28.9636994782413 2.36549867973803e-07
38.5115867429143 NA 0.0744450133310336 NA "+" NA "+" "+" "+" NA NA "+" NA "+" NA NA "gam" "TRUE" 150 -11193.8467287541 22709.1299699703 29.8016398874934 1.55584476185012e-07
38.4005730566557 NA 0.0756425956207654 NA NA NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "TRUE" 150 -11194.5206585587 22709.8004781992 30.4721481163579 1.11267223260288e-07
38.973951968168 NA 0.0912316464468927 NA "+" "+" "+" "+" "+" "+" NA NA NA NA NA NA "gam" "TRUE" 127 -11232.9542087419 22734.2810995908 54.9527695080287 5.37610643406042e-13
39.3999818619111 NA 0 NA "+" NA "+" "+" "+" "+" NA NA "+" NA NA NA "gam" "TRUE" 126 -11235.2262113986 22737.822125061 58.4937949781706 9.15258871504518e-14
37.0322002563749 NA 0.104447382028544 NA "+" "+" "+" "+" "+" NA NA NA NA NA NA NA "gam" "TRUE" 139 -11232.6319294709 22760.3622823785 81.033952295671 1.16683910381595e-18
38.3919623769571 NA 0.103022110822908 NA "+" NA "+" "+" "+" "+" "+" NA NA NA NA NA "gam" "TRUE" 146 -11225.1684567592 22761.5167721193 82.1884420365132 6.55113747417417e-19
38.5015990928797 NA 0.0745965133673557 NA "+" NA "+" NA NA NA NA "+" NA "+" NA NA "gamm" "" 17 -11365.5553180304 22765.3645779694 86.0362478866227 9.56701134639664e-20
44.8627128499887 NA NA NA NA NA NA NA NA NA NA "+" NA "+" NA NA "gamm" "" 13 -11370.2154359663 22766.5816590079 87.2533289251114 5.20583620553124e-20
44.8491385905986 NA NA NA NA NA NA NA NA NA NA "+" NA "+" NA NA "gamm" "" 14 -11370.1114490415 22768.3969552733 89.0686251904808 2.10040925853716e-20
