"(Intercept)" "fs" "height" "poisson" "pool" "s(time)" "treatment" "s(fs, bs = \"re\")" "s(poisson, bs = \"re\")" "s(poisson_fs, bs = \"re\")" "origin_treatment" "s(time, by = treatment)" "s(time, by = pool)" "s(time, pool, bs = \"fs\")" "bief" "temperature_ellerby" "class" "REML" "df" "logLik" "AICc" "delta" "weight"
4.0938497245742 NA NA NA NA "+" NA "+" NA NA NA NA "+" NA NA NA "gam" "TRUE" 192 -3017.46907544106 6452.24684551904 0 0.158747529646104
2.938697837559 NA 0.0138791281046698 NA "+" NA "+" "+" "+" NA "+" NA "+" NA NA NA "gam" "TRUE" 191 -3017.91544750803 6452.60570603267 0.358860513623767 0.1326726504582
2.79386665797263 NA 0.0139521076302849 NA "+" NA "+" "+" "+" NA "+" NA "+" NA "+" NA "gam" "TRUE" 192 -3017.69300291777 6453.16345182269 0.916606303642766 0.100384912749453
3.13190210270694 NA NA NA NA NA NA "+" NA NA NA NA NA "+" NA NA "gam" "TRUE" 192 -3017.29932145495 6453.24957389636 1.00272837731336 0.096153982199697
4.09762697798044 NA NA NA NA NA NA "+" NA NA NA NA "+" NA NA NA "gam" "TRUE" 192 -3017.43797491109 6454.08731982316 1.84047430411374 0.063248911900814
2.94256097414881 NA 0.0136332657617694 NA "+" NA "+" "+" "+" NA "+" "+" NA NA NA NA "gam" "TRUE" 192 -3018.29174508166 6454.09419418918 1.84734867013321 0.0630318870062494
4.05063765037582 NA NA NA "+" NA NA "+" NA NA NA NA "+" NA NA NA "gam" "TRUE" 192 -3017.36129796627 6454.21253424216 1.96568872311673 0.0594104843385134
3.1660983478346 NA 0.0123600293634085 NA "+" NA "+" "+" NA NA NA NA "+" NA NA NA "gam" "TRUE" 192 -3017.41059097965 6454.23489058921 1.98804507016121 0.0587500815604765
4.0033172233437 NA NA NA "+" NA "+" "+" NA NA NA NA "+" NA NA NA "gam" "TRUE" 193 -3017.32077644932 6454.33426786359 2.08742234454803 0.0559022094314763
3.16291557686263 NA 0.0124386960492782 NA "+" NA "+" "+" "+" NA NA NA "+" NA NA NA "gam" "TRUE" 192 -3017.82566364827 6454.36889019541 2.12204467636275 0.0549428051716968
3.15161746755607 NA 0.0124867204836222 NA "+" "+" "+" "+" "+" NA NA NA NA NA NA NA "gam" "TRUE" 187 -3024.61726004882 6454.80670392338 2.55985840433914 0.0441408595628848
3.15161746755607 NA 0.0124867204836222 NA "+" "+" "+" NA "+" "+" NA NA NA NA NA NA "gam" "TRUE" 187 -3024.61726004882 6454.80670392338 2.55985840433914 0.0441408595628848
2.92483304136153 NA 0.0139423730718949 NA "+" "+" "+" "+" "+" NA "+" NA NA NA NA NA "gam" "TRUE" 187 -3024.7111527311 6454.99414008936 2.74729457031117 0.0401919927801517
2.95910849015494 NA 0.00912001463963681 NA "+" NA "+" "+" "+" NA "+" NA "+" NA NA "+" "gam" "TRUE" 194 -3016.85347820298 6455.69759109758 3.45074557853695 0.0282739896136617
4.90399761790811 "+" -0.0137926208306958 "+" "+" "+" "+" NA NA NA NA NA NA NA NA NA "gam" "TRUE" 200 -3017.85509040328 6472.35023633449 20.1033908154404 6.84401773692867e-06
4.09697823917997 NA NA NA NA "+" NA "+" NA NA NA NA NA NA NA NA "gam" "TRUE" 190 -3099.22352020263 6610.4930047629 158.246159243856 6.88636605796649e-36
2.92484284194441 NA 0.0139422711167303 NA NA "+" NA NA NA NA "+" NA NA NA NA NA "gamm" "" 10 -3392.28559057183 6804.66220307168 352.415357552631 4.7280756226085e-78
4.0976269340963 NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "gamm" "" 7 -3398.08550702543 6810.21729504259 357.970449523547 2.94043456643803e-79
4.05063755133168 NA NA NA "+" NA NA NA NA NA NA NA "+" NA NA NA "gamm" "" 8 -3398.93933191104 6813.93819255296 361.691347033915 4.57539813942223e-80
2.93870489302568 NA 0.0138790308582097 NA NA NA NA NA NA NA "+" NA "+" NA NA NA "gamm" "" 12 -3395.84407581597 6815.81734417853 363.570498659482 1.78803617235072e-80
4.00331712380521 NA NA NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 9 -3399.52304693055 6817.12053554845 364.873690029409 9.31948449244644e-81
3.16291590588313 NA 0.0124386912768153 NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 11 -3397.94685279067 6818.00297710451 365.756131585465 5.99476469301873e-81
2.94257174310587 NA 0.0136331488736397 NA NA NA NA NA NA NA "+" "+" NA NA NA NA "gamm" "" 12 -3397.06165445047 6818.25250144753 366.005655928489 5.29161962156727e-81
3.16609828727691 NA 0.012360028638206 NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 10 -3401.77236261449 6823.63574715699 371.388901637945 3.58617653861184e-82
4.09697823628858 NA NA NA NA "+" NA NA NA NA NA NA NA NA NA NA "gamm" "" 5 -3474.79106905065 6959.6065184345 507.359672915454 1.06894123863617e-111
3.12389368436052 NA 0.0126455600835213 NA "+" NA "+" NA "+" NA NA NA "+" NA NA NA "gam" "TRUE" 80 -3644.43962134335 7455.12174935047 1002.87490383142 2.68651078949521e-219
3.12389366973891 NA 0.012645559939437 NA "+" NA "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 10 -3801.45849351957 7623.00800896715 1170.76116344811 9.4004906037881e-256
