"(Intercept)" "fs" "height" "poisson" "pool" "s(time)" "segment" "treatment" "s(fs, bs = \"re\")" "s(poisson, bs = \"re\")" "s(poisson_fs, bs = \"re\")" "origin_treatment" "s(time, by = treatment)" "s(time, by = pool)" "s(time, pool, bs = \"fs\")" "bief" "temperature_ellerby" "class" "REML" "df" "logLik" "AICc" "delta" "weight"
131.66822704465 NA -0.316948292394585 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA NA NA "bam" "TRUE" 213 -147495.892406917 295421.156655634 0 0.153064842678231
141.757407173899 NA -0.429472136118076 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA "+" NA "bam" "TRUE" 213 -147495.833684721 295421.228384444 0.0717288104933687 0.147672537026819
134.317019211889 NA -0.334876638315048 NA "+" NA "+" NA "+" NA NA NA NA "+" NA NA NA "bam" "TRUE" 213 -147495.826423766 295421.229574992 0.0729193582083099 0.147584657584823
141.736545586077 NA -0.463773160613415 NA NA NA "+" NA "+" NA NA NA NA "+" NA NA NA "bam" "TRUE" 213 -147495.819090619 295421.230138617 0.073482982988935 0.147543072259601
134.490058807374 NA -0.334072941015714 NA "+" NA "+" "+" "+" NA NA NA NA "+" NA NA NA "bam" "TRUE" 213 -147495.798467795 295421.303564899 0.146909265022259 0.142224530205667
112.095139146506 NA -0.407857228087213 NA NA NA "+" NA "+" NA NA NA NA NA "+" NA NA "bam" "TRUE" 213 -147495.976986305 295421.838984114 0.682328480179422 0.108820245804853
104.183192430875 NA NA NA NA NA "+" NA "+" NA NA NA NA "+" NA NA NA "bam" "TRUE" 214 -147495.434841579 295422.336485401 1.17982976755593 0.0848552408802924
134.78870930623 NA -0.337594399674967 NA "+" NA "+" "+" "+" "+" NA NA NA "+" NA NA NA "bam" "TRUE" 214 -147495.884594854 295423.699788741 2.54313310683938 0.0429181617235476
136.182363675109 NA -0.327176519495889 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA NA "+" "bam" "TRUE" 215 -147495.313408094 295425.167849805 4.0111941708019 0.0205994536698863
141.715700036952 NA -0.463587563069376 NA NA "+" "+" NA "+" NA NA NA NA "+" NA NA NA "bam" "TRUE" 215 -147496.970188743 295428.115923446 6.95926781225717 0.00471725816628018
129.676119519595 NA -0.305070485329343 NA "+" NA "+" "+" "+" "+" NA "+" "+" NA NA NA NA "bam" "TRUE" 213 -147609.364977056 295647.992696952 226.836041318078 8.47334576836126e-51
133.354875692933 NA -0.333007444381673 NA "+" "+" "+" "+" "+" "+" NA NA NA NA NA NA NA "bam" "TRUE" 207 -147619.449263927 295656.412078042 235.255422408169 1.25837347299048e-52
133.354875692933 NA -0.333007444381673 NA "+" "+" "+" "+" NA "+" "+" NA NA NA NA NA NA "bam" "TRUE" 207 -147619.449263927 295656.412078042 235.255422408169 1.25837347299048e-52
130.2530893656 NA -0.312421408920965 NA "+" "+" "+" "+" "+" "+" NA "+" NA NA NA NA NA "bam" "TRUE" 207 -147619.455572981 295657.044018095 235.887362461479 9.17456571154063e-53
133.560552699094 "+" -0.532216285062678 "+" "+" "+" "+" "+" NA NA NA NA NA NA NA NA NA "bam" "TRUE" 212 -147616.451773361 295660.691576232 239.534920597915 1.48090885528891e-53
132.895643264418 NA -0.31688350525613 NA NA NA "+" NA NA NA NA "+" NA "+" NA NA NA "gamm" "" 23 -147935.301407446 295916.640737397 495.484081763483 3.90727662351632e-109
135.974128734339 NA -0.337558458346617 NA "+" NA "+" "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 22 -147939.289227691 295922.613216485 501.456560850667 1.97227197493521e-110
135.688705870676 NA -0.33407301815479 NA "+" NA "+" "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 21 -147940.54881803 295923.129373369 501.972717734985 1.52364840129534e-110
135.507154277885 NA -0.33487658719531 NA "+" NA "+" NA NA NA NA NA NA "+" NA NA NA "gamm" "" 20 -147942.513879158 295925.056609423 503.899953789485 5.81287211459664e-111
143.082017677565 NA -0.466479747775047 NA NA NA "+" NA NA NA NA NA NA "+" NA NA NA "gamm" "" 19 -147945.919917952 295929.86593839 508.709282756376 5.24877858011152e-112
105.291945518511 NA NA NA NA NA "+" NA NA NA NA NA NA "+" NA NA NA "gamm" "" 18 -147960.873217676 295957.769926784 536.61327114969 4.57914252707617e-118
131.373744172389 NA -0.311979874196442 NA NA NA "+" NA NA NA NA "+" "+" NA NA NA NA "gamm" "" 23 -148046.896322129 296139.830566764 718.673911129648 1.33911693932708e-157
135.39251782976 NA -0.347966893139142 NA "+" NA "+" "+" NA "+" NA NA NA "+" NA NA NA "bam" "TRUE" 97 -149076.32856072 298348.322113149 2927.1654575151 0
136.442352138086 NA -0.347966872627437 NA "+" NA "+" "+" NA NA NA NA NA "+" NA NA NA "gamm" "" 21 -149263.326997204 298568.685731717 3147.52907608263 0
103.483767835609 NA NA NA NA "+" "+" NA "+" NA NA NA NA NA NA NA NA "bam" "TRUE" 209 -149978.560895334 300379.838676468 4958.68202083441 0
104.73242958369 NA NA NA NA "+" "+" NA NA NA NA NA NA NA NA NA NA "gamm" "" 16 -150433.076755694 300898.171897842 5477.01524220849 0
125.137847488879 NA NA NA NA NA NA NA "+" NA NA NA NA "+" NA NA NA "bam" "TRUE" 200 -153428.163028213 307259.285717132 11838.1290614983 0
126.208245984237 NA NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "gamm" "" 7 -153858.499971236 307731.00378757 12309.8471319363 0
