"(Intercept)" "fs" "height" "poisson" "pool" "s(time)" "treatment" "s(fs, bs = \"re\")" "s(poisson, bs = \"re\")" "origin_treatment" "s(time, by = treatment)" "s(time, by = pool)" "s(time, by = height)" "bief" "s(time, pool, bs = \"fs\")" "temperature_ellerby" "class" "REML" "df" "logLik" "AICc" "delta" "weight"
62.2396342555468 NA NA NA NA "+" NA "+" NA NA NA "+" NA NA NA NA "gam" "TRUE" 130 -11968.2373809082 24213.3919714636 0 0.400526684071506
62.218442429093 NA NA NA NA NA NA "+" NA NA NA "+" NA NA NA NA "gam" "TRUE" 131 -11968.5484568773 24214.4910243966 1.09905293304109 0.231193246253107
56.8156751440122 NA 0.101301794989327 NA "+" NA "+" "+" "+" "+" NA "+" NA NA NA NA "gam" "TRUE" 131 -11968.3688679305 24215.6621632711 2.27019180750358 0.128725790567027
62.4505735533461 NA NA NA NA NA NA "+" NA NA NA NA NA NA "+" NA "gam" "TRUE" 131 -11969.6018581515 24216.8665352701 3.47456380645235 0.0704919478187243
64.0369249562362 NA NA NA NA NA NA "+" NA NA NA "+" NA "+" NA NA "gam" "TRUE" 133 -11967.5914219364 24217.7174068516 4.32543538797836 0.0460654263166884
56.7245542768032 NA 0.0857146296183014 NA NA NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "TRUE" 133 -11967.3286980427 24218.1892857303 4.79731426673607 0.0363837867994053
64.0370011587795 NA NA NA NA NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "TRUE" 133 -11967.5907712919 24218.2990946161 4.90712315250494 0.034440004662215
56.879873308696 NA 0.0828402679033869 NA "+" NA NA "+" "+" NA NA "+" NA "+" NA NA "gam" "TRUE" 134 -11966.9414548345 24219.2897382593 5.89776679569331 0.0209868697744351
60.6873024183693 NA 0.0496724091367951 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA NA "gam" "TRUE" 134 -11966.9704536621 24219.5508056611 6.15883419750025 0.018418641788874
56.8938203052414 NA 0.0831686044103489 NA "+" NA "+" "+" "+" NA NA "+" NA "+" NA NA "gam" "TRUE" 135 -11966.5970917007 24220.2987107097 6.90673924606745 0.0126722019055766
59.4210634268239 NA 0.0884836748599158 NA "+" NA "+" "+" "+" "+" NA "+" NA NA NA "+" "gam" "TRUE" 142 -11963.7594621416 24230.6845127722 17.2925413086268 7.04050515705223e-05
63.2412789929183 NA -0.000929821744281963 NA "+" NA "+" "+" "+" "+" NA "+" NA "+" NA "+" "gam" "TRUE" 144 -11962.7456753009 24232.7556919247 19.3637204610932 2.49949908706804e-05
58.2955825479977 NA 0 NA "+" NA "+" "+" "+" "+" NA NA "+" NA NA NA "gam" "TRUE" 120 -12016.8537612506 24287.6845386779 74.2925672143028 2.95260575117276e-17
56.8926323919451 NA 0.0831841472466536 NA "+" NA "+" NA NA NA NA "+" NA "+" NA NA "gamm" "" 17 -12127.383026314 24289.0199945366 75.6280230730408 1.51431040418508e-17
64.0369261165342 NA NA NA NA NA NA NA NA NA NA "+" NA "+" NA NA "gamm" "" 13 -12132.4390873834 24291.0289618421 77.636990378498 5.54591486762439e-18
64.0369259384291 NA NA NA NA NA NA NA NA NA NA "+" NA "+" NA NA "gamm" "" 14 -12132.4390900136 24293.0522372175 79.6602657538933 2.01662215080115e-18
56.878660442282 NA 0.0828562946725955 NA "+" NA NA NA NA NA NA "+" NA "+" NA NA "gamm" "" 16 -12131.1492788218 24294.5241901612 81.1322186976067 9.66037560801166e-19
57.977115826181 NA 0.0973126712239155 NA "+" "+" "+" "+" "+" "+" NA NA NA NA NA NA "gam" "TRUE" 120 -12020.1158676611 24294.5285573815 81.1365859179241 9.63930412801888e-19
57.25584561867 NA 0.112357983059692 NA "+" NA "+" "+" "+" "+" "+" NA NA NA NA NA "gam" "TRUE" 128 -12011.6942058947 24295.132533013 81.7405615493844 7.1267912951103e-19
55.6617639945247 NA 0.113169275561535 NA "+" "+" "+" "+" "+" NA NA NA NA NA NA NA "gam" "TRUE" 121 -12019.7807586351 24296.5087557205 83.1167842569339 3.58138554980125e-19
56.7238553355814 NA 0.0857226536913738 NA NA NA NA NA NA NA NA "+" NA "+" NA NA "gamm" "" 15 -12133.4213509778 24297.0417069306 83.6497354670391 2.74360883146019e-19
56.8148422379131 NA 0.10130322051102 NA NA NA NA NA NA "+" NA "+" NA NA NA NA "gamm" "" 12 -12141.5848291722 24307.2988508909 93.9068794273226 1.62559247838831e-21
62.2184419010887 NA NA NA NA NA NA NA NA NA NA "+" NA NA NA NA "gamm" "" 7 -12149.4350272967 24312.9163355851 99.5243641214875 9.7991945186224e-23
64.7721642717053 NA NA NA NA NA NA NA "+" NA NA "+" NA "+" NA NA "gam" "TRUE" 62 -12092.1317522698 24312.9485756527 99.5566041890961 9.64249754518085e-23
64.7721658665862 NA NA NA NA NA NA NA NA NA NA "+" NA "+" NA NA "gamm" "" 13 -12165.8295894452 24357.8099659658 144.417994502215 1.74848699012878e-32
57.9731149104623 NA 0.0973502510806263 NA NA "+" NA NA NA "+" NA NA NA NA NA NA "gamm" "" 10 -12171.5935133512 24363.2780486304 149.886077166804 1.13575155818873e-33
57.2550511832572 NA 0.112360452917417 NA NA NA NA NA NA "+" "+" NA NA NA NA NA "gamm" "" 12 -12176.979618989 24378.0884305245 164.696459060931 6.90636895287883e-37
30.985915798562 "+" 0.437799173987103 "+" "+" "+" "+" NA NA NA NA NA NA NA NA NA "gam" "TRUE" 201 -11979.1991369591 24398.8706192914 185.478647827775 2.12058079500224e-41
64.564460276358 NA NA NA NA "+" NA "+" NA NA NA NA NA "+" NA NA "gam" "TRUE" 123 -12219.296036013 24698.6065501644 485.214578700812 1.73629862276178e-106
64.5644610658014 NA NA NA NA "+" NA NA NA NA NA NA NA "+" NA NA "gamm" "" 11 -12363.048096476 24748.2037285935 534.811757129923 2.9494019693424e-117
