"","model","formula","model.1","formula.1","model.2","formula.2","model.3","formula.3","model.4","formula.4","model.5","formula.5","model.6","formula.6","model.7","formula.7","model.8","formula.8","model.9","formula.9"
"1","model8","Y ~ treatment + pool + origin_treatment + height + s(time, by = pool) +      segment + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model15c","Y ~ s(time, by = pool) + s(time) + s(fs, bs = ""re"")","model14","Y ~ s(time)","model15d","absY ~ s(time, by = pool) + s(time) + s(fs, bs = ""re"")","model17","absY ~ s(time, by = pool) + s(fs, bs = ""re"")","model8","Y ~ treatment + pool + origin_treatment + height + s(time, by = pool) +      segment + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model15c","Y ~ s(time, by = pool) + s(time) + s(fs, bs = ""re"")","model14","Y ~ s(time)","model17","absY ~ s(time, by = pool) + s(fs, bs = ""re"")","model17","absY ~ s(time, by = pool) + s(fs, bs = ""re"")"
"2","modelbief","Y ~ treatment + pool + bief + origin_treatment + height + s(time,      by = pool) + segment + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model9","Y ~ treatment + pool + origin_treatment + height + s(time, by = pool) +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model16","Y ~ s(time, by = treatment)","model17","absY ~ s(time, by = pool) + s(fs, bs = ""re"")","model15e","absY ~ s(time, pool, bs = ""fs"") + s(fs, bs = ""re"")","modelbief","Y ~ treatment + pool + bief + origin_treatment + height + s(time,      by = pool) + segment + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model9","Y ~ treatment + pool + origin_treatment + height + s(time, by = pool) +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model16","Y ~ s(time, by = treatment)","model8","absY ~ s(time, by = pool) + treatment + pool + origin_treatment +      height + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model15e","absY ~ s(time, pool, bs = ""fs"") + s(fs, bs = ""re"")"
"3","model12","Y ~ pool + height + segment + s(time, by = pool) + s(fs, bs = ""re"")","model15d","Y ~ s(time, pool, bs = ""fs"") + s(fs, bs = ""re"")","model16g","Y ~ s(time, by = treatment) | random = none","model8","absY ~ s(time, by = pool) + treatment + pool + origin_treatment +      height + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model15","absY ~ s(time, by = pool) + bief + s(fs, bs = ""re"")","model12","Y ~ pool + height + segment + s(time, by = pool) + s(fs, bs = ""re"")","model15d","Y ~ s(time, pool, bs = ""fs"") + s(fs, bs = ""re"")","model16g","Y ~ s(time, by = treatment) | random = none","model15e","absY ~ s(time, pool, bs = ""fs"") + s(fs, bs = ""re"")","model8","absY ~ s(time, by = pool) + treatment + pool + origin_treatment +      height + s(poisson, bs = ""re"") + s(fs, bs = ""re"")"
"4","model13","Y ~ height + segment + s(time, by = pool) + s(fs, bs = ""re"")","modelbief","Y ~ treatment + pool + bief + origin_treatment + height + s(time,      by = pool) + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model13","Y ~ pool + s(time)","model15e","absY ~ s(time, pool, bs = ""fs"") + s(fs, bs = ""re"")","model15d","absY ~ s(time, by = pool) + s(time) + s(fs, bs = ""re"")","model13","Y ~ height + segment + s(time, by = pool) + s(fs, bs = ""re"")","modelbief","Y ~ treatment + pool + bief + origin_treatment + height + s(time,      by = pool) + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model13","Y ~ pool + s(time)","model15","absY ~ s(time, by = pool) + bief + s(fs, bs = ""re"")","model15","absY ~ s(time, by = pool) + bief + s(fs, bs = ""re"")"
"5","model11","Y ~ treatment + pool + height + segment + s(time, by = pool) +      s(fs, bs = ""re"")","model15","Y ~ s(time, by = pool) + s(fs, bs = ""re"")","model12","Y ~ treatment + pool + s(time)","model15","absY ~ s(time, by = pool) + bief + s(fs, bs = ""re"")","modelbief","absY ~ s(time, by = pool) + treatment + pool + bief + origin_treatment +      height + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model11","Y ~ treatment + pool + height + segment + s(time, by = pool) +      s(fs, bs = ""re"")","model15","Y ~ s(time, by = pool) + s(fs, bs = ""re"")","model12","Y ~ treatment + pool + s(time)","model13","absY ~ s(time, by = pool) + bief + s(poisson, bs = ""re"") + s(fs,      bs = ""re"")","model12","absY ~ s(time, by = pool) + bief + height + s(poisson, bs = ""re"") +      s(fs, bs = ""re"")"
"6","model13d","Y ~ height + segment + s(time, pool, bs = ""fs"") + s(fs, bs = ""re"")","model14","Y ~ pool + s(time, by = pool) + s(fs, bs = ""re"")","model11","Y ~ treatment + height + pool + s(time)","model12","absY ~ s(time, by = pool) + bief + height + s(poisson, bs = ""re"") +      s(fs, bs = ""re"")","modeltemp","absY ~ s(time, by = pool) + treatment + pool + temperature_ellerby +      origin_treatment + height + s(poisson, bs = ""re"") + s(fs,      bs = ""re"")","model13d","Y ~ height + segment + s(time, pool, bs = ""fs"") + s(fs, bs = ""re"")","model14","Y ~ pool + s(time, by = pool) + s(fs, bs = ""re"")","model11","Y ~ treatment + height + pool + s(time)","model12","absY ~ s(time, by = pool) + bief + height + s(poisson, bs = ""re"") +      s(fs, bs = ""re"")","model13","absY ~ s(time, by = pool) + bief + s(poisson, bs = ""re"") + s(fs,      bs = ""re"")"
"7","model14","Y ~ segment + s(time, by = pool) + s(fs, bs = ""re"")","model11","Y ~ treatment + pool + height + s(time, by = pool) + s(fs, bs = ""re"")","model5","Y ~ treatment + height + pool + s(time) + s(poisson, bs = ""re"") +      s(fs, bs = ""re"")","model13","absY ~ s(time, by = pool) + bief + s(poisson, bs = ""re"") + s(fs,      bs = ""re"")","modelbieftemp","absY ~ s(time, by = pool) + treatment + bief + temperature_ellerby +      pool + bief + origin_treatment + height + s(poisson, bs = ""re"") +      s(fs, bs = ""re"")","model14","Y ~ segment + s(time, by = pool) + s(fs, bs = ""re"")","model11","Y ~ treatment + pool + height + s(time, by = pool) + s(fs, bs = ""re"")","model10","Y ~ treatment + height + pool + s(time) + s(poisson, bs = ""re"")","model11","absY ~ s(time, by = pool) + pool + bief + height + s(poisson,      bs = ""re"") + s(fs, bs = ""re"")","model11","absY ~ s(time, by = pool) + pool + bief + height + s(poisson,      bs = ""re"") + s(fs, bs = ""re"")"
"8","model9","Y ~ treatment + pool + height + segment + s(time, by = pool) +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model13","Y ~ treatment + pool + s(time, by = pool) + s(fs, bs = ""re"")","model6","Y ~ treatment + height + pool + s(time) + s(poisson, bs = ""re"") +      s(poisson_fs, bs = ""re"")","model11","absY ~ s(time, by = pool) + pool + bief + height + s(poisson,      bs = ""re"") + s(fs, bs = ""re"")","model13","absY ~ s(time, by = pool) + bief + s(poisson, bs = ""re"") + s(fs,      bs = ""re"")","model9","Y ~ treatment + pool + height + segment + s(time, by = pool) +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model13","Y ~ treatment + pool + s(time, by = pool) + s(fs, bs = ""re"")","model5","Y ~ treatment + height + pool + s(time) + s(poisson, bs = ""re"") +      s(fs, bs = ""re"")","modelbief","absY ~ s(time, by = pool) + treatment + pool + bief + origin_treatment +      height + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","modelbief","absY ~ s(time, by = pool) + treatment + pool + bief + origin_treatment +      height + s(poisson, bs = ""re"") + s(fs, bs = ""re"")"
"9","modeltemp","Y ~ treatment + pool + temperature_ellerby + origin_treatment +      height + s(time, by = pool) + segment + s(poisson, bs = ""re"") +      s(fs, bs = ""re"")","model8","Y ~ treatment + pool + origin_treatment + height + s(time, by = treatment) +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model10","Y ~ treatment + height + pool + s(time) + s(poisson, bs = ""re"")","modelbief","absY ~ s(time, by = pool) + treatment + pool + bief + origin_treatment +      height + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model11","absY ~ s(time, by = pool) + pool + bief + height + s(poisson,      bs = ""re"") + s(fs, bs = ""re"")","modeltemp","Y ~ treatment + pool + temperature_ellerby + origin_treatment +      height + s(time, by = pool) + segment + s(poisson, bs = ""re"") +      s(fs, bs = ""re"")","model8","Y ~ treatment + pool + origin_treatment + height + s(time, by = treatment) +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model6","Y ~ treatment + height + pool + s(time) + s(poisson, bs = ""re"") +      s(poisson_fs, bs = ""re"")","model10","absY ~ s(time, by = pool) + pool + bief + treatment + height +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model10","absY ~ s(time, by = pool) + pool + bief + treatment + height +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")"
"10","model13c","Y ~ height + segment + s(time, by = pool) + s(time) + s(fs, bs = ""re"")","model10","Y ~ treatment + pool + height + s(time, by = pool) + s(poisson,      bs = ""re"") + s(fs, bs = ""re"")","model7","Y ~ treatment + pool + origin_treatment + height + s(time) +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model10","absY ~ s(time, by = pool) + pool + bief + treatment + height +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model8","absY ~ s(time, by = pool) + treatment + pool + origin_treatment +      height + s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model13c","Y ~ height + segment + s(time, by = pool) + s(time) + s(fs, bs = ""re"")","model10","Y ~ treatment + pool + height + s(time, by = pool) + s(poisson,      bs = ""re"") + s(fs, bs = ""re"")","model7","Y ~ treatment + pool + origin_treatment + height + s(time) +      s(poisson, bs = ""re"") + s(fs, bs = ""re"")","model15d","absY ~ s(time, by = pool) + s(time) + s(fs, bs = ""re"")","model15d","absY ~ s(time, by = pool) + s(time) + s(fs, bs = ""re"")"
