"treatment" "poisson" "fs" "time" "Y" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief" "absY"
"amont" "2" "002_fs1" 1 -11.8721075820143 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 11.8721075820143
"amont" "2" "002_fs1" 2 -23.4685006236036 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 23.4685006236036
"amont" "2" "002_fs1" 3 -77.025279207492 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 77.025279207492
"amont" "2" "002_fs1" 4 -105.46239839725 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 105.46239839725
"amont" "2" "002_fs1" 5 -116.565352976225 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 116.565352976225
"amont" "2" "002_fs1" 6 -96.7493859228393 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 96.7493859228393
"amont" "2" "002_fs1" 7 -48.8527001164603 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 48.8527001164603
"amont" "2" "002_fs1" 8 -24.4027138120456 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 24.4027138120456
"amont" "2" "002_fs1" 9 -22.5771116268797 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 22.5771116268797
"amont" "2" "002_fs1" 10 -13.727444383198 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 13.727444383198
"amont" "2" "002_fs1" 11 -6.32231642605677 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 6.32231642605677
"amont" "2" "002_fs2" 1 6.69403869960991 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 6.69403869960991
"amont" "2" "002_fs2" 2 -12.9270483632095 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 12.9270483632095
"amont" "2" "002_fs2" 3 -68.5146703894964 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 68.5146703894964
