"treatment" "poisson" "fs" "frame" "ratio"
"amont" "2" "002_fs1" "1" -10.9934079779666
"amont" "2" "002_fs1" "2" -26.4634839979919
"amont" "2" "002_fs1" "3" -89.4777918291288
"amont" "2" "002_fs1" "4" -146.305645978757
"amont" "2" "002_fs1" "5" -172.136355669529
"amont" "2" "002_fs1" "6" -149.322239049781
"amont" "2" "002_fs1" "7" -88.7057416974978
"amont" "2" "002_fs1" "8" -51.4682618335859
"amont" "2" "002_fs1" "9" -52.5691982444706
"amont" "2" "002_fs1" "10" -37.623446448341
"amont" "2" "002_fs1" "11" -28.6271051395701
"amont" "2" "002_fs2" "1" 23.0458783411963
"amont" "2" "002_fs2" "2" -10.5401808798375
"amont" "2" "002_fs2" "3" -63.7422678815118
"amont" "2" "002_fs2" "4" -126.353327298503
"amont" "2" "002_fs2" "5" -140.577230905955
"amont" "2" "002_fs2" "6" -111.035141322431
"amont" "2" "002_fs2" "7" -23.8125130469552
"amont" "2" "002_fs2" "8" 16.1267133298455
"amont" "2" "002_fs2" "9" 71.5676758109866
"amont" "2" "002_fs2" "10" 108.786823478107
"amont" "2" "002_fs2" "11" 117.956438698825
"amont" "2" "002_fs2" "12" 129.635211906259
"amont" "2" "002_fs2" "13" 137.250037320507
"amont" "2" "002_fs2" "14" 128.208508123345
"amont" "3" "003_fs1" "1" 27.484817368401
"amont" "3" "003_fs1" "2" -11.0940831957853
"amont" "3" "003_fs1" "3" -139.597764700249
"amont" "3" "003_fs1" "4" -165.656540124876
"amont" "3" "003_fs1" "5" -55.0685864615675
"amont" "3" "003_fs1" "6" 50.4027196988146
"amont" "3" "003_fs1" "7" 62.5281041948113
"amont" "3" "003_fs1" "8" -0.726700038990145
"amont" "3" "003_fs1" "9" -4.12564096121261
"amont" "3" "003_fs1" "10" 46.6892582441975
"amont" "3" "003_fs1" "11" 53.5388106642125
"amont" "3" "003_fs1" "12" 10.0860851927512
"amont" "3" "003_fs2" "1" -5.47934012954741
"amont" "3" "003_fs2" "2" -41.808731852221
"amont" "3" "003_fs2" "3" -112.068713175236
"amont" "3" "003_fs2" "4" -163.00549253313
"amont" "3" "003_fs2" "5" -118.40283887909
"amont" "3" "003_fs2" "6" -63.3945612350491
"amont" "3" "003_fs2" "7" 18.2355849697765
"amont" "3" "003_fs2" "8" 56.9585977081282
"amont" "3" "003_fs2" "9" 40.4594633691115
"amont" "4" "004_fs1" "1" 6.49688253311541
"amont" "4" "004_fs1" "2" 7.9227141823809
"amont" "4" "004_fs1" "3" 68.5276608457647
"amont" "4" "004_fs1" "4" 137.998293772221
"amont" "4" "004_fs1" "5" 121.496329408237
"amont" "4" "004_fs1" "6" -27.4360687240796
"amont" "4" "004_fs1" "7" -112.545780303087
"amont" "4" "004_fs1" "8" -130.211846069372
"amont" "4" "004_fs1" "9" -148.478353491649
"amont" "4" "004_fs1" "10" -158.784017739605
"amont" "4" "004_fs1" "11" -157.783242170235
"amont" "4" "004_fs1" "12" -152.598115981233
"amont" "4" "004_fs1" "13" -148.536570927485
"amont" "4" "004_fs1" "14" -136.131713037775
"amont" "4" "004_fs1" "15" -121.591482044604
"amont" "4" "004_fs1" "16" -91.6369122005237
"amont" "4" "004_fs1" "17" -58.2231064442687
"amont" "4" "004_fs2" "1" -20.9803315694005
"amont" "4" "004_fs2" "2" -8.03933746695495
"amont" "4" "004_fs2" "3" 75.4158602640509
"amont" "4" "004_fs2" "4" 89.8848484962854
"amont" "4" "004_fs2" "5" -7.4845755161891
"amont" "4" "004_fs2" "6" -64.7327360109097
"amont" "4" "004_fs2" "7" -82.4576745459618
"amont" "4" "004_fs2" "8" 0.197371058174838
"amont" "4" "004_fs2" "9" -49.4000440077741
"amont" "4" "004_fs2" "10" -94.4527936462905
"amont" "5" "005_fs1" "1" 9.49457877478437
"amont" "5" "005_fs1" "2" 23.5896240342194
"amont" "5" "005_fs1" "3" 91.2034938261839
"amont" "5" "005_fs1" "4" 115.681330531442
"amont" "5" "005_fs1" "5" 118.311859674428
"amont" "5" "005_fs1" "6" 72.5248752090804
"amont" "5" "005_fs1" "7" 18.9920412568841
"amont" "5" "005_fs1" "8" -2.95542792371899
"amont" "5" "005_fs1" "9" -49.2367237005749
"amont" "5" "005_fs1" "10" -70.0979825335197
"amont" "5" "005_fs1" "11" -68.3403993723824
"amont" "5" "005_fs1" "12" -63.6912011048674
"amont" "5" "005_fs1" "13" -66.6330963825777
"amont" "5" "005_fs1" "14" -69.9766139378983
"amont" "5" "005_fs1" "15" -68.2331546855039
"amont" "5" "005_fs2" "1" 5.16083077631228
"amont" "5" "005_fs2" "2" -21.5462423486975
"amont" "5" "005_fs2" "3" -91.6255539477923
"amont" "5" "005_fs2" "4" -127.932093209269
"amont" "5" "005_fs2" "5" -92.32764712519
"amont" "5" "005_fs2" "6" -12.1217552227132
"amont" "5" "005_fs2" "7" 45.9466206909933
"amont" "5" "005_fs2" "8" 91.4169542726252
"amont" "5" "005_fs2" "9" 107.886062758791
"amont" "5" "005_fs2" "10" 115.629767080824
"amont" "5" "005_fs2" "11" 118.02803564581
"amont" "5" "005_fs2" "12" 110.849987890266
"amont" "7" "007_fs1" "1" -10.4371300541701
"amont" "7" "007_fs1" "2" -89.0440294333429
"amont" "7" "007_fs1" "3" -156.072823114964
"amont" "7" "007_fs1" "4" -164.736635069753
"amont" "7" "007_fs1" "5" -111.164080496683
"amont" "7" "007_fs1" "6" -71.9121655456792
"amont" "7" "007_fs1" "7" 41.7089849070543
"amont" "7" "007_fs1" "8" 42.0295337238355
"amont" "7" "007_fs2" "1" -19.0192635087634
"amont" "7" "007_fs2" "2" -29.4673092246096
"amont" "7" "007_fs2" "3" -69.0441363537399
"amont" "7" "007_fs2" "4" -75.8111675913524
"amont" "7" "007_fs2" "5" -14.0402849740813
"amont" "7" "007_fs2" "6" 53.3274747888061
"amont" "7" "007_fs2" "7" 64.0211975588801
"amont" "7" "007_fs2" "8" 40.9342790044466
"amont" "7" "007_fs2" "9" -7.17603581323482
"amont" "8" "008_fs1" "1" -11.8362427940051
"amont" "8" "008_fs1" "2" -11.2221611904408
"amont" "8" "008_fs1" "3" 55.0782137644799
"amont" "8" "008_fs1" "4" 125.751356149276
"amont" "8" "008_fs1" "5" 71.9234802606517
"amont" "8" "008_fs1" "6" -3.39203406733333
"amont" "8" "008_fs1" "7" -56.8778980291894
"amont" "8" "008_fs1" "8" -36.5759319441759
"amont" "8" "008_fs1" "9" -43.7910094248531
"amont" "8" "008_fs1" "10" -56.4637792602212
"amont" "8" "008_fs1" "11" -61.7529632380426
"amont" "8" "008_fs1" "12" -60.3009167887798
"amont" "8" "008_fs2" "1" 29.8249773771412
"amont" "8" "008_fs2" "2" 2.33037112741016
"amont" "8" "008_fs2" "3" -58.6802341638976
"amont" "8" "008_fs2" "4" -101.026565593894
"amont" "8" "008_fs2" "5" -57.0039070743779
"amont" "8" "008_fs2" "6" 51.8709927039918
"amont" "8" "008_fs2" "7" 71.510296525951
"amont" "8" "008_fs2" "8" 70.927014069331
"amont" "8" "008_fs3" "1" 12.6617899251056
"amont" "8" "008_fs3" "2" -3.96299723883581
"amont" "8" "008_fs3" "3" -96.395824776163
"amont" "8" "008_fs3" "4" -156.779943646978
"amont" "8" "008_fs3" "5" -161.462095594492
