"treatment" "poisson" "fs" "frame" "ratio"
"amont" "2" "002_fs1" "1" -11.8721075820143
"amont" "2" "002_fs1" "2" -23.4685006236036
"amont" "2" "002_fs1" "3" -77.025279207492
"amont" "2" "002_fs1" "4" -105.46239839725
"amont" "2" "002_fs1" "5" -116.565352976225
"amont" "2" "002_fs1" "6" -96.7493859228393
"amont" "2" "002_fs1" "7" -48.8527001164603
"amont" "2" "002_fs1" "8" -24.4027138120456
"amont" "2" "002_fs1" "9" -22.5771116268797
"amont" "2" "002_fs1" "10" -13.727444383198
"amont" "2" "002_fs1" "11" -6.32231642605677
"amont" "2" "002_fs2" "1" 6.69403869960991
"amont" "2" "002_fs2" "2" -12.9270483632095
"amont" "2" "002_fs2" "3" -68.5146703894964
"amont" "2" "002_fs2" "4" -99.4281364317558
"amont" "2" "002_fs2" "5" -92.7651975600526
"amont" "2" "002_fs2" "6" -69.0004368848518
"amont" "2" "002_fs2" "7" -4.03969326714605
"amont" "2" "002_fs2" "8" 23.5210317355156
"amont" "2" "002_fs2" "9" 55.8487807367873
"amont" "2" "002_fs2" "10" 75.9478378894044
"amont" "2" "002_fs2" "11" 86.345607623551
"amont" "2" "002_fs2" "12" 93.4258956770845
"amont" "2" "002_fs2" "13" 96.2221776865528
"amont" "2" "002_fs2" "14" 90.404630196583
"amont" "3" "003_fs1" "1" 10.435756408161
"amont" "3" "003_fs1" "2" -17.2213028623788
"amont" "3" "003_fs1" "3" -107.126962443378
"amont" "3" "003_fs1" "4" -122.485996398146
"amont" "3" "003_fs1" "5" -29.5694865573328
"amont" "3" "003_fs1" "6" 46.5418029344313
"amont" "3" "003_fs1" "7" 44.1322921528173
"amont" "3" "003_fs1" "8" -14.0500198885713
"amont" "3" "003_fs1" "9" 2.17155907555139
"amont" "3" "003_fs1" "10" 44.0316387881156
"amont" "3" "003_fs1" "11" 25.040431653199
"amont" "3" "003_fs1" "12" -1.03919405815745
"amont" "3" "003_fs2" "1" -12.9100333554146
"amont" "3" "003_fs2" "2" -31.8152757614204
"amont" "3" "003_fs2" "3" -91.1674414392216
"amont" "3" "003_fs2" "4" -113.098933724531
"amont" "3" "003_fs2" "5" -76.891691401351
"amont" "3" "003_fs2" "6" -26.8889470101954
"amont" "3" "003_fs2" "7" 24.8333714325533
"amont" "3" "003_fs2" "8" 34.3278923175524
"amont" "3" "003_fs2" "9" 17.8669782987832
"amont" "4" "004_fs1" "1" 5.07137362513217
"amont" "4" "004_fs1" "2" 4.50810457489627
"amont" "4" "004_fs1" "3" 53.9897232078099
"amont" "4" "004_fs1" "4" 101.763653667637
"amont" "4" "004_fs1" "5" 77.799653184181
"amont" "4" "004_fs1" "6" -30.5297108298441
"amont" "4" "004_fs1" "7" -73.7053908882509
"amont" "4" "004_fs1" "8" -87.5542910689743
"amont" "4" "004_fs1" "9" -100.972261416759
"amont" "4" "004_fs1" "10" -108.937342261884
"amont" "4" "004_fs1" "11" -107.197281080501
"amont" "4" "004_fs1" "12" -106.674583640342
"amont" "4" "004_fs1" "13" -105.489609496554
"amont" "4" "004_fs1" "14" -91.8998743989214
"amont" "4" "004_fs1" "15" -75.5620863227522
"amont" "4" "004_fs1" "16" -50.3519267889805
"amont" "4" "004_fs1" "17" -26.8657461343552
"amont" "4" "004_fs2" "1" -15.8460169196134
"amont" "4" "004_fs2" "2" -4.60344291851726
"amont" "4" "004_fs2" "3" 63.180425663056
"amont" "4" "004_fs2" "4" 65.8083246734714
"amont" "4" "004_fs2" "5" -16.9621892828326
"amont" "4" "004_fs2" "6" -60.9811785886598
"amont" "4" "004_fs2" "7" -48.577822832833
"amont" "4" "004_fs2" "8" -5.86527837989706
"amont" "4" "004_fs2" "9" -45.0645180168904
"amont" "4" "004_fs2" "10" -73.316171956521
"amont" "5" "005_fs1" "1" 6.63477723037229
"amont" "5" "005_fs1" "2" 13.6290428141649
"amont" "5" "005_fs1" "3" 71.3874899576297
"amont" "5" "005_fs1" "4" 95.2938119362911
"amont" "5" "005_fs1" "5" 75.8646598900215
"amont" "5" "005_fs1" "6" 33.8115179857692
"amont" "5" "005_fs1" "7" -4.54286415201676
"amont" "5" "005_fs1" "8" -22.3698586059511
"amont" "5" "005_fs1" "9" -44.8568462298447
"amont" "5" "005_fs1" "10" -50.4158479664341
"amont" "5" "005_fs1" "11" -51.4889692964607
"amont" "5" "005_fs1" "12" -50.9600821270691
"amont" "5" "005_fs1" "13" -51.3539069965344
"amont" "5" "005_fs1" "14" -50.4699243797668
"amont" "5" "005_fs1" "15" -50.6315321974839
"amont" "5" "005_fs2" "1" 5.33394708723776
"amont" "5" "005_fs2" "2" -13.0295441179914
"amont" "5" "005_fs2" "3" -76.0372311344497
"amont" "5" "005_fs2" "4" -94.0682214354936
"amont" "5" "005_fs2" "5" -53.6088736615122
"amont" "5" "005_fs2" "6" 4.29563895631657
"amont" "5" "005_fs2" "7" 45.2433249023067
"amont" "5" "005_fs2" "8" 66.872849812107
