"treatment" "poisson" "fs" "frame" "ratio_snout_tail" "ratio_ant_post"
"amont" "2" "002_fs1" 1 -10.9934079779666 -11.8721075820143
"amont" "2" "002_fs1" 2 -26.4634839979919 -23.4685006236036
"amont" "2" "002_fs1" 3 -89.4777918291288 -77.025279207492
"amont" "2" "002_fs1" 4 -146.305645978757 -105.46239839725
"amont" "2" "002_fs1" 5 -172.136355669529 -116.565352976225
"amont" "2" "002_fs1" 6 -149.322239049781 -96.7493859228393
"amont" "2" "002_fs1" 7 -88.7057416974978 -48.8527001164603
"amont" "2" "002_fs1" 8 -51.4682618335859 -24.4027138120456
"amont" "2" "002_fs1" 9 -52.5691982444706 -22.5771116268797
"amont" "2" "002_fs1" 10 -37.623446448341 -13.727444383198
"amont" "2" "002_fs1" 11 -28.6271051395701 -6.32231642605677
"amont" "2" "002_fs2" 1 23.0458783411963 6.69403869960991
"amont" "2" "002_fs2" 2 -10.5401808798375 -12.9270483632095
"amont" "2" "002_fs2" 3 -63.7422678815118 -68.5146703894964
"amont" "2" "002_fs2" 4 -126.353327298503 -99.4281364317558
"amont" "2" "002_fs2" 5 -140.577230905955 -92.7651975600526
"amont" "2" "002_fs2" 6 -111.035141322431 -69.0004368848518
"amont" "2" "002_fs2" 7 -23.8125130469552 -4.03969326714605
"amont" "2" "002_fs2" 8 16.1267133298455 23.5210317355156
"amont" "2" "002_fs2" 9 71.5676758109866 55.8487807367873
"amont" "2" "002_fs2" 10 108.786823478107 75.9478378894044
"amont" "2" "002_fs2" 11 117.956438698825 86.345607623551
"amont" "2" "002_fs2" 12 129.635211906259 93.4258956770845
"amont" "2" "002_fs2" 13 137.250037320507 96.2221776865528
"amont" "2" "002_fs2" 14 128.208508123345 90.404630196583
"amont" "3" "003_fs1" 1 27.484817368401 10.435756408161
"amont" "3" "003_fs1" 2 -11.0940831957853 -17.2213028623788
"amont" "3" "003_fs1" 3 -139.597764700249 -107.126962443378
"amont" "3" "003_fs1" 4 -165.656540124876 -122.485996398146
"amont" "3" "003_fs1" 5 -55.0685864615675 -29.5694865573328
"amont" "3" "003_fs1" 6 50.4027196988146 46.5418029344313
"amont" "3" "003_fs1" 7 62.5281041948113 44.1322921528173
"amont" "3" "003_fs1" 8 -0.726700038990145 -14.0500198885713
"amont" "3" "003_fs1" 9 -4.12564096121261 2.17155907555139
"amont" "3" "003_fs1" 10 46.6892582441975 44.0316387881156
"amont" "3" "003_fs1" 11 53.5388106642125 25.040431653199
"amont" "3" "003_fs1" 12 10.0860851927512 -1.03919405815745
"amont" "3" "003_fs2" 1 -5.47934012954741 -12.9100333554146
"amont" "3" "003_fs2" 2 -41.808731852221 -31.8152757614204
"amont" "3" "003_fs2" 3 -112.068713175236 -91.1674414392216
"amont" "3" "003_fs2" 4 -163.00549253313 -113.098933724531
"amont" "3" "003_fs2" 5 -118.40283887909 -76.891691401351
"amont" "3" "003_fs2" 6 -63.3945612350491 -26.8889470101954
"amont" "3" "003_fs2" 7 18.2355849697765 24.8333714325533
"amont" "3" "003_fs2" 8 56.9585977081282 34.3278923175524
"amont" "3" "003_fs2" 9 40.4594633691115 17.8669782987832
"amont" "4" "004_fs1" 1 6.49688253311541 5.07137362513217
"amont" "4" "004_fs1" 2 7.9227141823809 4.50810457489627
"amont" "4" "004_fs1" 3 68.5276608457647 53.9897232078099
"amont" "4" "004_fs1" 4 137.998293772221 101.763653667637
"amont" "4" "004_fs1" 5 121.496329408237 77.799653184181
"amont" "4" "004_fs1" 6 -27.4360687240796 -30.5297108298441
"amont" "4" "004_fs1" 7 -112.545780303087 -73.7053908882509
"amont" "4" "004_fs1" 8 -130.211846069372 -87.5542910689743
"amont" "4" "004_fs1" 9 -148.478353491649 -100.972261416759
"amont" "4" "004_fs1" 10 -158.784017739605 -108.937342261884
"amont" "4" "004_fs1" 11 -157.783242170235 -107.197281080501
"amont" "4" "004_fs1" 12 -152.598115981233 -106.674583640342
"amont" "4" "004_fs1" 13 -148.536570927485 -105.489609496554
"amont" "4" "004_fs1" 14 -136.131713037775 -91.8998743989214
"amont" "4" "004_fs1" 15 -121.591482044604 -75.5620863227522
"amont" "4" "004_fs1" 16 -91.6369122005237 -50.3519267889805
"amont" "4" "004_fs1" 17 -58.2231064442687 -26.8657461343552
"amont" "4" "004_fs2" 1 -20.9803315694005 -15.8460169196134
"amont" "4" "004_fs2" 2 -8.03933746695495 -4.60344291851726
"amont" "4" "004_fs2" 3 75.4158602640509 63.180425663056
"amont" "4" "004_fs2" 4 89.8848484962854 65.8083246734714
"amont" "4" "004_fs2" 5 -7.4845755161891 -16.9621892828326
"amont" "4" "004_fs2" 6 -64.7327360109097 -60.9811785886598
"amont" "4" "004_fs2" 7 -82.4576745459618 -48.577822832833
"amont" "4" "004_fs2" 8 0.197371058174838 -5.86527837989706
"amont" "4" "004_fs2" 9 -49.4000440077741 -45.0645180168904
"amont" "4" "004_fs2" 10 -94.4527936462905 -73.316171956521
"amont" "5" "005_fs1" 1 9.49457877478437 6.63477723037229
"amont" "5" "005_fs1" 2 23.5896240342194 13.6290428141649
"amont" "5" "005_fs1" 3 91.2034938261839 71.3874899576297
"amont" "5" "005_fs1" 4 115.681330531442 95.2938119362911
"amont" "5" "005_fs1" 5 118.311859674428 75.8646598900215
"amont" "5" "005_fs1" 6 72.5248752090804 33.8115179857692
"amont" "5" "005_fs1" 7 18.9920412568841 -4.54286415201676
