"poisson" "fs" "time" "treatment" "Y" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief"
"2" "002_fs1" 24.9 "amont" 0.0115920679518128 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs1" 33.2 "amont" -0.00308040769356502 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs1" 41.5 "amont" -0.0049758265510669 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs1" 49.8 "amont" 0.00101663801730255 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs1" 58.1 "amont" 0.00919069729530721 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs1" 66.4 "amont" -0.00672102641372039 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs1" 74.7 "amont" -0.00492283096436354 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs1" 83 "amont" 0.00132679367693119 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs1" 91.3 "amont" 0.0024678779691955 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 24.9 "amont" 0.00773140152134727 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 33.2 "amont" -0.00129030201770659 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 41.5 "amont" -0.00189120229088343 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 49.8 "amont" -0.00351341886614726 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 58.1 "amont" 0.0107927781377737 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 66.4 "amont" -0.0077091232476147 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 74.7 "amont" 0.00496827583570209 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 83 "amont" -0.00269401327344266 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 91.3 "amont" -0.000649346677001086 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 99.6 "amont" -0.00327866917969341 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 107.9 "amont" -0.00185725634125096 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"2" "002_fs2" 116.2 "amont" 0.00203966868881126 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"3" "003_fs1" 24.9 "amont" 0.00968613359178749 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs1" 33.2 "amont" -0.00558330838860054 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs1" 41.5 "amont" 0.00780378830652549 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs1" 49.8 "amont" 0.00504602651914286 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs1" 58.1 "amont" -0.00673454830978102 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs1" 66.4 "amont" 0.00387361253997379 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs1" 74.7 "amont" 0.00254095882868135 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs1" 83 "amont" -0.00168144517305871 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs1" 91.3 "amont" 0.000651867211515937 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs1" 99.6 "amont" -0.000510353705529617 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs2" 24.9 "amont" 0.00648583148749325 "3.003_fs2" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs2" 33.2 "amont" 0.00422112975043143 "3.003_fs2" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs2" 41.5 "amont" -0.0058667313504435 "3.003_fs2" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs2" 49.8 "amont" 0.00353931105255527 "3.003_fs2" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs2" 58.1 "amont" 0.00614506064331457 "3.003_fs2" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs2" 66.4 "amont" -0.00412063246632348 "3.003_fs2" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"3" "003_fs2" 74.7 "amont" -0.00150867933167091 "3.003_fs2" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"4" "004_fs1" 24.9 "amont" 0.0058020658808176 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
