"poisson" "fs" "time" "treatment" "Y" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief" "weight_class" "height_class"
"2" "002_fs1" 0.0083 "amont" 0 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs1" 0.0166 "amont" 0.189599266059921 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs1" 0.0249 "amont" 1.17777609332023 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs1" 0.0332 "amont" 1.95374363457084 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs1" 0.0415 "amont" 2.38692648471846 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs1" 0.0498 "amont" 2.89014552787804 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs1" 0.0581 "amont" 4.02651170771134 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs1" 0.0664 "amont" 4.69986637790345 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs1" 0.0747 "amont" 5.03408722296054 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs1" 0.083 "amont" 5.45971088442143 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs1" 0.0913 "amont" 6.0553466591802 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0083 "amont" 0 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0166 "amont" 0.395562400272035 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0249 "amont" 1.32374105134968 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0332 "amont" 2.16303079642752 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0415 "amont" 2.87203561568641 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0498 "amont" 3.3390010092564 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0581 "amont" 4.54948088873763 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0664 "amont" 5.22887926769068 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0747 "amont" 6.25054216896524 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.083 "amont" 7.08661449583234 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0913 "amont" 7.87795333012084 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
"2" "002_fs2" 0.0996 "amont" 8.44342464462026 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" "lourd" "grand"
