"traitement" "poisson" "fs" "time" "d_cum_cm" "d_tot_cm" "efficiency"
"amont" 2 "002_fs1" 0.0913 6.0553466591802 4.28132302385183 0.707031862058819
"amont" 2 "002_fs2" 0.1162 9.45898727089374 7.0687923842786 0.747309641279462
"amont" 3 "003_fs1" 0.0996 11.9725540840045 9.84856055837035 0.822594785479243
"amont" 3 "003_fs2" 0.0747 5.73337387574627 4.47848372348536 0.781125358391603
"amont" 4 "004_fs1" 0.1411 8.39628763965707 2.79718770253731 0.333145769009356
"amont" 4 "004_fs2" 0.083 8.84877123926142 7.66934981055328 0.866713536058529
"amont" 5 "005_fs1" 0.1245 4.85760881091283 3.52720580746903 0.726119773075388
"amont" 5 "005_fs2" 0.0996 6.26012468093686 4.1435502241266 0.661895798456604
"amont" 7 "007_fs1" 0.0664 5.82913138554533 4.42201037474648 0.758605370555187
"amont" 7 "007_fs2" 0.0747 7.5532641529195 6.59182913392073 0.872712644555512
"amont" 8 "008_fs1" 0.0996 6.58217372890574 5.49293184259378 0.83451638756836
"amont" 8 "008_fs2" 0.0664 5.87686095589593 4.97653304486826 0.846801223002491
"amont" 8 "008_fs3" 0.083 8.20874614997023 5.42273832682353 0.660604948399239
"aval" 11 "011_fs1" 0.0747 5.43824558257555 3.96590672643064 0.729262161153153
"aval" 11 "011_fs2" 0.0747 5.05716275128054 4.31716376026391 0.853673091531559
"aval" 11 "011_fs3" 0.0747 4.25949187741604 3.9571191662425 0.929012023059199
"aval" 14 "014_fs1" 0.0664 5.52923439938903 4.48973255519601 0.811998955170379
"aval" 14 "014_fs2" 0.0664 4.3264342343539 3.42218874744213 0.790995208078828
"aval" 14 "014_fs3" 0.083 5.04024219094329 4.43578349524234 0.880073482026899
"aval" 15 "015_fs1" 0.0913 12.6743313519242 10.9261177831992 0.862066603737674
"aval" 15 "015_fs2" 0.0996 11.2061047175057 8.50694229068464 0.759134641798901
"aval" 16 "016_fs1" 0.0996 6.19879624870355 5.05328770236414 0.815204678395585
"aval" 16 "016_fs2" 0.0996 6.09737524802428 4.37785401895809 0.717989928597003
"aval" 16 "016_fs3" 0.1411 3.01336597268723 2.18077878230098 0.723701934005786
"amont" 17 "017_fs1" 0.1245 6.7222182655885 4.78690580513085 0.712102109155745
"amont" 17 "017_fs2" 0.0913 7.95490416461549 6.03259164383532 0.758348751788755
"amont" 18 "018_fs1" 0.0913 11.8897221848899 9.53883597117526 0.802275765812065
"amont" 18 "018_fs2" 0.1162 8.87290738129027 6.45461265556377 0.727451823646239
"amont" 18 "018_fs3" 0.1079 6.22747021236242 4.56958488013363 0.733778681279333
"amont" 19 "019_fs1" 0.1162 6.52547940561269 4.9740755305203 0.762254421681571
"amont" 19 "019_fs2" 0.0996 8.07219147875793 6.07514910559986 0.752602204938608
"amont" 19 "019_fs3" 0.0913 8.28222798545 6.39737504550321 0.772421992819076
"amont" 20 "020_fs1" 0.083 7.67052341539264 5.56594302535534 0.725627538557019
"amont" 20 "020_fs2" 0.0664 5.04728910882454 4.31433654860171 0.854782925166433
"amont" 20 "020_fs3" 0.083 7.78676359770104 3.93102948173265 0.504834830595505
"amont" 21 "021_fs1" 0.1079 5.13851543099264 3.84843999306065 0.748940047907421
"amont" 21 "021_fs2" 0.083 5.28410426662487 3.18988191156799 0.603675050796352
"amont" 21 "021_fs3" 0.0913 7.39469327023472 5.39394024479718 0.729433939675224
"amont" 22 "022_fs1" 0.0996 5.15726452575658 3.40835924300183 0.660885092470959
"amont" 22 "022_fs2" 0.0913 8.74594287956873 6.29906075649423 0.720226606008298
"amont" 22 "022_fs3" 0.1079 9.10745672454842 6.33198332255349 0.695252639025572
"amont" 22 "022_fs4" 0.1079 6.97619674608877 5.72015585460026 0.819953344608191
"amont" 23 "023_fs1" 0.1079 10.0048280124453 8.51920224574961 0.851509114914555
"amont" 23 "023_fs2" 0.1079 10.2979666098953 8.48811445619955 0.824251503014521
"amont" 23 "023_fs3" 0.0996 7.68495997784437 6.10352893263669 0.794217399990771
"amont" 23 "023_fs4" 0.1079 8.83184128777289 7.82803585774519 0.886342451441309
"amont" 24 "024_fs1" 0.1079 4.62111477650702 3.09507262417111 0.669767528801912
"amont" 24 "024_fs2" 0.0913 4.23896226709364 3.27471321786068 0.772527097795075
"amont" 25 "025_fs1" 0.0996 9.18265081239228 7.27300642167388 0.792037786284841
"amont" 25 "025_fs2" 0.1079 8.61613498961804 6.96150668684807 0.80796165510827
"amont" 25 "025_fs3" 0.1079 8.85495053322084 7.05791582977219 0.797058752987182
"amont" 26 "026_fs1" 0.083 5.44392036720357 3.50362013011598 0.643584015523672
"amont" 26 "026_fs2" 0.083 4.33759561170756 2.88777238300784 0.665754173859243
"aval" 27 "027_fs1" 0.0996 6.6685171383403 4.90687389881822 0.73582684081389
"aval" 27 "027_fs2" 0.0913 8.03874680461384 6.21259330043026 0.772831070741591
"aval" 27 "027_fs3" 0.0664 6.11767958417182 5.29369780744319 0.865311387203
"aval" 29 "029_fs1" 0.0747 6.21339471852217 4.68166266831435 0.753479036887562
"aval" 29 "029_fs2" 0.0747 6.02718532216 4.58303471436627 0.760393860383874
