"treatment" "poisson" "fs" "time" "d_cum_cm" "d_tot_cm" "efficiency" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief"
"amont" "2" "002_fs1" 0.0913 6.0553466591802 4.28132302385183 0.707031862058819 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs2" 0.1162 9.45898727089374 7.0687923842786 0.747309641279462 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "3" "003_fs1" 0.0996 11.9725540840045 9.84856055837035 0.822594785479243 "3.003_fs1" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"amont" "3" "003_fs2" 0.0747 5.73337387574627 4.47848372348536 0.781125358391603 "3.003_fs2" "Cauterets" "Cauterets.amont" 2.26 61.894 "15.6" "5-6"
"amont" "4" "004_fs1" 0.1411 8.39628763965707 2.79718770253731 0.333145769009356 "4.004_fs1" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"amont" "4" "004_fs2" 0.083 8.84877123926142 7.66934981055328 0.866713536058529 "4.004_fs2" "Cauterets" "Cauterets.amont" 3.086 67.551 "15.7" "5-6"
"amont" "5" "005_fs1" 0.1245 4.85760881091283 3.52720580746903 0.726119773075388 "5.005_fs1" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"amont" "5" "005_fs2" 0.0996 6.26012468093686 4.1435502241266 0.661895798456604 "5.005_fs2" "Cauterets" "Cauterets.amont" 4.163 75.327 "16.2" "5-6"
"amont" "7" "007_fs1" 0.0664 5.82913138554533 4.42201037474648 0.758605370555187 "7.007_fs1" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
"amont" "7" "007_fs2" 0.0747 7.5532641529195 6.59182913392073 0.872712644555512 "7.007_fs2" "Cauterets" "Cauterets.amont" 4.097 71.677 "17.6" "5-6"
