"poisson" "fs" "frame" "dist"
2 "002_fs1" 1 190.710436823381
2 "002_fs1" 2 181.83656933535
2 "002_fs1" 3 196.127190855492
2 "002_fs1" 4 183.42795555034
2 "002_fs1" 5 195.602290640052
2 "002_fs1" 6 204.414298238304
2 "002_fs1" 7 183.570661485933
2 "002_fs1" 8 170.747060665868
2 "002_fs1" 9 184.319831897195
2 "002_fs1" 10 192.844776631224
2 "002_fs1" 11 188.033325844809
2 "002_fs2" 1 189.371702104494
2 "002_fs2" 2 176.141798181713
2 "002_fs2" 3 188.165078307618
2 "002_fs2" 4 188.153265187326
2 "002_fs2" 5 193.30002083754
2 "002_fs2" 6 201.529953474056
2 "002_fs2" 7 190.80630364816
2 "002_fs2" 8 192.424785238196
2 "002_fs2" 9 190.153159008202
2 "002_fs2" 10 193.949930513525
2 "002_fs2" 11 182.039737602029
2 "002_fs2" 12 184.182300533713
2 "002_fs2" 13 189.913752394254
2 "002_fs2" 14 185.855228646789
3 "003_fs1" 1 119.018422972163
3 "003_fs1" 2 109.904705405953
3 "003_fs1" 3 113.231540199105
3 "003_fs1" 4 120.698692177092
3 "003_fs1" 5 100.676738093253
3 "003_fs1" 6 107.868228362072
3 "003_fs1" 7 118.879019348092
3 "003_fs1" 8 118.444303745841
3 "003_fs1" 9 128.460304739467
3 "003_fs1" 10 124.980005801177
3 "003_fs1" 11 115.340680137831
3 "003_fs1" 12 114.742536674822
3 "003_fs2" 1 108.666166948609
3 "003_fs2" 2 102.452590209672
3 "003_fs2" 3 111.401064457166
3 "003_fs2" 4 108.091353441682
3 "003_fs2" 5 116.931435502699
3 "003_fs2" 6 125.438833147638
3 "003_fs2" 7 119.028206614434
3 "003_fs2" 8 118.288391734177
3 "003_fs2" 9 114.936722886037
4 "004_fs1" 1 126.030939103694
4 "004_fs1" 2 123.039790195691
4 "004_fs1" 3 114.172158938805
4 "004_fs1" 4 116.847668400884
4 "004_fs1" 5 123.339002991401
4 "004_fs1" 6 117.452564486123
4 "004_fs1" 7 121.580457104219
4 "004_fs1" 8 124.031011254802
4 "004_fs1" 9 130.681784530141
4 "004_fs1" 10 126.614915325831
4 "004_fs1" 11 116.572139146929
4 "004_fs1" 12 119.215102040756
4 "004_fs1" 13 124.858313986602
4 "004_fs1" 14 120.535759336321
4 "004_fs1" 15 123.12179720563
4 "004_fs1" 16 120.422408488184
4 "004_fs1" 17 114.144695174664
4 "004_fs2" 1 124.938004749716
4 "004_fs2" 2 117.452256507817
4 "004_fs2" 3 112.912766536201
4 "004_fs2" 4 124.807123681545
4 "004_fs2" 5 128.449083446459
4 "004_fs2" 6 137.105631509795
4 "004_fs2" 7 130.337629804752
4 "004_fs2" 8 114.397702102966
4 "004_fs2" 9 128.291388873916
