"ID" "pool" "treatment"
"1" "Lees Athas" "amont"
"2" "Lees Athas" "amont"
"3" "Cauterets" "amont"
"4" "Cauterets" "amont"
"5" "Cauterets" "amont"
"6" "Cauterets" "amont"
"7" "Cauterets" "amont"
"8" "Lees Athas" "amont"
"9" "Lees Athas" "amont"
"11" "Cauterets" "aval"
"12" "Cauterets" "aval"
"13" "Cauterets" "aval"
"14" "Cauterets" "aval"
"15" "Cauterets" "aval"
"16" "Lees Athas" "aval"
"17" "Cauterets" "amont"
"18" "Lees Athas" "amont"
"19" "Lees Athas" "amont"
"20" "Lees Athas" "amont"
"21" "Cauterets" "amont"
"22" "Lees Athas" "amont"
"23" "Lees Athas" "amont"
"24" "Cauterets" "amont"
"25" "Lees Athas" "amont"
"26" "Cauterets" "amont"
"27" "Lees Athas" "aval"
"28" "Lees Athas" "aval"
"29" "Cauterets" "aval"
"30" "Lees Athas" "aval"
"31" "Cauterets" "aval"
"32" "Cauterets" "aval"
"33" "Cauterets" "aval"
"34" "Lees Athas" "aval"
"35" "Cauterets" "aval"
"37" "Lees Athas" "amont"
"38" "Lees Athas" "amont"
"39" "Lees Athas" "amont"
"40" "Lees Athas" "amont"
"41" "Lees Athas" "amont"
"42" "Lees Athas" "amont"
"43" "Lees Athas" "amont"
"44" "Cauterets" "amont"
"45" "Lees Athas" "amont"
"46" "Lees Athas" "amont"
"47" "Lees Athas" "aval"
"48" "Cauterets" "aval"
"49" "Cauterets" "aval"
"50" "Cauterets" "aval"
"51" "Lees Athas" "aval"
"52" "Lees Athas" "aval"
"53" "Lees Athas" "aval"
"54" "Lees Athas" "aval"
"55" "Cauterets" "aval"
"56" "Cauterets" "aval"
"57" "Cauterets" "amont"
"58" "Lees Athas" "amont"
"59" "Lees Athas" "amont"
"61" "Cauterets" "amont"
"62" "Cauterets" "amont"
"63" "Cauterets" "amont"
"63" "Cauterets" "amont"
"63" "Cauterets" "amont"
"63" "Cauterets" "amont"
"64" "Lees Athas" "amont"
"65" "Lees Athas" "amont"
"66" "Lees Athas" "amont"
"67" "Lees Athas" "aval"
"68" "Lees Athas" "aval"
"69" "Lees Athas" "aval"
"70" "Cauterets" "aval"
"71" "Lees Athas" "aval"
"72" "Lees Athas" NA
"73" "Lees Athas" NA
"74" "Lees Athas" NA
"75" "Lees Athas" NA
"76" "Lees Athas" NA
"77" "Cauterets" "amont"
"78" "Cauterets" "amont"
"79" "Lees Athas" "amont"
"80" "Cauterets" "amont"
"81" "Cauterets" "amont"
"82" "Cauterets" "amont"
"83" "Lees Athas" "amont"
"84" NA "amont"
"85" "Lees Athas" "amont"
"86" "Lees Athas" "amont"
"87" "Cauterets" "aval"
"88" "Lees Athas" "aval"
"89" "Lees Athas" "aval"
"90" "Lees Athas" "aval"
"91" "Lees Athas" "aval"
"92" "Lees Athas" "aval"
"93" "Lees Athas" "aval"
"94" "Lees Athas" "aval"
"95" "Lees Athas" "aval"
"96" "Lees Athas" "aval"
"97" "Cauterets" "amont"
"98" "Cauterets" "amont"
"99" "Lees Athas" "amont"
"100" "Cauterets" "amont"
