"treatment" "poisson" "fs" "time" "segment" "Y" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief"
"amont" "2" "002_fs1" 1 "segment_01_pts_1-27" 0 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 2 "segment_01_pts_1-27" 20.6532265947782 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 3 "segment_01_pts_1-27" 42.5331780478973 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 4 "segment_01_pts_1-27" 49.4334047864637 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 5 "segment_01_pts_1-27" 50.420568502693 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 6 "segment_01_pts_1-27" 52.3339073812207 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 7 "segment_01_pts_1-27" 58.93887117092 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 8 "segment_01_pts_1-27" 60.7263765394214 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 9 "segment_01_pts_1-27" 62.6482723552878 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 10 "segment_01_pts_1-27" 64.5227621291638 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 11 "segment_01_pts_1-27" 65.2154975250849 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 1 "segment_02_pts_28-53" 0 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 2 "segment_02_pts_28-53" 9.20034053310988 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 3 "segment_02_pts_28-53" 32.4141241957842 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 4 "segment_02_pts_28-53" 51.0984827120135 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 5 "segment_02_pts_28-53" 51.4273197841083 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 6 "segment_02_pts_28-53" 52.8712595399121 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 7 "segment_02_pts_28-53" 55.2255827305058 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 8 "segment_02_pts_28-53" 56.1953317872024 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 9 "segment_02_pts_28-53" 58.4707389175546 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 10 "segment_02_pts_28-53" 61.0490017517411 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 11 "segment_02_pts_28-53" 62.1840961426908 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 1 "segment_03_pts_54-76" 0 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 2 "segment_03_pts_54-76" 0.185092866284677 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 3 "segment_03_pts_54-76" 34.2747144773782 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 4 "segment_03_pts_54-76" 41.6198313227332 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 5 "segment_03_pts_54-76" 57.7860942609085 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
"amont" "2" "002_fs1" 6 "segment_03_pts_54-76" 60.7851196617846 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6"
