"treatment" "poisson" "fs" "time" "Y" "poisson_fs" "pool" "origin_treatment" "weight" "height" "temperature_ellerby" "bief" "absY" "weight_class" "height_class"
"amont" "2" "002_fs1" 1 -10.9934079779666 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 10.9934079779666 "lourd" "grand"
"amont" "2" "002_fs1" 2 -26.4634839979919 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 26.4634839979919 "lourd" "grand"
"amont" "2" "002_fs1" 3 -89.4777918291288 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 89.4777918291288 "lourd" "grand"
"amont" "2" "002_fs1" 4 -146.305645978757 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 146.305645978757 "lourd" "grand"
"amont" "2" "002_fs1" 5 -172.136355669529 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 172.136355669529 "lourd" "grand"
"amont" "2" "002_fs1" 6 -149.322239049781 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 149.322239049781 "lourd" "grand"
"amont" "2" "002_fs1" 7 -88.7057416974978 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 88.7057416974978 "lourd" "grand"
"amont" "2" "002_fs1" 8 -51.4682618335859 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 51.4682618335859 "lourd" "grand"
"amont" "2" "002_fs1" 9 -52.5691982444706 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 52.5691982444706 "lourd" "grand"
"amont" "2" "002_fs1" 10 -37.623446448341 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 37.623446448341 "lourd" "grand"
"amont" "2" "002_fs1" 11 -28.6271051395701 "2.002_fs1" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 28.6271051395701 "lourd" "grand"
"amont" "2" "002_fs2" 1 23.0458783411963 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 23.0458783411963 "lourd" "grand"
"amont" "2" "002_fs2" 2 -10.5401808798375 "2.002_fs2" "Lees Athas" "Lees Athas.amont" 9.96 103.141 "15.5" "5-6" 10.5401808798375 "lourd" "grand"
