"poisson" "fs" "frame" "pts" "X" "Y" "angle"
2 "002_fs1" 1 1 104.14201183432 54.0005024425794 -141.313842097936
2 "002_fs1" 1 2 103.328106623629 53.4720882653595 -141.313842097936
2 "002_fs1" 1 3 102.516973217026 52.9403139264006 -141.313842097936
2 "002_fs1" 1 4 101.708713524767 52.4051627952206 -141.313842097936
2 "002_fs1" 1 5 100.903429457111 51.8666182413369 -141.313842097936
2 "002_fs1" 1 6 100.101222924316 51.3246636342673 -141.313842097936
2 "002_fs1" 1 7 99.3021958366382 50.7792823435294 -141.313842097936
2 "002_fs1" 1 8 98.5064501043365 50.230457738641 -141.313842097936
2 "002_fs1" 1 9 97.7140876376685 49.6781731891195 -141.313842097936
2 "002_fs1" 1 10 96.9252103468918 49.1224120644829 -141.313842097936
2 "002_fs1" 1 11 96.1399201422644 48.5631577342486 -141.313842097936
2 "002_fs1" 1 12 95.3583189340438 48.0003935679343 -141.313842097936
2 "002_fs1" 1 13 94.580508632488 47.4341029350578 -141.313842097936
2 "002_fs1" 1 14 93.8065911478546 46.8642692051367 -141.313842097936
2 "002_fs1" 1 15 93.0366683904014 46.2908757476885 -141.313842097936
2 "002_fs1" 1 16 92.2708422703862 45.7139059322311 -141.313842097936
2 "002_fs1" 1 17 91.5092146980668 45.1333431282821 -141.313842097936
2 "002_fs1" 1 18 90.7518875837009 44.549170705359 -141.313842097936
2 "002_fs1" 1 19 89.9989628375463 43.9613720329797 -141.313842097936
2 "002_fs1" 1 20 89.2505423698607 43.3699304806617 -141.313842097936
2 "002_fs1" 1 21 88.506728090902 42.7748294179228 -141.313842097936
2 "002_fs1" 1 22 87.7676219109278 42.1760522142805 -141.313842097936
2 "002_fs1" 1 23 87.033325740196 41.5735822392525 -141.313842097936
2 "002_fs1" 1 24 86.3039414889643 40.9674028623566 -141.313842097936
2 "002_fs1" 1 25 85.5795710674905 40.3574974531103 -141.313842097936
2 "002_fs1" 1 26 84.8603163860324 39.7438493810314 -141.313842097936
2 "002_fs1" 1 27 84.1462793548476 39.1264420156375 -141.313842097936
2 "002_fs1" 1 28 83.437561884194 38.5052587264462 -141.313842097936
2 "002_fs1" 1 29 82.7342658843294 37.8802828829752 -141.313842097936
2 "002_fs1" 1 30 82.0364932655115 37.2514978547422 -141.313842097936
2 "002_fs1" 1 31 81.344301573978 36.6188870112649 -141.313842097936
2 "002_fs1" 1 32 80.6534435194038 35.9824337220609 -141.313842097936
2 "002_fs1" 1 33 79.9612967591401 35.3421213566478 -141.313842097936
2 "002_fs1" 1 34 79.268178987085 34.6979332845434 -141.313842097936
2 "002_fs1" 1 35 78.5744078971363 34.0498528752653 -141.313842097936
2 "002_fs1" 1 36 77.8803011831918 33.3978634983311 -141.313842097936
2 "002_fs1" 1 37 77.1861765391495 32.7419485232586 -141.313842097936
2 "002_fs1" 1 38 76.4923516589072 32.0820913195653 -141.313842097936
2 "002_fs1" 1 39 75.7991442363628 31.418275256769 -141.313842097936
