"ID","weight","height","origin","traitement","bief","variance_amplitude_max_par_segments_steady","maximum_amplitude_max_par_segments_steady","temperature_auge_steady","frequence_battement_steady","duree_sequence_steady","saut_boite_auge_steady","variance_distance_fast_start","maximum_distance_fast_start","variance_acceleration_fast_start","maximum_acceleration_fast_start","variance_ratio_snout_tail_fast_start","maximum_ratio_snout_tail_fast_start","variance_ratio_ant_post_fast_start","maximum_ratio_ant_post_fast_start","mean_efficiency_fast_start","variance_efficiency_fast_start","maximum_efficiency_fast_start","t_aqua_ellerby","saut_boite","temps_saut_sec","Temperature_Ellerby","Distance_cumulated_behaviour","Latency_to_externe_zone_behaviour","Time_spent_in_external_zone_behaviour","Latency_to_transition_zone_behaviour","Time_spent_in_transition_zone_behaviour","Time_spent_in_centre_zone_behaviour","Acceleration_Variance_behaviour","Mobility_Variance_behaviour","Cumulated_difference_of_Curvature_angle_behaviour","Cumulated_difference_of_Head_center_angle_behaviour","Cumulated_difference_of_Center_tail_behaviour","Variance_of_difference_of_Curvature_angle_behaviour","Variance_of_difference_of_Head_center_angle_behaviour","Variance_of_difference_of_Center_tail_behaviour","origin_treatment_behaviour","variance_angle_cum_diff_segmentation_fast_start","maximum_angle_cum_diff_segmentation_fast_start"
"1","5.88","84.778000000000006","Lees Athas","amont","5-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","9.9600000000000009","103.14100000000001","Lees Athas","amont","5-6",NA,NA,NA,NA,NA,NA,8.34780947588356,9.45898727089374,3.15952817920275e-05,0.0115920679518128,9164.63104252786,137.250037320507,4596.18947517634,96.2221776865528,0.72717075166914,0.000811149749473431,0.747309641279462,15.5,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6855.00519637945,284.965347854884
"3","2.2599999999999998","61.893999999999998","Cauterets","amont","5-6",NA,NA,NA,NA,NA,NA,12.9456772501262,11.9725540840045,2.57301444443612e-05,0.00968613359178749,5701.67565527466,62.5281041948113,2912.38453563809,46.5418029344313,0.801860071935423,0.000859856691488545,0.822594785479243,15.6,NA,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11696.5232279732,479.261699153767
"4","3.0859999999999999","67.551000000000002","Cauterets","amont","5-6",NA,NA,NA,NA,NA,NA,8.99503600944351,8.84877123926142,1.80295684490789e-05,0.0102077904922495,8043.56744129479,137.998293772221,3906.67991412572,101.763653667637,0.599929652533942,0.14234728101692,0.866713536058529,15.7,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9811.80259462318,379.257401684404
"5","4.1630000000000003","75.326999999999998","Cauterets","amont","5-6",NA,NA,NA,NA,NA,NA,3.54566242378932,6.26012468093686,1.09345485066241e-05,0.00728059099958947,6366.083598265,118.311859674428,3399.38124562066,95.2938119362911,0.694007785765996,0.00206235945791711,0.726119773075388,16.2,1,257,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5273.65337051673,260.868428710643
"6","3.8410000000000002","71.838999999999999","Cauterets","amont","5-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,1,540,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","4.0970000000000004","71.677000000000007","Cauterets","amont","5-6",NA,NA,NA,NA,NA,NA,5.73047830759776,7.5532641529195,4.32917745861943e-05,0.0130545869871213,5104.44642780412,64.0211975588801,2483.46790924865,53.0273355172267,0.815659007555349,0.00651023498989263,0.872712644555512,17.6,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5357.67217398106,369.763255842028
"8","5.4690000000000003","80.665000000000006","Lees Athas","amont","5-6",NA,NA,NA,NA,NA,NA,5.74710655982082,8.20874614997023,2.3263040388462e-05,0.0108752732458438,4930.06060750145,125.751356149276,2512.48102120409,82.708269008534,0.78064085299003,0.010844193088608,0.846801223002491,17.7,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8001.637768223,380.362931186473
"9","4.7539999999999996","76.73","Lees Athas","amont","5-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,1,455,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1.0329999999999999","49.689","Cauterets","aval","11-12",NA,NA,NA,NA,NA,NA,2.85406506386312,5.43824558257555,1.69327663566455e-05,0.00814423327139777,4903.91629219781,87.7257414338907,2210.49485652185,60.5962976087961,0.837315758581304,0.0101756735888052,0.929012023059199,17.3,1,330,17.3,1109.84,170.54,37.8225,169.79,4.26169,57.9158,1085.05,244.65,25544.1672524036,30543.9752506505,27282.0788393103,29.5528760808299,181.471020961267,185.74664830244,"Cauterets.Aval",5024.53145005765,321.715678311697
