ID,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11
002_fs1,24,44,63,82,100,117,132,146,162,178,193,
002_fs2,22,44,63,80,96,114,128,145,160,175,191,
003_fs1,29,57,80,103,122,145,166,187,,,,
003_fs2,30,54,80,104,129,150,172,191,,,,
004_fs1,29,51,74,93,116,136,155,176,194,,,
004_fs2,27,56,83,105,128,152,175,193,,,,
005_fs1,31,59,85,106,126,145,164,182,,,,
005_fs2,27,52,74,95,115,136,153,172,194,,,
007_fs1,26,53,79,101,121,139,156,,,,,
007_fs2,30,62,86,107,129,152,173,188,,,,
008_fs1,28,57,81,104,122,141,159,180,,,,
008_fs2,27,55,81,103,125,145,164,182,,,,
008_fs3,23,49,68,89,108,127,147,166,183,,,
011_fs1,36,67,93,126,157,187,,,,,,
011_fs2,30,69,104,135,163,189,,,,,,
011_fs3,39,73,107,137,164,188,,,,,,
014_fs1,38,70,98,123,147,169,190,,,,,
014_fs2,31,63,98,124,147,175,,,,,,
014_fs3,42,73,108,135,158,183,,,,,,
015_fs1,27,54,75,97,116,136,155,174,190,,,
015_fs2,26,53,76,98,121,140,163,181,,,,
016_fs1,30,54,77,99,121,140,159,175,191,,,
016_fs2,22,47,68,87,108,128,147,163,181,197,,
016_fs3,33,56,82,102,123,140,157,175,192,,,
017_fs1,23,47,70,92,114,133,153,174,194,,,
017_fs2,24,43,67,88,107,126,146,164,184,,,
018_fs1,21,42,58,77,96,112,134,153,168,184,198,
018_fs2,20,42,61,82,101,117,132,150,165,185,,
018_fs3,26,49,69,85,104,123,140,157,177,194,,
019_fs1,29,56,79,99,120,137,155,172,188,,,
019_fs2,25,46,70,89,108,125,142,157,171,187,,
019_fs3,23,45,65,84,102,119,133,150,165,181,195,
020_fs1,26,52,73,95,114,133,153,171,187,,,
020_fs2,24,52,79,104,128,149,168,187,,,,
020_fs3,24,49,71,90,110,130,150,169,189,,,
021_fs1,40,68,97,124,149,173,198,,,,,
021_fs2,33,62,88,113,137,161,183,,,,,
021_fs3,31,58,84,108,131,153,177,197,,,,
022_fs1,22,45,64,82,100,118,132,149,165,180,196,
022_fs2,26,48,68,90,110,127,141,156,173,190,,
022_fs3,21,44,63,81,99,116,132,147,161,177,191,
022_fs4,31,53,72,90,107,124,141,157,175,190,,
023_fs1,24,47,70,90,110,130,147,165,182,,,
023_fs2,35,57,74,92,111,128,149,166,182,198,,
023_fs3,26,52,75,97,115,132,153,169,187,,,
023_fs4,29,56,82,105,128,149,166,183,197,,,
024_fs1,35,63,84,110,135,159,186,,,,,
024_fs2,41,72,100,132,160,184,,,,,,
025_fs1,28,52,75,98,118,137,158,178,194,,,
025_fs2,24,50,75,95,113,134,154,174,192,,,
025_fs3,27,55,77,100,120,140,159,178,195,,,
026_fs1,26,51,74,97,117,135,154,172,190,,,
026_fs2,22,48,70,92,113,133,155,174,193,,,
027_fs1,23,46,67,86,105,125,142,159,174,191,,
027_fs2,27,50,70,90,109,129,149,165,181,197,,
027_fs3,22,48,70,91,112,132,151,168,184,197,,
029_fs1,33,58,82,107,128,151,173,196,,,,
029_fs2,32,61,87,111,133,153,176,198,,,,
037_fs1,25,49,67,85,104,150,167,186,,,,
037_fs2,30,57,81,104,123,143,164,182,198,,,
037_fs3,29,54,78,100,120,136,155,173,191,,,
038_fs1,19,41,63,84,102,119,135,155,173,189,,
038_fs2,25,48,67,88,107,123,144,161,180,,,
038_fs3,24,46,65,82,101,119,138,154,173,189,,
039_fs1,23,46,63,79,95,113,127,145,162,175,193,
039_fs2,22,42,62,83,101,118,139,154,171,186,,
039_fs3,26,51,74,94,111,128,143,161,175,191,,
040_fs1,25,49,70,90,108,126,142,158,175,194,,
040_fs2,28,59,91,111,129,149,173,,,,,
040_fs3,23,48,69,92,109,138,156,172,191,,,
040_fs4,20,49,71,92,111,132,148,166,184,,,
041_fs1,26,54,77,99,118,138,157,177,195,,,
041_fs2,24,49,70,94,115,132,152,171,191,,,
042_fs1,30,51,71,92,112,129,150,169,187,,,
042_fs2,24,46,67,85,105,123,139,155,171,187,,
042_fs3,25,53,72,95,113,132,149,165,184,,,
042_fs4,24,49,69,91,108,128,146,163,180,195,,
045_fs1,27,52,74,96,116,133,154,170,191,,,
045_fs2,24,51,78,102,123,141,159,176,193,,,
045_fs3,24,51,69,90,111,131,151,167,187,,,
046_fs1,26,51,72,94,113,132,148,165,182,197,,
046_fs2,23,51,71,91,110,128,147,164,181,196,,
046_fs3,24,48,69,94,114,132,149,164,181,195,,
167_fs1,27,56,77,97,118,140,158,176,193,,,
167_fs2,21,44,67,84,106,124,149,168,186,,,
167_fs3,30,57,79,105,123,144,163,183,,,,
168_fs1,20,39,60,78,94,111,126,141,154,168,182,196
168_fs2,20,41,58,75,90,106,122,136,152,166,183,195
168_fs3,17,37,58,74,92,105,122,137,152,167,180,196
170_fs1,32,64,87,110,132,151,172,193,,,,
170_fs2,32,57,79,103,123,142,162,184,,,,
170_fs3,30,52,75,95,116,133,152,173,191,,,
171_fs1,25,49,69,88,108,127,146,163,180,197,,
171_fs2,29,56,76,98,115,132,150,166,187,,,
171_fs3,25,45,68,108,127,147,163,183,,,,
172_fs1,37,66,91,116,140,165,192,,,,,
172_fs2,37,68,96,121,147,172,195,,,,,
172_fs3,30,63,92,116,143,168,,,,,,
173_fs1,23,48,71,93,113,134,176,194,,,,
173_fs2,25,50,75,100,118,135,152,170,189,,,
173_fs3,22,44,67,87,104,122,140,156,173,190,,
174_fs1,35,71,100,125,149,174,196,,,,,
174_fs2,29,62,89,115,139,160,185,,,,,
174_fs3,36,69,112,136,160,186,,,,,,
175_fs1,23,43,65,83,101,119,133,154,171,190,,
175_fs2,26,49,69,88,106,121,135,154,172,187,,
175_fs3,21,45,64,85,104,120,136,151,167,184,,
176_fs1,24,50,74,96,116,134,149,167,182,197,,
