"ID" "treatment" "Distance cumulated" "Latency to externe zone" "Time spent in external zone" "Latency to transition zone" "Time spent in transition zone" "Time spent in centre zone" "Acceleration Variance" "Mobility Variance" "Cumulated difference of Curvature angle" "Cumulated difference of Head center angle" "Cumulated difference of Center tail" "Variance of difference of Curvature angle" "Variance of difference of Head center angle" "Variance of difference of Center tail" "pool" "origin_treatment" "weight" "height"
"19" "Amont" 3348.93 0.149862 77.7093 22.6792 16.0979 6.14283 3315.3 81.6126 29859.3580438472 23971.0016583929 27663.7714387648 28.4668258195069 47.1141846188811 33.3038444790487 "Lees Athas" "Lees Athas.Amont" 9.075 100.084
"20" "Amont" 1628.69 17.4848 64.6246 16.8853 18.7448 16.6306 1130.2 110.411 34774.5247573642 42939.421932209 31879.4846818861 183.726227565075 682.629319559685 176.470938605038 "Lees Athas" "Lees Athas.Amont" 5.177 81.969
"21" "Amont" 450.979 172.275 7.42591 170.377 5.82751 86.7466 927.159 78.3816 17420.478016654 25502.6490861145 17140.1519307208 27.178813318335 197.726246268214 203.036912524257 "Cauterets" "Cauterets.Amont" 1.888 61.223
"22" "Amont" 927.678 114.056 53.8961 113.507 6.09391 39.8435 4557.07 84.6326 30076.5487534632 35978.8922681145 15296.9400671137 42.871634051134 134.551582295218 12.1568119956862 "Lees Athas" "Lees Athas.Amont" 10.54 103.871
"17" "Amont" 2555.31 43.8272 84.4796 43.1775 1.13239 14.388 1685.89 187.789 31181.1757355469 28079.1855494786 31262.528086607 32.3466153537556 47.2133478279786 41.9067203412698 "Cauterets" "Cauterets.Amont" 4.78 79.556
"18" "Amont" 1897.71 17.9876 66.7666 17.488 19.9967 13.1369 3642.38 95.5872 23573.3947718765 20469.4846141351 19721.7279767623 15.7175425432807 26.829003898085 22.3502363132768 "Lees Athas" "Lees Athas.Amont" 6.935 91.188
"23" "Amont" 1460.13 16.9903 75.6536 16.3907 13.5554 10.791 2331.12 158.157 30943.0243853462 26834.4632731561 27561.0538380229 41.3733951558369 117.960751372637 84.4249868238362 "Lees Athas" "Lees Athas.Amont" 6.277 86.834
"24" "Amont" 305.885 0 96.4417 73.2848 3.5583 0 442.41 30.9451 18347.0441857294 17673.4833951395 10022.8625849458 9.46241603203184 8.0829813665574 3.4727685998887 "Cauterets" "Cauterets.Amont" 1.68 56.782
"25" "Amont" 769.545 57.9982 51.107 57.4987 26.6356 22.1575 551.208 68.0286 26636.3976466306 16752.6671694896 17244.2825299835 23.212935710654 17.9007527140755 17.3274123464241 "Lees Athas" "Lees Athas.Amont" 5.249 81.787
"26" "Amont" 998.026 103.057 60.0633 102.008 4.69452 35.2422 475.632 89.7962 23228.7204239786 19293.4437903543 16015.8153926947 14.7682933513185 28.5507182978321 27.1989026977299 "Cauterets" "Cauterets.Amont" 5.031 78.637
"37" "Amont" 451.129 0.249756 99.9168 NA 0 0 955.51 36.715 18412.5713104171 13108.1467716102 11054.8989253678 11.2820205411612 23.2476275867404 14.70762947602 "Lees Athas" "Lees Athas.Amont" 5.52 84.271
"38" "Amont" 2430.14 32.0214 73.1813 31.372 11.1537 15.6651 3102.74 91.6057 25359.5324813404 23324.7959356134 24089.1228339822 19.6623177518256 81.2154572376395 70.0998872794828 "Lees Athas" "Lees Athas.Amont" 7.06 89.897
"39" "Amont" 57.0633 NA 0 NA 0 99.8668 21.7499 0.107726 23586.4578053645 12688.1929654968 11593.1968927163 12.2449334715465 3.32857777329228 2.86795508142033 "Lees Athas" "Lees Athas.Amont" 9.399 98.874
"40" "Amont" 61.3528 NA 0 NA 0 100 23.7184 0.478175 43646.7835864025 22477.2323133826 21871.8088326482 38.6425987259317 8.81041331377003 10.3785010884302 "Lees Athas" "Lees Athas.Amont" 7.092 89.745
"41" "Amont" 196.327 0.499572 1.29848 0.649443 98.0689 0.466123 109.567 24.1169 18173.5753212221 10847.2238507597 9820.62233981324 11.0337115543757 5.45035794001868 6.30482855871282 "Lees Athas" "Lees Athas.Amont" 5.53 84.3
"42" "Amont" 2148.87 15.1396 76.7566 14.7399 11.3553 11.7549 1005.29 87.2246 27459.862023331 21152.4379184591 22420.4647170706 19.493309824672 26.2675328159168 19.8028465664631 "Lees Athas" "Lees Athas.Amont" 7.464 91.308
"43" "Amont" 4136.51 0 84.1325 9.54297 12.9371 2.9304 1832.95 81.785 33761.1201388648 27682.061932311 32885.3775933148 26.0688198640728 27.86704496924 28.3455330532845 "Lees Athas" "Lees Athas.Amont" 6.483 87.545
"44" "Amont" 1899.41 31.5771 59.1409 30.9276 26.1905 14.6687 745.36 147.126 23727.266319202 23327.1429203541 23569.9527876174 19.0842947281648 37.8984995296946 37.812073164683 "Cauterets" "Cauterets.Amont" 3.125 68.365
"45" "Amont" 1178.08 0.399724 37.7456 0.099931 44.7885 17.4326 402.042 106.322 23177.450676906 18472.0848707674 17745.0848154129 17.6753096194144 16.8486706282319 15.9539732167651 "Lees Athas" "Lees Athas.Amont" 4.653 79.09
"46" "Amont" 2369.3 19.1859 84.299 18.5363 6.39361 9.30736 1973.44 97.4203 28729.0030766462 23184.654174413 23853.2899043586 21.5432100204922 43.4146345764349 40.4479782739471 "Lees Athas" "Lees Athas.Amont" 7.361 90.906
"57" "Amont" 2076.29 0 85.1185 119.528 10.2938 4.58768 768.41 171.711 33060.9497964106 25808.4280600154 27534.8996274607 36.5236907640347 42.5749880167033 41.2294052825541 "Cauterets" "Cauterets.Amont" 4.393 78.233
"58" "Amont" 1718.89 178.234 33.5442 175.637 6.74213 59.7137 633.766 121.99 32685.4736196906 20569.7277093035 23122.0402752749 31.2965590030734 16.7412592495445 16.2815195742272 "Lees Athas" "Lees Athas.Amont" 10.185 104.629
"59" "Amont" 3051.63 0.449587 42.9 1.54858 35.1923 21.7579 1011.57 146.501 32960.9443144372 29436.4529720689 33432.9642651793 30.6728061589299 42.2790170646895 37.9756184617168 "Lees Athas" "Lees Athas.Amont" 5.062 81.349
"61" "Amont" 243.798 280.304 3.64574 278.653 1.85726 94.4798 107.382 53.4164 17550.1419737765 14445.095530221 8608.23488876045 8.24250704492008 8.47561501180915 5.27413339818058 "Cauterets" "Cauterets.Amont" 1.667 57.518
"62" "Amont" 2880.08 0 93.6397 29.8255 5.21146 1.14885 1401.6 64.4076 28434.4143917173 26616.240523077 30834.1306006697 17.2099184364894 27.7695984090149 25.4269954832519 "Cauterets" "Cauterets.Amont" 2.28 63.032
