"ID" "treatment" "Distance cumulated" "Latency to externe zone" "Time spent in external zone" "Latency to transition zone" "Time spent in transition zone" "Time spent in centre zone" "Acceleration Variance" "Mobility Variance" "Cumulated difference of Curvature angle" "Cumulated difference of Head center angle" "Cumulated difference of Center tail" "Variance of difference of Curvature angle" "Variance of difference of Head center angle" "Variance of difference of Center tail" "pool" "origin_treatment" "weight" "height"
"19" "Amont" 3348.93 0.149862 77.7093 22.6792 16.0979 6.14283 3315.3 81.6126 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 9.075 100.084
"20" "Amont" 1628.69 17.4848 64.6246 16.8853 18.7448 16.6306 1130.2 110.411 1028351.65101107 702638.025581058 371066.253263079 219.13439302321 17121.1559236472 7412.62988387684 "Lees Athas" "Lees Athas.Amont" 5.177 81.969
"21" "Amont" 450.979 172.275 7.42591 170.377 5.82751 86.7466 927.159 78.3816 1056353.67316209 201354.507466709 875177.500142371 29.532502570043 2240.7085688585 19729.6662365559 "Cauterets" "Cauterets.Amont" 1.888 61.223
"22" "Amont" 927.678 114.056 53.8961 113.507 6.09391 39.8435 4557.07 84.6326 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 10.54 103.871
"17" "Amont" 2555.31 43.8272 84.4796 43.1775 1.13239 14.388 1685.89 187.789 NA NA 574646.253567506 NA NA 11640.3720316383 "Cauterets" "Cauterets.Amont" 4.78 79.556
"18" "Amont" 1897.71 17.9876 66.7666 17.488 19.9967 13.1369 3642.38 95.5872 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 6.935 91.188
"23" "Amont" 1460.13 16.9903 75.6536 16.3907 13.5554 10.791 2331.12 158.157 1006560.43347813 592732.103007885 498196.507653283 208.551076575987 12190.6336788074 9337.25935566773 "Lees Athas" "Lees Athas.Amont" 6.277 86.834
"24" "Amont" 305.885 0 96.4417 73.2848 3.5583 0 442.41 30.9451 1051596.70059017 578165.418136066 516221.624536924 20.4158910334577 4777.34278529448 4625.40908409648 "Cauterets" "Cauterets.Amont" 1.68 56.782
"25" "Amont" 769.545 57.9982 51.107 57.4987 26.6356 22.1575 551.208 68.0286 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 5.249 81.787
"26" "Amont" 998.026 103.057 60.0633 102.008 4.69452 35.2422 475.632 89.7962 1023941.11471353 749153.558536963 358730.035668513 68.8187940345678 16799.4369196185 5554.15174963305 "Cauterets" "Cauterets.Amont" 5.031 78.637
"37" "Amont" 451.129 0.249756 99.9168 NA 0 0 955.51 36.715 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 5.52 84.271
"38" "Amont" 2430.14 32.0214 73.1813 31.372 11.1537 15.6651 3102.74 91.6057 1028777.23000409 583736.956278057 499295.963156374 106.806862604607 11340.5511094382 9468.49634723209 "Lees Athas" "Lees Athas.Amont" 7.06 89.897
"39" "Amont" 57.0633 NA 0 NA 0 99.8668 21.7499 0.107726 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 9.399 98.874
"40" "Amont" 61.3528 NA 0 NA 0 100 23.7184 0.478175 1009487.4324938 732209.419718832 420792.013857594 35.0934667196229 9.58305915661023 9.38264107155451 "Lees Athas" "Lees Athas.Amont" 7.092 89.745
"41" "Amont" 196.327 0.499572 1.29848 0.649443 98.0689 0.466123 109.567 24.1169 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 5.53 84.3
"42" "Amont" 2148.87 15.1396 76.7566 14.7399 11.3553 11.7549 1005.29 87.2246 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 7.464 91.308
"43" "Amont" 4136.51 0 84.1325 9.54297 12.9371 2.9304 1832.95 81.785 NA NA 537901.734646526 NA NA 10977.6694978986 "Lees Athas" "Lees Athas.Amont" 6.483 87.545
"44" "Amont" 1899.41 31.5771 59.1409 30.9276 26.1905 14.6687 745.36 147.126 1042898.54295788 644911.259831765 444004.416191957 58.8291476489166 10964.2548027358 7604.44246118557 "Cauterets" "Cauterets.Amont" 3.125 68.365
"45" "Amont" 1178.08 0.399724 37.7456 0.099931 44.7885 17.4326 402.042 106.322 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 4.653 79.09
"46" "Amont" 2369.3 19.1859 84.299 18.5363 6.39361 9.30736 1973.44 97.4203 1015903.43850629 598650.911951547 489035.045083891 138.604629735322 11499.4773536847 8439.85169430986 "Lees Athas" "Lees Athas.Amont" 7.361 90.906
"57" "Amont" 2076.29 0 85.1185 119.528 10.2938 4.58768 768.41 171.711 885445.666350818 534067.347783517 440434.914357448 130.574133616378 11357.9617776439 8536.94330804987 "Cauterets" "Cauterets.Amont" 4.393 78.233
"58" "Amont" 1718.89 178.234 33.5442 175.637 6.74213 59.7137 633.766 121.99 1018663.23211674 512279.451515943 535777.779591018 74.2243351494077 6159.3570395518 6684.76869609559 "Lees Athas" "Lees Athas.Amont" 10.185 104.629
