"treatment" "trial_name" "Distance moved Center-point Total cm" "In zone External zone / Center-point Frequency" "In zone External zone / Center-point Cumulative Duration s" "In zone External zone / Center-point Latency to First s" "In zone External zone / Center-point Cumulative Duration %" "In zone 2 Transition zone / Center-point Frequency" "In zone 2 Transition zone / Center-point Cumulative Duration s" "In zone 2 Transition zone / Center-point Latency to First s" "In zone 2 Transition zone / Center-point Cumulative Duration %" "In zone 3 Center zone / Center-point Frequency" "In zone 3 Center zone / Center-point Cumulative Duration s" "In zone 3 Center zone / Center-point Latency to First s" "In zone 3 Center zone / Center-point Cumulative Duration %" "Acceleration Center-point Minimum cm/s²" "Acceleration Center-point Mean cm/s²" "Acceleration Center-point Maximum cm/s²" "Acceleration Center-point Variance (cm/s²)²" "Turn angle Center-point / relative Minimum deg" "Turn angle Center-point / relative Mean deg" "Turn angle Center-point / relative Maximum deg" "Turn angle Center-point / relative Variance deg²" "Head direction Head direction line Mean deg" "Head direction Head direction line Standard Deviation deg" "Head direction Head direction line Variance deg²" "Mobility Body fill Minimum %" "Mobility Body fill Mean %" "Mobility Body fill Maximum %" "Mobility Body fill Variance %²" "Body angle Minimum deg" "Body angle Mean deg" "Body angle Maximum deg" "Body angle Variance deg²" "ID"
"Amont" 16 3348.93 41 233.186 "0.149862" 77.7093 53 48.3057 "22.6792" 16.0979 13 18.4331 "23.1787" 6.14283 -568.471 -0.0226196 676.492 3315.3 -177.4 0.903622 178.415 268.695 41.245 156.696 3204.81 4.80816 17.5749 81.9249 81.6126 -69.0084 0.417222 126.282 217.847 19
"Amont" 17 1628.69 22 193.932 "17.4848" 64.6246 41 56.2511 "16.8853" 18.7448 20 49.9066 "0" 16.6306 -381.831 0.0402334 337.157 1130.2 -179.997 -1.43557 180 5975.28 -0.487305 85.9702 2217.78 0.147275 13.3373 77.2105 110.411 -69.5607 1.15542 104.957 295.39 20
"Amont" 18 450.979 7 22.2839 "172.275" 7.42591 13 17.4873 "170.377" 5.82751 7 260.311 "0" 86.7466 -243.293 0.0233169 289.892 927.159 -179.988 -4.35889 180 13839.4 175.325 45.1008 874.581 0 6.11166 88.8788 78.3816 -54.5064 -1.04939 179.491 45.3831 21
"Amont" 19 927.678 17 161.717 "114.056" 53.8961 23 18.285 "113.507" 6.09391 7 119.552 "0.49959" 39.8435 -437.929 -0.000188239 438.668 4557.07 -179.985 3.57967 179.998 12165.1 -12.9577 121.662 2938.32 0 4.97439 70.4671 84.6326 -59.5349 3.09557 68.4549 157.359 22
"Amont" 20 2555.31 5 253.518 "43.8272" 84.4796 5 3.39823 "43.1775" 1.13239 1 43.1775 "0" 14.388 -247.485 0.0287703 320.088 1685.89 -179.39 -0.171403 179.471 2167.78 114.239 119.335 2907.61 0.551549 22.4578 83.9033 187.789 -163.125 -1.70524 122.912 308.366 17
"Amont" 21 1897.71 27 200.362 "17.9876" 66.7666 37 60.0087 "17.488" 19.9967 11 39.4229 "0.299793" 13.1369 -1137.93 0.00054756 1596.5 3642.38 -179.996 0.291688 179.972 3098.86 19.3522 118.932 2902.08 0.0688942 12.6107 100 95.5872 -63.6772 -1.43461 54.9175 171.6 18
"Amont" 22 1460.13 11 227.021 "16.9903" 75.6536 19 40.6769 "16.3907" 13.5554 9 32.3816 "0" 10.791 -818.084 0.010999 653.336 2331.12 -179.942 -1.68507 179.93 3592.33 -23.521 117.894 2887.56 0.0722717 14.7584 100 158.157 -138.767 -1.38128 77.6393 359.923 23
"Amont" 23 305.885 11 289.38 "0" 96.4417 10 10.6769 "73.2848" 3.5583 0 0 "-" 0 -516.886 -0.0276067 995.696 442.41 -179.988 -0.91794 179.928 8797.12 77.8525 50.1099 1043.31 0.371747 5.76307 100 30.9451 -48.792 -2.89651 35.7759 30.7245 24
"Amont" 24 769.545 9 153.363 "57.9982" 51.107 14 79.9286 "57.4987" 26.6356 5 66.4906 "0.299732" 22.1575 -358.823 0.0160022 338.633 551.208 -179.97 2.10333 179.961 8674.39 87.4103 90.6617 2344.06 0.213732 6.18062 65.2507 68.0286 -57.918 -0.836414 51.721 117.464 25
"Amont" 25 998.026 12 180.237 "103.057" 60.0633 15 14.0873 "102.008" 4.69452 4 105.754 "0" 35.2422 -348.015 0.0128698 337.871 475.632 -179.998 -0.841402 179.993 7650.75 3.11458 66.9503 1624.17 0.618047 8.7318 76.3889 89.7962 -74.4768 0.236048 80.4054 159.828 26
