"ID" "trial_name" "treatment" "Distance.moved.Center.point.Total.cm" "In.zone.External.zone...Center.point.Frequency" "In.zone.External.zone...Center.point.Cumulative.Duration.s" "In.zone.External.zone...Center.point.Latency.to.First.s" "In.zone.External.zone...Center.point.Cumulative.Duration.." "In.zone.2.Transition.zone...Center.point.Frequency" "In.zone.2.Transition.zone...Center.point.Cumulative.Duration.s" "In.zone.2.Transition.zone...Center.point.Latency.to.First.s" "In.zone.2.Transition.zone...Center.point.Cumulative.Duration.." "In.zone.3.Center.zone...Center.point.Frequency" "In.zone.3.Center.zone...Center.point.Cumulative.Duration.s" "In.zone.3.Center.zone...Center.point.Latency.to.First.s" "In.zone.3.Center.zone...Center.point.Cumulative.Duration.." "Acceleration.Center.point.Minimum.cm.s." "Acceleration.Center.point.Mean.cm.s." "Acceleration.Center.point.Maximum.cm.s." "Acceleration.Center.point.Variance..cm.s..." "Turn.angle.Center.point...relative.Minimum.deg" "Turn.angle.Center.point...relative.Mean.deg" "Turn.angle.Center.point...relative.Maximum.deg" "Turn.angle.Center.point...relative.Variance.deg." "Head.direction.Head.direction.line.Mean.deg" "Head.direction.Head.direction.line.Standard.Deviation.deg" "Head.direction.Head.direction.line.Variance.deg." "Mobility.Body.fill.Minimum.." "Mobility.Body.fill.Mean.." "Mobility.Body.fill.Maximum.." "Mobility.Body.fill.Variance..." "Body.angle.Minimum.deg" "Body.angle.Mean.deg" "Body.angle.Maximum.deg" "Body.angle.Variance.deg." "freq1" "freq2" "freq3" "freq4" "max_cum_curvature_angle" "max_cum_head_center_angle" "max_cum_center_tail_angle" "var_curvature_angle" "var_head_center_angle" "var_center_tail_angle"
"19" 16 "Amont" 3348.93 41 233.186 0.149862 77.7093 53 48.3057 22.6792 16.0979 13 18.4331 23.1787 6.14283 -568.471 -0.0226196 676.492 3315.3 -177.4 0.903622 178.415 268.695 41.245 156.696 3204.81 4.80816 17.5749 81.9249 81.6126 -69.0084 0.417222 126.282 217.847 0.00544727636181909 0.00588872230551391 0.00673829751790771 0.00882058970514743 NA NA NA NA NA NA
"20" 17 "Amont" 1628.69 22 193.932 17.4848 64.6246 41 56.2511 16.8853 18.7448 20 49.9066 0 16.6306 -381.831 0.0402334 337.157 1130.2 -179.997 -1.43557 180 5975.28 -0.487305 85.9702 2217.78 0.147275 13.3373 77.2105 110.411 -69.5607 1.15542 104.957 295.39 0.023018648018648 0.023026973026973 0.023043623043623 0.0230519480519481 1028351.65101107 702638.025581058 371066.253263079 219.13439302321 17121.1559236472 7412.62988387684
"21" 18 "Amont" 450.979 7 22.2839 172.275 7.42591 13 17.4873 170.377 5.82751 7 260.311 0 86.7466 -243.293 0.0233169 289.892 927.159 -179.988 -4.35889 180 13839.4 175.325 45.1008 874.581 0 6.11166 88.8788 78.3816 -54.5064 -1.04939 179.491 45.3831 0.0150791007493755 0.0231640299750208 0.0235720233139051 0.024104912572856 1056353.67316209 201354.507466709 875177.500142371 29.532502570043 2240.7085688585 19729.6662365559
"22" 19 "Amont" 927.678 17 161.717 114.056 53.8961 23 18.285 113.507 6.09391 7 119.552 0.49959 39.8435 -437.929 -0.000188239 438.668 4557.07 -179.985 3.57967 179.998 12165.1 -12.9577 121.662 2938.32 0 4.97439 70.4671 84.6326 -59.5349 3.09557 68.4549 157.359 0.0182652210175146 0.0201501251042535 0.0228273561301084 0.0228356964136781 NA NA NA NA NA NA
"17" 20 "Amont" 2555.31 5 253.518 43.8272 84.4796 5 3.39823 43.1775 1.13239 1 43.1775 0 14.388 -247.485 0.0287703 320.088 1685.89 -179.39 -0.171403 179.471 2167.78 114.239 119.335 2907.61 0.551549 22.4578 83.9033 187.789 -163.125 -1.70524 122.912 308.366 0.00868333333333333 0.00951666666666667 0.0103 0.011825 NA NA 574646.253567506 NA NA 11640.3720316383
"18" 21 "Amont" 1897.71 27 200.362 17.9876 66.7666 37 60.0087 17.488 19.9967 11 39.4229 0.299793 13.1369 -1137.93 0.00054756 1596.5 3642.38 -179.996 0.291688 179.972 3098.86 19.3522 118.932 2902.08 0.0688942 12.6107 100 95.5872 -63.6772 -1.43461 54.9175 171.6 0.00609268211368562 0.00706784464077346 0.00733455575929322 0.0073512252042007 NA NA NA NA NA NA
"23" 22 "Amont" 1460.13 11 227.021 16.9903 75.6536 19 40.6769 16.3907 13.5554 9 32.3816 0 10.791 -818.084 0.010999 653.336 2331.12 -179.942 -1.68507 179.93 3592.33 -23.521 117.894 2887.56 0.0722717 14.7584 100 158.157 -138.767 -1.38128 77.6393 359.923 0.00455529646902065 0.00625416389073951 0.00825283144570287 0.00942704863424384 1006560.43347813 592732.103007885 498196.507653283 208.551076575987 12190.6336788074 9337.25935566773
"24" 23 "Amont" 305.885 11 289.38 0 96.4417 10 10.6769 73.2848 3.5583 0 0 NA 0 -516.886 -0.0276067 995.696 442.41 -179.988 -0.91794 179.928 8797.12 77.8525 50.1099 1043.31 0.371747 5.76307 100 30.9451 -48.792 -2.89651 35.7759 30.7245 0.0195321637426901 0.0195488721804511 0.0203842940685046 0.0222222222222222 1051596.70059017 578165.418136066 516221.624536924 20.4158910334577 4777.34278529448 4625.40908409648
"25" 24 "Amont" 769.545 9 153.363 57.9982 51.107 14 79.9286 57.4987 26.6356 5 66.4906 0.299732 22.1575 -358.823 0.0160022 338.633 551.208 -179.97 2.10333 179.961 8674.39 87.4103 90.6617 2344.06 0.213732 6.18062 65.2507 68.0286 -57.918 -0.836414 51.721 117.464 0.0212 0.022525 0.0244333333333333 0.0246 NA NA NA NA NA NA
"26" 25 "Amont" 998.026 12 180.237 103.057 60.0633 15 14.0873 102.008 4.69452 4 105.754 0 35.2422 -348.015 0.0128698 337.871 475.632 -179.998 -0.841402 179.993 7650.75 3.11458 66.9503 1624.17 0.618047 8.7318 76.3889 89.7962 -74.4768 0.236048 80.4054 159.828 0.0107309357309357 0.0111804861804862 0.0114635364635365 0.023018648018648 1023941.11471353 749153.558536963 358730.035668513 68.8187940345678 16799.4369196185 5554.15174963305
"37" 35 "Amont" 451.129 1 299.807 0.249756 99.9168 0 0 NA 0 0 0 NA 0 -430.011 -0.185095 497.318 955.51 -179.991 2.14514 179.978 7959.84 115.195 129.817 3030.75 0.492958 4.71607 61.796 36.715 -70.8316 2.00316 36.139 69.0132 0.0186135644059323 0.0205382436260623 0.0217630394934178 0.0217797033827695 NA NA NA NA NA NA
"38" 36 "Amont" 2430.14 27 219.604 32.0214 73.1813 43 33.4701 31.372 11.1537 17 47.008 0 15.6651 -474.406 0.0363289 483.935 3102.74 -179.988 2.21193 180 1988.69 -58.3585 105.626 2682.67 0.174182 14.4257 82.9003 91.6057 -78.8618 1.07902 77.0269 181.99 0.00599400599400599 0.00824175824175824 0.00851648351648352 0.00905760905760906 1028777.23000409 583736.956278057 499295.963156374 106.806862604607 11340.5511094382 9468.49634723209
"39" 37 "Amont" 57.0633 0 0 NA 0 0 0 NA 0 1 299.686 0.399648 99.8668 -144.767 -0.00114679 139.864 21.7499 -179.976 3.84681 179.991 13705.5 -80.4223 4.1605 8.64349 0.270071 0.752998 12.6264 0.107726 -14.286 -1.26214 13.2051 53.5289 0.0218156052017339 0.0220656885628543 0.0223324441480494 0.0240496832277426 NA NA NA NA NA NA
"40" 38 "Amont" 61.3528 0 0 NA 0 0 0 NA 0 1 300.086 0 100 -137.62 -0.00133913 144.326 23.7184 -179.986 5.42296 179.979 11925.6 55.5364 8.07532 32.444 0.214527 0.914798 18.9609 0.478175 -20.6464 -11.943 1.78942 35.2173 0.0214785214785215 0.0234182484182484 0.0238927738927739 0.0243506493506494 1009487.4324938 732209.419718832 420792.013857594 35.0934667196229 9.58305915661023 9.38264107155451
"41" 39 "Amont" 196.327 5 3.89666 0.499572 1.29848 6 294.298 0.649443 98.0689 1 1.3988 216.714 0.466123 -155.887 -0.107253 181.704 109.567 -179.994 -1.17043 179.983 9590.47 -167.354 16.2069 128.74 0.241796 1.92958 98.5055 24.1169 -78.1031 1.01184 65.2532 56.8478 0.0207054703135424 0.023157104736491 0.0242911941294196 0.0243579052701801 NA NA NA NA NA NA
"42" 40 "Amont" 2148.87 23 230.341 15.1396 76.7566 38 34.0765 14.7399 11.3553 16 35.2757 0.399724 11.7549 -340.061 0.0300947 340.365 1005.29 -179.412 1.68827 179.973 2635.63 121.847 102.865 2627.67 0.42943 13.5349 68.136 87.2246 -72.6987 -2.74578 68.7371 179.617 0.00753710188427547 0.0080040020010005 0.00815407703851926 0.0096715024178756 NA NA NA NA NA NA
"43" 41 "Amont" 4136.51 38 252.464 0 84.1325 51 38.8214 9.54297 12.9371 14 8.79352 54.36 2.9304 -460.295 -0.00636789 352.701 1832.95 -174.006 -0.067655 172.882 209.595 58.737 162.825 3224.92 1.87542 22.1845 77.9824 81.785 -76.9826 0.557086 72.4112 230.121 0.00895385640513077 0.009312010661336 0.0105114109611861 0.0110361485923705 NA NA 537901.734646526 NA NA 10977.6694978986
"44" 42 "Amont" 1899.41 49 177.471 31.5771 59.1409 64 78.5931 30.9276 26.1905 16 44.0181 0 14.6687 -191.735 -0.000896154 254.433 745.36 -179.951 -0.133483 179.979 5852.78 -46.6724 82.7637 2126.29 0.504767 14.6484 71.1803 147.126 -61.516 1.10303 55.0495 98.0328 0.00717735220649459 0.00819317235636969 0.00903413821815154 0.00924229808492923 1042898.54295788 644911.259831765 444004.416191957 58.8291476489166 10964.2548027358 7604.44246118557
"45" 43 "Amont" 1178.08 18 113.272 0.399724 37.7456 37 134.407 0.099931 44.7885 19 52.314 114.971 17.4326 -159.046 -0.00637074 150.23 402.042 -179.963 -0.496308 179.999 6222.14 -107.014 106.273 2695.07 0.296736 10.058 71.175 106.322 -61.373 -1.28975 66.9671 120.356 0.00596368482425454 0.00777111444277861 0.00818757288022655 0.00994502748625687 NA NA NA NA NA NA
"46" 44 "Amont" 2369.3 20 252.964 19.1859 84.299 28 19.1859 18.5363 6.39361 9 27.9294 0 9.30736 -433.507 0.0498871 411.631 1973.44 -179.798 0.117773 179.97 2306.45 57.5028 93.2437 2409.56 0.397727 14.886 70.5797 97.4203 -73.5483 -2.18199 74.5663 251.626 0.00493755203996669 0.00499583680266445 0.0053955037468776 0.00920066611157369 1015903.43850629 598650.911951547 489035.045083891 138.604629735322 11499.4773536847 8439.85169430986
