 ,X (cm),Y (cm)
1,491.167,169.167
2,483.938,168.962
3,476.733,168.333
4,469.519,167.833
5,462.318,167.167
6,455.117,166.500
7,448.121,164.667
8,441.335,162.168
9,434.261,160.667
10,427.124,159.500
11,419.899,159.167
12,412.685,159.667
13,405.881,162.119
14,399.053,164.500
15,392.208,166.833
16,492.667,166.833
17,485.550,166.167
18,478.402,166.167
19,471.254,166.167
20,464.108,166.333
21,456.960,166.333
22,449.843,165.667
23,442.744,164.833
24,435.869,162.874
25,429.254,160.167
26,422.391,158.167
27,415.251,157.833
28,408.555,160.333
29,401.803,162.682
30,395.309,165.667
31,492.333,145.833
32,488.015,151.636
33,482.774,156.619
34,476.307,159.860
35,470.036,163.464
36,464.157,167.676
37,457.308,170.000
38,450.082,170.333
39,444.034,166.367
40,438.031,162.333
41,432.139,158.138
42,425.766,154.717
43,418.702,153.167
44,411.663,154.833
45,405.245,158.167
46,499.500,136.167
47,492.542,140.000
48,486.399,145.036
49,480.877,150.747
50,475.320,156.423
51,469.582,161.918
52,464.671,168.161
53,458.972,173.695
54,451.764,177.035
55,443.901,178.167
56,437.484,173.484
57,433.543,166.587
58,430.799,159.132
59,426.886,152.219
60,419.866,148.500
61,512.667,137.667
62,505.096,137.667
63,497.851,139.860
64,490.895,142.848
65,483.949,145.859
66,477.549,149.902
67,472.128,155.186
68,468.220,161.670
69,465.090,168.563
70,462.000,175.473
71,457.658,181.675
72,450.396,183.812
73,443.041,182.020
74,436.174,178.833
75,430.200,174.183
76,521.167,144.167
77,514.523,141.333
78,507.425,140.000
79,500.220,139.500
80,492.998,139.500
81,485.865,140.635
82,479.665,144.338
83,474.990,149.843
84,470.803,155.728
85,468.167,162.452
86,467.221,169.612
87,464.905,176.453
88,461.439,182.789
89,456.438,188.000
90,449.224,188.333
91,535.667,142.667
92,527.920,140.920
93,519.991,140.500
94,512.113,139.500
95,504.244,138.436
96,496.358,137.508
97,488.434,137.000
98,480.636,138.500
99,474.500,143.541
100,469.833,149.965
101,467.476,157.548
102,466.833,165.463
103,468.667,173.189
104,466.902,180.931
105,461.720,186.947
106,546.500,145.667
107,539.749,142.916
108,532.634,141.333
109,525.501,139.833
110,518.325,138.553
111,511.089,137.667
112,503.802,137.500
113,496.512,137.500
114,489.225,137.333
115,481.941,137.613
116,475.178,140.333
117,469.854,145.312
118,466.167,151.600
119,465.667,158.873
120,467.167,166.006
121,559.167,147.500
122,552.644,144.762
123,545.838,142.833
124,538.795,142.167
125,531.920,140.500
126,525.134,138.500
127,518.131,137.500
128,511.074,137.000
129,504.008,136.667
130,496.942,136.333
131,489.870,136.167
132,482.795,136.167
133,475.780,137.074
134,469.551,140.427
135,465.000,145.843
136,572.500,148.333
137,564.826,146.500
138,557.673,143.170
139,550.236,140.535
140,542.639,138.403
141,534.801,137.500
142,526.975,136.500
143,519.091,136.167
144,511.208,135.833
145,503.325,135.500
146,495.549,134.167
147,487.722,133.167
148,480.048,131.333
149,472.160,131.500
150,466.840,137.327
151,581.000,148.333
152,574.356,144.856
153,567.012,143.333
154,559.740,141.500
155,552.307,140.500
156,544.862,139.598
157,537.573,137.833
158,530.120,137.000
159,522.628,136.667
160,515.145,136.167
161,507.692,135.333
162,500.275,134.221
163,493.062,132.167
164,486.264,129.000
165,479.255,126.333
