 ,Image,X (cm),Y (cm)
1,208_fs3-00001.jpg,328.000,274.750
2,208_fs3-00001.jpg,326.566,274.587
3,208_fs3-00001.jpg,325.133,274.424
4,208_fs3-00001.jpg,323.699,274.261
5,208_fs3-00001.jpg,322.266,274.098
6,208_fs3-00001.jpg,320.832,273.935
7,208_fs3-00001.jpg,319.399,273.773
8,208_fs3-00001.jpg,317.965,273.610
9,208_fs3-00001.jpg,316.523,273.571
10,208_fs3-00001.jpg,315.095,273.782
11,208_fs3-00001.jpg,313.668,273.994
12,208_fs3-00001.jpg,312.241,274.205
13,208_fs3-00001.jpg,310.814,274.416
14,208_fs3-00001.jpg,309.406,274.733
15,208_fs3-00001.jpg,308.015,275.116
16,208_fs3-00001.jpg,306.624,275.500
17,208_fs3-00001.jpg,305.234,275.884
18,208_fs3-00001.jpg,303.843,276.268
19,208_fs3-00001.jpg,302.492,276.774
20,208_fs3-00001.jpg,301.221,277.458
21,208_fs3-00001.jpg,299.951,278.142
22,208_fs3-00001.jpg,298.681,278.826
23,208_fs3-00001.jpg,297.410,279.510
24,208_fs3-00001.jpg,296.596,280.701
25,208_fs3-00001.jpg,296.790,282.130
26,208_fs3-00001.jpg,296.985,283.560
27,208_fs3-00001.jpg,297.180,284.989
28,208_fs3-00001.jpg,298.250,285.957
29,208_fs3-00001.jpg,299.562,286.557
30,208_fs3-00001.jpg,300.875,287.157
31,208_fs3-00001.jpg,302.187,287.757
32,208_fs3-00001.jpg,303.499,288.357
33,208_fs3-00001.jpg,304.811,288.957
34,208_fs3-00001.jpg,306.139,289.520
35,208_fs3-00001.jpg,307.567,289.729
36,208_fs3-00001.jpg,308.994,289.938
37,208_fs3-00001.jpg,310.422,290.147
38,208_fs3-00001.jpg,311.850,290.356
39,208_fs3-00001.jpg,313.277,290.565
40,208_fs3-00001.jpg,314.705,290.774
41,208_fs3-00001.jpg,316.132,290.983
42,208_fs3-00001.jpg,317.575,290.970
43,208_fs3-00001.jpg,319.018,290.937
44,208_fs3-00001.jpg,320.460,290.904
45,208_fs3-00001.jpg,321.902,290.872
46,208_fs3-00001.jpg,323.345,290.839
47,208_fs3-00001.jpg,324.787,290.806
48,208_fs3-00001.jpg,326.230,290.773
49,208_fs3-00001.jpg,327.673,290.764
50,208_fs3-00001.jpg,329.115,290.813
51,208_fs3-00001.jpg,330.556,290.862
52,208_fs3-00001.jpg,331.998,290.911
53,208_fs3-00001.jpg,333.440,290.960
54,208_fs3-00001.jpg,334.882,291.009
55,208_fs3-00001.jpg,336.324,291.058
56,208_fs3-00001.jpg,337.766,291.106
57,208_fs3-00001.jpg,339.208,291.155
58,208_fs3-00001.jpg,340.650,291.204
59,208_fs3-00001.jpg,342.093,291.239
60,208_fs3-00001.jpg,343.526,291.073
61,208_fs3-00001.jpg,344.959,290.906
62,208_fs3-00001.jpg,346.392,290.739
63,208_fs3-00001.jpg,347.825,290.573
64,208_fs3-00001.jpg,349.258,290.406
65,208_fs3-00001.jpg,350.692,290.239
66,208_fs3-00001.jpg,352.125,290.073
67,208_fs3-00001.jpg,353.555,289.882
68,208_fs3-00001.jpg,354.982,289.673
69,208_fs3-00001.jpg,356.410,289.464
70,208_fs3-00001.jpg,357.838,289.255
71,208_fs3-00001.jpg,359.265,289.047
72,208_fs3-00001.jpg,360.693,288.838
73,208_fs3-00001.jpg,362.120,288.629
74,208_fs3-00001.jpg,363.556,288.488
75,208_fs3-00001.jpg,364.999,288.458
76,208_fs3-00001.jpg,366.441,288.428
77,208_fs3-00001.jpg,367.884,288.397
78,208_fs3-00001.jpg,369.326,288.367
79,208_fs3-00001.jpg,370.769,288.336
80,208_fs3-00001.jpg,372.211,288.306
81,208_fs3-00001.jpg,373.654,288.276
82,208_fs3-00001.jpg,375.096,288.245
83,208_fs3-00001.jpg,376.539,288.215
84,208_fs3-00001.jpg,377.981,288.185
85,208_fs3-00001.jpg,379.424,288.154
86,208_fs3-00001.jpg,380.866,288.124
87,208_fs3-00001.jpg,382.309,288.094
88,208_fs3-00001.jpg,383.751,288.063
89,208_fs3-00001.jpg,385.194,288.033
90,208_fs3-00001.jpg,386.636,288.002
91,208_fs3-00001.jpg,388.079,288.000
92,208_fs3-00001.jpg,389.522,288.000
93,208_fs3-00001.jpg,390.964,288.000
